Duration,Total Assests,Liabilities,Short-term Liabilities,Long-term Liabilities,Owner's Equity,EPS,BVPS,PE
2011 - Q3,54877735.0,28185322.0,12268850.0,15916472.0,26692413.0,1146.0,14077.0,0.0
2012 - Q1,52252871.0,24728434.0,14382938.0,10345496.0,25757939.0,2363.0,13591.0,0.0
2012 - Q2,50694528.0,23294864.0,13911067.0,9383797.0,25745864.0,2363.0,13585.0,16.25
2012 - Q3,49737343.0,21765191.0,12359596.0,9405595.0,26381760.0,2528.0,13920.0,15.86
2012 - Q4,45108421.0,16353385.0,7896823.0,8456562.0,27115535.0,3847.0,14308.0,10.03
2013 - Q1,48101969.0,14937904.0,8251011.0,6686893.0,31455983.0,4894.0,16599.0,10.93
2013 - Q2,49122286.0,15133789.0,9246511.0,5887278.0,32310864.0,6429.0,17051.0,9.02
2013 - Q3,48356717.0,13292155.0,7211852.0,6080303.0,33323031.0,6696.0,17585.0,10.01
2013 - Q4,50503546.0,15369123.0,9803611.0,5565512.0,33461925.0,6535.0,17658.0,10.18
2014 - Q1,51487899.0,14384828.0,8721068.0,5663760.0,35494121.0,5936.0,18729.0,14.07
2014 - Q2,49376259.0,12428786.0,7814424.0,4614362.0,35329729.0,6106.0,18644.0,18.34
2014 - Q3,53208320.0,16098037.0,10571263.0,5526774.0,35367517.0,6086.0,18664.0,17.42
2014 - Q4,53762672.0,16079060.0,10560575.0,5518485.0,35985640.0,7452.0,18990.0,9.46
2015 - Q1,52968690.0,12595417.0,6847992.0,5747425.0,40373273.0,7149.0,21305.0,9.23
2015 - Q2,52992179.0,11460704.0,6872786.0,4587918.0,41531475.0,6810.0,21916.0,9.1
2015 - Q3,54878246.0,10994954.0,5597451.0,5397503.0,43883292.0,6476.0,23157.0,7.07
2015 - Q4,56724385.0,13830394.0,8982041.0,4848353.0,42893991.0,4502.0,22635.0,8.04
2016 - Q1,59708788.0,16096501.0,9753737.0,6342764.0,43612286.0,3830.0,22787.0,10.71
2016 - Q2,59552046.0,18269678.0,11460213.0,6809465.0,41282368.0,3349.0,21569.0,18.66
2016 - Q3,58106824.0,15902923.0,9242785.0,6660138.0,42203901.0,2631.0,22051.0,26.8
2016 - Q4,56897271.0,16039764.0,9301327.0,6738437.0,40857507.0,3682.0,21354.0,16.46
2017 - Q1,61013023.0,18529035.0,10668078.0,7860957.0,42483988.0,4128.0,22204.0,13.32
2017 - Q2,60337116.0,18999895.0,11372263.0,7627632.0,41337221.0,4190.0,21605.0,13.92
2017 - Q3,60579566.0,19208546.0,11641623.0,7566923.0,41371020.0,4680.0,0.0,14.77
2017 - Q4,61786994.0,18626768.0,10931313.0,7695455.0,43160226.0,4994.0,22557.0,19.5
2018 - Q1,66149716.0,20371490.0,12910731.0,7460759.0,45778225.0,5220.0,23918.0,25.17
2018 - Q2,68003295.0,23009631.0,15966534.0,7043097.0,44993664.0,5905.0,23508.0,14.99
2018 - Q3,60999895.0,16742953.0,11685215.0,5057738.0,44256942.0,6584.0,23123.0,17.57
2018 - Q4,62578965.0,15114380.0,11199310.0,3915070.0,47464586.0,6350.0,24799.0,13.64
2019 - Q1,62009452.0,16081250.0,13054151.0,3027099.0,45928202.0,6570.0,23997.0,14.95
2019 - Q2,65199385.0,18820135.0,15848007.0,2972128.0,46379250.0,6511.0,24232.0,14.98
2019 - Q3,62557545.0,15298612.0,12346611.0,2952001.0,47258933.0,6345.0,24692.0,16.75
2019 - Q4,62254323.0,12569850.0,9960116.0,2609734.0,49684473.0,6232.0,25959.0,15.03
2020 - Q1,65452636.0,13489515.0,10840024.0,2649491.0,51963121.0,5869.0,27150.0,9.34
2020 - Q2,67211584.0,13799369.0,11240941.0,2558428.0,53412215.0,5193.0,27907.0,13.29
2020 - Q3,61704300.0,13910236.0,10868790.0,3041446.0,47794064.0,4743.0,24971.0,15.03
2020 - Q4,63089656.0,13681514.0,9674514.0,4007000.0,48365550.0,4051.0,25270.0,21.38
2021 - Q1,68626315.0,17049736.0,11785545.0,5264191.0,51576579.0,3892.0,26948.0,23.05
2021 - Q2,74826437.0,26981135.0,20039329.0,6941806.0,47845302.0,4178.0,24998.0,22.26
2021 - Q3,73218244.0,23025099.0,13841166.0,9183933.0,50193145.0,4384.0,26225.0,22.12
2021 - Q4,78768075.0,26575344.0,16561262.0,10014082.0,52192731.0,4531.0,27270.0,21.23
2022 - Q1,85170156.0,29460831.0,18619859.0,10840972.0,55709324.0,5262.0,29107.0,20.58
2022 - Q2,88539470.0,27967583.0,17014432.0,10953151.0,60571888.0,6738.0,31648.0,17.14
2022 - Q3,85223863.0,27210834.0,15493287.0,11717547.0,58013029.0,7089.0,30311.0,15.52
2022 - Q4,82806381.0,21489089.0,12487957.0,9001132.0,61317292.0,7761.0,32037.0,13.08
2023 - Q1,84128384.0,19558856.0,10555594.0,9003262.0,64569528.0,7720.0,33736.0,13.21
2023 - Q2,88247093.0,20796045.0,12546218.0,8249827.0,67451047.0,6711.0,35242.0,13.86
2023 - Q3,84638511.0,21967230.0,13584867.0,8382363.0,62671281.0,6339.0,32744.0,14.31
