Duration,Total Assests,Liabilities,Short-term Liabilities,Long-term Liabilities,Owner's Equity,EPS,BVPS,PE
2006,9438913.0,4161660.0,2746201.0,1415459.0,5277254.0,91466.0,123653.0,0.0
2007,14520731.0,8057396.0,1748942.0,6308454.0,6463335.0,51752.0,80564.0,0.0
2008,16507863.0,10949915.0,2239460.0,8710455.0,5557948.0,11844.0,16278.0,0.0
2009,19938148.0,12345952.0,5595227.0,6750725.0,7592195.0,6288.0,14233.0,0.0
2010,39679259.0,17012303.0,9810188.0,7202115.0,22050598.0,4541.0,21086.0,0.0
2011,45610767.0,20591724.0,10348754.0,10242970.0,23482279.0,3120.0,12391.0,0.0
2012,45146181.0,16310931.0,8056205.0,8254726.0,27192763.0,5175.0,14349.0,7.46
2013,50378935.0,15345611.0,9873098.0,5472513.0,33358036.0,6484.0,17603.0,10.26
2014,53791407.0,16112059.0,10611728.0,5500331.0,35981405.0,7453.0,18988.0,9.46
2015,56714606.0,13825543.0,9002417.0,4823126.0,42889063.0,4503.0,22633.0,8.04
2016,56753854.0,15910006.0,9182557.0,6727449.0,40843848.0,3674.0,21347.0,16.49
2017,61889343.0,18617835.0,10911814.0,7706021.0,43271509.0,5062.0,22616.0,19.24
2018,62614420.0,15747295.0,11846614.0,3900681.0,46867125.0,5985.0,24487.0,14.47
2019,62178787.0,12564256.0,9964436.0,2599820.0,49614531.0,6219.0,25923.0,15.07
2020,63208401.0,13708720.0,9748781.0,3959939.0,49499681.0,4104.0,25863.0,21.1
2021,78768075.0,26575344.0,16561262.0,10014082.0,52192731.0,4531.0,27270.0,21.23
2022,82662652.0,21489089.0,12487957.0,9001132.0,61173564.0,7732.0,31962.0,13.13
