Date,NOPAT
Q3/2011,2162107643049
Q4/2011,1381590787915
Q1/2012,2306819653546
Q2/2012,2362787136098
Q3/2012,2483253976623
Q4/2012,2499226984557
Q1/2013,4292335787263
Q2/2013,2908607274723
Q3/2013,2989029984140
Q4/2013,2194684872525
Q1/2014,3156456433520
Q2/2014,3230382148024
Q3/2014,2950520148157
Q4/2014,4783565219834
Q1/2015,2583281472025
Q2/2015,2589280329022
Q3/2015,2317372514044
Q4/2015,1044480828638
Q1/2016,1314606779422
Q2/2016,1666218535503
Q3/2016,963994231140
Q4/2016,3066694072863
Q1/2017,2176074932278
Q2/2017,1830638573431
Q3/2017,1901526005122
Q4/2017,3668687544455
Q1/2018,2608039500284
Q2/2018,3070691799756
Q3/2018,3201029856853
Q4/2018,3222582937288
Q1/2019,3029441481891
Q2/2019,3020027424787
Q3/2019,2883910782693
Q4/2019,3007448945637
Q1/2020,2333041038427
Q2/2020,1773055374812
Q3/2020,2023381028254
Q4/2020,1682291629457
Q1/2021,2029677573680
Q2/2021,2261954210790
Q3/2021,2417435626380
Q4/2021,1963897651610
Q1/2022,3428678815555
Q2/2022,5086494419831
Q3/2022,3029234899053
Q4/2022,3250037615669
Q1/2023,3350255746422
Q2/2023,3155589859554
Q3/2023,2377167759593
