Date,Sales
Q3/2011,16902365875385
Q4/2011,15249532279544
Q1/2012,18447361123583
Q2/2012,18224700405642
Q3/2012,16362384405313
Q4/2012,15142009055663
Q1/2013,16052051833218
Q2/2013,15750243721247
Q3/2013,17066935883364
Q4/2013,16575795221291
Q1/2014,16063990522048
Q2/2014,18703389886564
Q3/2014,19605541080303
Q4/2014,19013742563144
Q1/2015,15532003699593
Q2/2015,15769375810001
Q3/2015,15724333416407
Q4/2015,17264395697135
Q1/2016,13984088290150
Q2/2016,15711204648494
Q3/2016,13787161284295
Q4/2016,15662687181741
Q1/2017,16257395978146
Q2/2017,16147221944634
Q3/2017,15084734273334
Q4/2017,17080564031778
Q1/2018,18162316570597
Q2/2018,20025382346933
Q3/2018,18426176272138
Q4/2018,19013576128730
Q1/2019,18639132877076
Q2/2019,20352852706169
Q3/2019,19038431766260
Q4/2019,17317638155803
Q1/2020,17093939256044
Q2/2020,15593928070277
Q3/2020,15937439704720
Q4/2020,15524700200042
Q1/2021,17570498024861
Q2/2021,22701645313733
Q3/2021,18542925212171
Q4/2021,20177087571507
Q1/2022,26689145099068
Q2/2022,27653355464071
Q3/2022,24329090223763
Q4/2022,22051958440531
Q1/2023,21214481409153
Q2/2023,24042648640474
Q3/2023,22126160690161
