tradingTime,lastPrice
2024-01-12,75.1
2024-01-11,76.0
2024-01-10,75.5
2024-01-09,75.9
2024-01-08,76.8
2024-01-05,77.2
2024-01-04,76.7
2024-01-03,76.0
2024-01-02,75.6
2023-12-29,75.5
2023-12-28,76.0
2023-12-27,76.3
2023-12-26,76.4
2023-12-25,76.5
2023-12-22,74.7
2023-12-21,74.7
2023-12-20,75.2
2023-12-19,75.0
2023-12-18,75.5
2023-12-15,76.0
2023-12-14,76.9
2023-12-13,76.9
2023-12-12,78.2
2023-12-11,78.3
2023-12-08,77.6
2023-12-07,77.9
2023-12-06,79.8
2023-12-05,79.0
2023-12-04,79.0
2023-12-01,77.7
2023-11-30,76.5
2023-11-29,77.8
2023-11-28,77.0
2023-11-27,76.8
2023-11-24,77.5
2023-11-23,77.0
2023-11-22,79.0
2023-11-21,79.0
2023-11-20,78.3
2023-11-17,78.7
2023-11-16,80.0
2023-11-15,80.1
2023-11-14,79.1
2023-11-13,79.0
2023-11-10,78.7
2023-11-09,80.0
2023-11-08,80.0
2023-11-07,78.8
2023-11-06,79.0
2023-11-03,79.1
2023-11-02,79.2
2023-11-01,76.9
2023-10-31,76.6
2023-10-30,76.6
2023-10-27,77.6
2023-10-26,75.5
2023-10-25,80.4
2023-10-24,81.2
2023-10-23,80.6
2023-10-20,83.2
2023-10-19,81.9
2023-10-18,83.0
2023-10-17,85.2
2023-10-16,86.9
2023-10-13,85.8
2023-10-12,86.0
2023-10-11,86.0
2023-10-10,86.4
2023-10-09,86.6
2023-10-06,84.2
2023-10-05,84.2
2023-10-04,85.8
2023-10-03,86.3
2023-10-02,89.3
2023-09-29,90.7
2023-09-28,91.5
2023-09-27,88.9
2023-09-26,88.8
2023-09-25,89.5
2023-09-22,90.9
2023-09-21,88.8
2023-09-20,90.88
2023-09-19,91.72
2023-09-18,90.88
2023-09-15,91.38
2023-09-14,88.38
2023-09-13,88.05
2023-09-12,85.63
2023-09-11,84.55
2023-09-08,85.21
2023-09-07,85.8
2023-09-06,84.63
2023-09-05,83.05
2023-08-31,82.21
2023-08-30,82.8
2023-08-29,83.3
2023-08-28,83.05
2023-08-25,81.6
2023-08-24,82.4
2023-08-23,82.0
2023-08-22,80.71
2023-08-21,79.75
2023-08-18,78.54
2023-08-17,80.47
2023-08-16,80.63
2023-08-15,80.79
2023-08-14,80.95
2023-08-11,81.68
2023-08-10,82.08
