Item,Q4 2009,Q4 2010,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Tài sản lưu động và đầu tư ngắn hạn,10757633221304.0,16241376873327.0,28734334640537.0,19228454339267.0,26601436947436.0,25229158483079.0,25071806567740.0,20447783990239.0,23936352004572.0,25874986329730.0,25938889124191.0,28261081266289.0,30397020616773.0,29033427956185.0,32563894920965.0,33259311663594.0,32882300004565.0,31620516697178.0,32576939320779.0,33833056771342.0,35618291595190.0,36169454276454.0,34445727311753.0,33352699433088.0,37506548515539.0,37037148005606.0,37162879588530.0,38218561704242.0,42989139258890.0,45463244067606.0,38969975605043.0,40954625860982.0,40888257908879.0,44606452700260.0,42492240531926.0,42034111148922.0,45148432604132.0,46389843800088.0,39767377868410.0,39354423990029.0,44230493070827.0,50213422327082.0,47691610231135.0,51395282303213.0,57191407495469.0,60393770234221.0,57329016363977.0,55651707958020.0,57952012334363.0,62984581522290.0,59128795405771.0
I. Tiền và các khoản tương đương tiền,2281485673442.0,4927167508497.0,8267719609955.0,10045200208018.0,10770265404396.0,11909916407311.0,12393664541779.0,12722193468717.0,15955511012894.0,17781206438976.0,18276676708448.0,18293128183542.0,21418317255713.0,20321030401809.0,23250246563039.0,24079685217949.0,24528362820168.0,20405257333892.0,19799251696463.0,17762344528529.0,17979212384190.0,17113728766888.0,17064067367435.0,13612560308316.0,14216571000377.0,14515027558565.0,12897663167477.0,13672016964678.0,14666498838126.0,9718262208643.0,7302682513477.0,6705675471347.0,7589139804750.0,7375347002091.0,5933208581387.0,4475895496074.0,5277466733988.0,12531543227548.0,6819915906268.0,5335316636542.0,6457577994501.0,5947560639666.0,5994119472080.0,5600330735432.0,8648444105639.0,9054658184090.0,10206278543029.0,10549337638537.0,12714013568114.0,12499180008661.0,10851522950436.0
1. Tiền,1991506562579.0,2872009982480.0,2033415892114.0,2469909918705.0,3371724895619.0,2789510199399.0,1907094541779.0,2879806444904.0,2475381137175.0,3177922938976.0,3699901708448.0,2871478461320.0,4185065311269.0,4513525354217.0,6157631563039.0,4872870217949.0,6022504459057.0,5682286147057.0,4297766338156.0,2145744143418.0,2559090948903.0,3264171725387.0,2329710325934.0,1229433172585.0,3130258864646.0,2153632378665.0,1738081146713.0,1729822059995.0,2735939993940.0,1943017484505.0,2626847997174.0,1330250099149.0,2181122500326.0,2399239709662.0,2061607201600.0,1152002314369.0,1724477222495.0,2039915491870.0,1752115170590.0,1323114036595.0,2050113358731.0,1380958101817.0,2132203061574.0,1395849592442.0,2420630928155.0,1839458184090.0,2121422409681.0,1318137638537.0,1807613568114.0,1765180008661.0,2012952669180.0
2. Các khoản tương đương tiền,289979110863.0,2055157526017.0,6234303717841.0,7575290289313.0,7398540508777.0,9120406207912.0,10486570000000.0,9842387023813.0,13480129875719.0,14603283500000.0,14576775000000.0,15421649722222.0,17233251944444.0,15807505047592.0,17092615000000.0,19206815000000.0,18505858361111.0,14722971186835.0,15501485358307.0,15616600385111.0,15420121435287.0,13849557041501.0,14734357041501.0,12383127135731.0,11086312135731.0,12361395179900.0,11159582020764.0,11942194904683.0,11930558844186.0,7775244724138.0,4675834516303.0,5375425372198.0,5408017304424.0,4976107292429.0,3871601379787.0,3323893181705.0,3552989511493.0,10491627735678.0,5067800735678.0,4012202599947.0,4407464635770.0,4566602537849.0,3861916410506.0,4204481142990.0,6227813177484.0,7215200000000.0,8084856133348.0,9231200000000.0,10906400000000.0,10734000000000.0,8838570281256.0
II. Các khoản đầu tư tài chính ngắn hạn,2674045500583.0,2201551000000.0,1414334738868.0,317329590057.0,772105375000.0,154523200000.0,114223200000.0,101475486054.0,59200000000.0,21050000000.0,58850000000.0,761700000000.0,1113700000000.0,1061630416667.0,1050100000000.0,1683875000000.0,1736635656333.0,4196635656333.0,6366955656333.0,6083320000000.0,6086320000000.0,5993186000000.0,5322866000000.0,5823450000000.0,10332350000000.0,11522350000000.0,13367350000000.0,13407350000000.0,15040450000000.0,20697354000000.0,20998654000000.0,21602454000000.0,19844854000000.0,24019154000000.0,22599154000000.0,24915000000000.0,25891000000000.0,21109300000000.0,19913350000000.0,21515136327512.0,21594237927459.0,25650532773344.0,23594578773344.0,24499825654952.0,25048928654952.0,27617478798638.0,25793995100008.0,23726498790237.0,24165495262737.0,28268090837474.0,28908511156004.0
1. Chứng khoán kinh doanh,2674045500583.0,2201551000000.0,1414334738868.0,317329590057.0,772655375000.0,154523200000.0,114223200000.0,101475486054.0,59200000000.0,21050000000.0,58850000000.0,761700000000.0,1113700000000.0,1061630416667.0,1050100000000.0,1696600283780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Dự phòng giảm giá chứng khoán kinh doanh,0.0,0.0,0.0,0.0,-550000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12725283780.0,1736635656333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3. Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4196635656333.0,6366955656333.0,6083320000000.0,6086320000000.0,5993186000000.0,5322866000000.0,5823450000000.0,10332350000000.0,11522350000000.0,13367350000000.0,13407350000000.0,15040450000000.0,20697354000000.0,20998654000000.0,21602454000000.0,19844854000000.0,24019154000000.0,22599154000000.0,24915000000000.0,25891000000000.0,21109300000000.0,19913350000000.0,21515136327512.0,21594237927459.0,25650532773344.0,23594578773344.0,24499825654952.0,25048928654952.0,27617478798638.0,25793995100008.0,23726498790237.0,24165495262737.0,28268090837474.0,28908511156004.0
III. Các khoản phải thu ngắn hạn,3814561438117.0,7412309845015.0,16388144861421.0,6950175738591.0,13020970060522.0,11316948436403.0,9610714601248.0,5504620796306.0,6585734714083.0,5957905266039.0,5703110803067.0,5961890615963.0,5786717351410.0,5614180176663.0,5791163868524.0,5053611512211.0,4935412383818.0,5021896386112.0,4902021408702.0,8213169290372.0,9583777564825.0,11140533609500.0,9909530757836.0,12021627184436.0,11230056353291.0,9347268611213.0,8607415434266.0,9115469403908.0,10880622864535.0,12405071767951.0,8973093014271.0,10232069390328.0,11512640953210.0,11157974002388.0,11708792771801.0,10562310400592.0,11568889304907.0,10643121255240.0,10578989825807.0,10148662370242.0,13439321385786.0,15328324085809.0,14762971629838.0,16920750783526.0,20684169362779.0,20633189886263.0,17522046269497.0,16191131770955.0,18097175503262.0,19124804781622.0,16197071467486.0
