Item,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023
1. Tổng doanh thu hoạt động kinh doanh,16933480384776.0,15276980280726.0,18456502775471.0,18256260901441.0,16373916870135.0,15156782220223.0,16062660101317.0,15793338662635.0,17076285067209.0,16586442209997.0,16087505499678.0,18791291609133.0,19626276128315.0,19027341276606.0,15532003699593.0,15837526346988.0,15724333416407.0,17264395697135.0,14040983839348.0,15764308766388.0,13787161284295.0,15662687181741.0,16316923810255.0,16221983873998.0,15160957658487.0,17151959722839.0,18247707167605.0,20111630644000.0,18514356280473.0,19117672263638.0,18737677262608.0,20452516218320.0,19145033299439.0,17317638155803.0,17093939256044.0,15593928070277.0,15937439704720.0,15524700200042.0,17570501884541.0,22701649357883.0,18542925212171.0,20177079667677.0,26689145099068.0,27653355464071.0,24329090223763.0,22051958440531.0,21214481409153.0,24042648640474.0,22153384035171.0
2. Các khoản giảm trừ doanh thu,31114509391.0,27448001182.0,9141651888.0,31560495799.0,11532464822.0,14773164560.0,10608268099.0,43094941388.0,9349183845.0,10646988706.0,23514977630.0,87901722569.0,20735048012.0,13598713462.0,0.0,68150536987.0,0.0,0.0,56895549198.0,53104117894.0,0.0,0.0,59527832109.0,74761929364.0,76223385153.0,71395691061.0,85390597008.0,86248297067.0,88180008335.0,104096134908.0,98544385532.0,99663512151.0,106601533179.0,0.0,0.0,0.0,0.0,0.0,3859680.0,4044150.0,0.0,-7903830.0,0.0,0.0,0.0,0.0,0.0,0.0,27223345010.0
3. Doanh thu thuần (1)-(2),16902365875385.0,15249532279544.0,18447361123583.0,18224700405642.0,16362384405313.0,15142009055663.0,16052051833218.0,15750243721247.0,17066935883364.0,16575795221291.0,16063990522048.0,18703389886564.0,19605541080303.0,19013742563144.0,15532003699593.0,15769375810001.0,15724333416407.0,17264395697135.0,13984088290150.0,15711204648494.0,13787161284295.0,15662687181741.0,16257395978146.0,16147221944634.0,15084734273334.0,17080564031778.0,18162316570597.0,20025382346933.0,18426176272138.0,19013576128730.0,18639132877076.0,20352852706169.0,19038431766260.0,17317638155803.0,17093939256044.0,15593928070277.0,15937439704720.0,15524700200042.0,17570498024861.0,22701645313733.0,18542925212171.0,20177087571507.0,26689145099068.0,27653355464071.0,24329090223763.0,22051958440531.0,21214481409153.0,24042648640474.0,22126160690161.0
4. Giá vốn hàng bán,13555201001560.0,12699850390601.0,14884420226326.0,14582677870378.0,12587615966700.0,11165260835280.0,11199496470277.0,11397816635704.0,12739833350928.0,12751703675829.0,11507660335284.0,13995198523053.0,15360612065476.0,12384697374290.0,11482935778811.0,11914921388479.0,12201347621479.0,15294546782343.0,11576703416890.0,13176658988629.0,11980895686903.0,10858704195406.0,12859577093461.0,12979508226688.0,12026284295040.0,11668864522171.0,14168872218448.0,15242419791203.0,13631318877106.0,14279790809947.0,14293133166039.0,15879528096173.0,14708135193587.0,13476376190422.0,13782167020648.0,13074797025461.0,13031056098632.0,12904918186602.0,14301032879540.0,18919436564738.0,15135594633210.0,16650437066443.0,21552667404503.0,20741127121257.0,19932077727603.0,17183140316181.0,16372246909841.0,19699873068605.0,18444528562828.0
5. Lợi nhuận gộp (3)-(4),3347164873825.0,2549681888943.0,3562940897257.0,3642022535264.0,3774768438613.0,3976748220383.0,4852555362941.0,4352427085543.0,4327102532436.0,3824091545462.0,4556330186764.0,4708191363511.0,4244929014827.0,6629045188854.0,4049067920782.0,3854454421522.0,3522985794928.0,1969848914792.0,2407384873260.0,2534545659865.0,1806265597392.0,4803982986335.0,3397818884685.0,3167713717946.0,3058449978294.0,5411699509607.0,3993444352149.0,4782962555730.0,4794857395032.0,4733785318783.0,4345999711037.0,4473324609996.0,4330296572673.0,3841261965381.0,3311772235396.0,2519131044816.0,2906383606088.0,2619782013440.0,3269465145321.0,3782208748995.0,3407330578961.0,3526650505064.0,5136477694565.0,6912228342814.0,4397012496160.0,4868818124350.0,4842234499312.0,4342775571869.0,3681632127333.0
6. Doanh thu hoạt động tài chính,253446020280.0,223849565011.0,258621710879.0,358821792878.0,252815072938.0,274894674772.0,263043075001.0,304159815211.0,338100795367.0,317042743490.0,296932740529.0,314658154957.0,274942865764.0,283617871587.0,276628009344.0,270250172818.0,292453920457.0,257443671262.0,328758005937.0,219005801474.0,325465761844.0,265807707747.0,238731133876.0,276381244642.0,299736725801.0,457880362451.0,301668513878.0,266340989241.0,450335231536.0,457633987428.0,394004054840.0,287681238861.0,447416007475.0,537214955226.0,376880014253.0,402101766017.0,383943986688.0,288192136505.0,263141362020.0,204424680589.0,415852106606.0,303389017848.0,261502620898.0,379925971606.0,437067541966.0,489577196080.0,536057465928.0,598486949160.0,594196246031.0
7. Chi phí tài chính,139024151476.0,488508536362.0,173026193600.0,84062242061.0,145764747225.0,156421919380.0,132769821421.0,207020662874.0,147880147323.0,169623938647.0,120694479045.0,154845848424.0,111143320629.0,132007058130.0,354639083993.0,89646790481.0,135309291831.0,65616751423.0,99718611146.0,88775128053.0,88948591737.0,219707976563.0,81937428148.0,178636072022.0,64661800884.0,103709331861.0,172437899611.0,137042609936.0,225692712533.0,79363917402.0,60323707783.0,73893148439.0,48459077931.0,60028871886.0,82831154875.0,34273491352.0,17969007950.0,25865452365.0,55772781462.0,113295357252.0,119787821220.0,113893085929.0,102138183609.0,202982457054.0,183358646428.0,182916189988.0,75230970256.0,95220051108.0,278491969211.0
Trong đó: Chi phí lãi vay,69418675970.0,405316415337.0,148532555039.0,65015401966.0,124600784735.0,96540142207.0,89773106264.0,119982247049.0,105405478144.0,105542411152.0,107778385469.0,96954191921.0,101962837521.0,60019089523.0,66561067450.0,38319330946.0,35241443926.0,55354498811.0,70608532371.0,107970019331.0,82519144643.0,96926083254.0,63806731829.0,89896340937.0,63182675498.0,63227784589.0,124754106422.0,109528560005.0,106709764794.0,99542113714.0,58877675529.0,54162787529.0,44423415262.0,41600058731.0,34245067519.0,26386611740.0,16710537457.0,24808582325.0,52814030559.0,69687381742.0,85168780092.0,96615692625.0,81978340051.0,91456259218.0,67533785424.0,95892638404.0,62075197062.0,62362003722.0,105613394329.0
8. Phần lợi nhuận hoặc lỗ trong công ty liên kết liên doanh,838401937.0,1932373334.0,-1415953970.0,-792423717.0,2050404640.0,990422328.0,361458784.0,1892568033.0,1375589250.0,883294869.0,1755675777.0,846871529.0,1097986875.0,-168170501.0,631165482.0,814843621.0,-7585544.0,542699913.0,-200749326.0,307395127.0,-103084282.0,367698622.0,-612911729.0,-1765833368.0,-114786450.0,-373872380.0,-1437922609.0,-47081110.0,-867517840.0,-1220680896.0,-1036582931.0,-1019116009.0,-1052314484.0,2603377142.0,-9306382310.0,-808724790.0,250194823.0,-1486482306.0,-998758126.0,3746426405.0,6441468124.0,5864018581.0,-794441420.0,10705695472.0,11723389889.0,6061502411.0,-570956163.0,9977891951.0,8629461831.0
9. Chi phí bán hàng,326984412361.0,319669029275.0,311592789883.0,313020416036.0,313686853912.0,388417126972.0,331784426510.0,298951172385.0,325870127872.0,306364185254.0,311807895346.0,364263633164.0,353427614208.0,387566978812.0,418921899879.0,378222196749.0,443458323779.0,491948216039.0,488674810376.0,484164180400.0,578765766907.0,582668137175.0,569813643819.0,592098396199.0,599851015434.0,599961722169.0,616910312067.0,664084091465.0,663520617094.0,693059742674.0,617874883519.0,582182174319.0,741409051090.0,452908475215.0,438687478604.0,445281093966.0,512610886039.0,546429628222.0,534099757168.0,491102076276.0,468128134854.0,639253077504.0,601377719260.0,541242311839.0,615528718089.0,682240838458.0,636102884351.0,546445908309.0,661570491796.0
10. Chi phí quản lý doanh nghiệp,418692509943.0,554348072937.0,395549545356.0,503945638193.0,398117993536.0,629617370727.0,394233913683.0,468885941838.0,439329880363.0,803440092626.0,430622466120.0,397734459375.0,236680478279.0,318694608764.0,208068966590.0,275206172761.0,247341107941.0,270741656423.0,206117060123.0,243213605683.0,195186868730.0,294957510679.0,246562738145.0,264399931698.0,270271285644.0,387419709932.0,195447512170.0,346915114187.0,290060423243.0,298224109042.0,247727062810.0,284978196410.0,302592787136.0,39944797410.0,194516445449.0,164540737641.0,155124068745.0,255023771785.0,353141885879.0,437742023739.0,159808010562.0,528380477059.0,351200072952.0,175120925717.0,198174171545.0,350258369362.0,426731884204.0,306082777124.0,336197063220.0
11. Lợi nhuận thuần từ hoạt động kinh doanh (5)+(6)-(7)+(8)-(9)-(10),2716748222262.0,1412938188714.0,2939978125327.0,3099023608135.0,3172064321518.0,3078176900404.0,4257171735112.0,3683621691690.0,3753498761495.0,2862589367294.0,3991893762559.0,4106852449034.0,3819718454350.0,6074226244234.0,3344697145146.0,3382444277970.0,2989323406290.0,1399528662082.0,1941431648226.0,1937705942330.0,1268727047580.0,3972824768287.0,2737623296720.0,2407194729301.0,2423287815683.0,4778115235716.0,3308879219570.0,3901214648273.0,4065051355858.0,4119550856197.0,3813041528834.0,3818933213680.0,3684199349507.0,3828198153238.0,2963310788411.0,2276328763084.0,2604873824865.0,2079168815267.0,2588593324706.0,2948240398722.0,3081900187055.0,2554376901001.0,4342469898222.0,6383514315282.0,3848741891953.0,4149041425033.0,4239655270266.0,4003491676439.0,3008198310968.0
