Period,Lưu chuyển tiền thuần trong kỳ
Q4 2011,2219073003056.0
Q1 2012,1019461079009.0
Q2 2012,845235754377.0
Q3 2012,483824230090.0
Q4 2012,324245817147.0
Q1 2013,3202142001331.0
Q2 2013,1826270222670.0
Q3 2013,495394870753.0
Q4 2013,16201284985.0
Q1 2014,3126331631723.0
Q2 2014,-1099124178308.0
Q3 2014,2931330743192.0
Q4 2014,827536679282.0
Q1 2015,448278852907.0
Q2 2015,-4123635276195.0
Q3 2015,-544082710031.0
Q4 2015,-2098252273088.0
Q1 2016,-55710532442.0
Q2 2016,-578272767423.0
Q3 2016,32861597072.0
Q4 2016,-3452332097892.0
Q1 2017,624776853620.0
Q2 2017,353392207184.0
Q3 2017,-1620096392303.0
Q4 2017,776810154248.0
Q1 2018,1148199003671.0
Q2 2018,-4933522858133.0
Q3 2018,-2415722984471.0
Q4 2018,-596494768743.0
Q1 2019,883529706459.0
Q2 2019,-214281670580.0
Q3 2019,-1441527104749.0
Q4 2019,-1273660908545.0
Q1 2020,800287845738.0
Q2 2020,7254655710421.0
Q3 2020,-5711365359166.0
Q4 2020,-1484251965598.0
Q1 2021,1220231445671.0
Q2 2021,-507996234644.0
Q3 2021,48563011900.0
Q4 2021,-493370042522.0
Q1 2022,2810234056462.0
Q2 2022,939275243096.0
Q3 2022,614367063400.0
Q4 2022,350867862182.0
Q1 2023,2165875053901.0
Q2 2023,-219045903455.0
Q3 2023,-1647564835143.0
