Duration,Total Assests,Liabilities,Short-term Liabilities,Long-term Liabilities,Owner's Equity,EPS,BVPS,PE
2008 - Q4,8871560.0,4690923.0,2553747.0,2137176.0,3728928.0,237.0,20738.0,265.27
2009 - Q1,9024032.0,4835846.0,2554936.0,2280910.0,3692305.0,1568.0,20534.0,34.44
2009 - Q2,9453093.0,5099352.0,2272573.0,2826779.0,3964267.0,3242.0,22046.0,20.97
2009 - Q3,10246161.0,5300496.0,2782205.0,2518291.0,4532716.0,5047.0,25208.0,24.97
2009 - Q4,12196211.0,7085142.0,3661428.0,3423714.0,4694915.0,6164.0,17359.0,12.65
2010 - Q1,12876239.0,7306048.0,4489259.0,2816789.0,5137058.0,6828.0,18993.0,11.86
2010 - Q2,14465398.0,7074445.0,3825425.0,3249020.0,6904507.0,6539.0,23603.0,12.16
2010 - Q3,15942917.0,7891894.0,4443688.0,3448206.0,7182183.0,6816.0,24553.0,10.71
2010 - Q4,18776227.0,8699073.0,4908006.0,3791067.0,9213323.0,7173.0,29575.0,11.29
2011 - Q1,20286357.0,10542330.0,6715118.0,3827212.0,8909467.0,6116.0,19067.0,7.37
2011 - Q2,23074054.0,13574540.0,6859092.0,6715448.0,8787420.0,4928.0,18805.0,7.91
2011 - Q3,25345068.0,15550249.0,7192063.0,8358186.0,9125878.0,3637.0,19530.0,8.88
2011 - Q4,25520237.0,15512146.0,6869895.0,8642251.0,9384522.0,2561.0,20083.0,7.61
2012 - Q1,26312902.0,16177137.0,7185618.0,8991519.0,9486043.0,1832.0,20301.0,14.69
2012 - Q2,28436246.0,18143218.0,6498725.0,11644493.0,9575487.0,1478.0,17819.0,18.81
2012 - Q3,28161142.0,17688177.0,6319611.0,11368566.0,9681389.0,1024.0,18016.0,19.91
2012 - Q4,31298811.0,20474822.0,6725495.0,13749327.0,9765253.0,672.0,18172.0,32.16
2013 - Q1,32749517.0,21731492.0,7849657.0,13881835.0,9962345.0,664.0,18539.0,40.8
2013 - Q2,32980117.0,19367674.0,9329178.0,10038496.0,12657733.0,979.0,17625.0,21.14
2013 - Q3,32202727.0,18456765.0,7245129.0,11211636.0,12909680.0,1150.0,17976.0,18.08
2013 - Q4,29815998.0,16286207.0,4946646.0,11339561.0,12920900.0,1434.0,17992.0,14.3
2014 - Q1,30842485.0,16922433.0,4569077.0,12353356.0,13223421.0,1773.0,18413.0,15.85
2014 - Q2,32904517.0,18546223.0,6095407.0,12450816.0,13660193.0,1644.0,19021.0,14.72
2014 - Q3,34902237.0,19295496.0,6187731.0,13107765.0,14544658.0,2618.0,18412.0,9.32
2014 - Q4,36369230.0,20978145.0,9256557.0,11721588.0,14238573.0,2223.0,18024.0,9.94
2015 - Q1,39915021.0,25116787.0,11896167.0,13220620.0,14798234.0,2166.0,18733.0,9.47
2015 - Q2,42876303.0,26850314.0,12633936.0,14216378.0,16025989.0,2366.0,20287.0,8.03
2015 - Q3,47603879.0,30722649.0,13076044.0,17646605.0,16881229.0,1591.0,21370.0,9.3
2015 - Q4,48604749.0,32640966.0,12792220.0,19848746.0,15963783.0,806.0,20208.0,12.9
2016 - Q1,52160071.0,34099801.0,14563488.0,19536313.0,18060270.0,432.0,22862.0,18.06
2016 - Q2,51175793.0,33023339.0,15581899.0,17441440.0,18152454.0,-1300.0,22979.0,-5.61
2016 - Q3,52303850.0,34893366.0,19809552.0,15083814.0,17410484.0,-1821.0,22039.0,-2.88
2016 - Q4,53015572.0,36103030.0,13883318.0,22219712.0,16912542.0,-1262.0,21411.0,-4.24
2017 - Q1,50801154.0,34426129.0,11831264.0,22594865.0,16375025.0,-1342.0,20731.0,-6.82
2017 - Q2,53087006.0,34288360.0,11011540.0,23276820.0,18798646.0,814.0,23799.0,11.65
2017 - Q3,52810353.0,34670188.0,11443382.0,23226806.0,18140165.0,967.0,19560.0,8.68
2017 - Q4,53444499.0,35156357.0,12031029.0,23125328.0,18288142.0,1004.0,19720.0,7.32
2018 - Q1,53096834.0,34812158.0,11843036.0,22969122.0,18284676.0,964.0,19716.0,6.86
2018 - Q2,55106331.0,36851171.0,13673221.0,23177950.0,18255161.0,38.0,19684.0,138.85
2018 - Q3,48357359.0,31335493.0,12611823.0,18723670.0,17021866.0,360.0,18354.0,17.04
2018 - Q4,48291498.0,31613656.0,13893277.0,17720379.0,16677842.0,150.0,17983.0,32.6
2019 - Q1,49039052.0,32277252.0,14490318.0,17786934.0,16761800.0,186.0,18074.0,29.91
2019 - Q2,49206397.0,34167909.0,18517106.0,15650803.0,15038488.0,-381.0,16216.0,-14.06
2019 - Q3,41894096.0,24776694.0,11001223.0,13775471.0,17117402.0,-46.0,18457.0,-97.87
2019 - Q4,38598853.0,21577260.0,8133487.0,13443773.0,17021593.0,288.0,18354.0,13.83
2020 - Q1,39365877.0,22952335.0,8606539.0,14345796.0,16413542.0,174.0,17698.0,14.65
2020 - Q2,40317640.0,24339734.0,9227114.0,15112620.0,15977905.0,767.0,17227.0,6.78
2020 - Q3,42077895.0,26346364.0,11298895.0,15047469.0,15731531.0,-205.0,16963.0,-22.25
2020 - Q4,36300910.0,26625880.0,15096673.0,11529207.0,9675031.0,-1531.0,10432.0,-3.43
