Duration,Total Assests,Liabilities,Short-term Liabilities,Long-term Liabilities,Owner's Equity,EPS,BVPS,PE
2006,1350408.0,806565.0,543654.0,262911.0,508382.0,2113.0,13120.0,0.0
2007,6334821.0,2713453.0,1789590.0,923863.0,3389054.0,5000.0,28252.0,0.0
2008,8871560.0,4690923.0,2553747.0,2137176.0,3728928.0,3895.0,20738.0,16.18
2009,12196211.0,7085142.0,4311428.0,2773714.0,4694915.0,6164.0,17392.0,12.66
2010,19043122.0,10261838.0,7051125.0,3210713.0,8192168.0,6383.0,28005.0,12.69
2011,25576512.0,15493289.0,6778371.0,8714918.0,9398583.0,2605.0,20113.0,7.48
2012,31284827.0,20461253.0,6724316.0,13736937.0,9753290.0,686.0,18150.0,31.48
2013,29813179.0,16293243.0,4959271.0,11333972.0,12852649.0,1349.0,17897.0,15.2
2014,36368864.0,20978624.0,9257202.0,11721422.0,14237728.0,1996.0,18025.0,11.07
2015,49228389.0,32962668.0,13212976.0,19749692.0,16265720.0,636.0,20592.0,16.35
2016,52763470.0,36113695.0,12726074.0,23387621.0,16649774.0,-1439.0,21078.0,-3.72
2017,53062128.0,35274155.0,12378346.0,22895809.0,17787973.0,83.0,19180.0,89.01
2018,48111442.0,31300555.0,13136735.0,18163820.0,16810887.0,127.0,18127.0,38.51
2019,38632487.0,21823683.0,8089793.0,13733890.0,16808804.0,233.0,18125.0,17.05
2020,37265820.0,27238024.0,15428980.0,11809044.0,10027795.0,-1354.0,10813.0,-3.88
2021,18439685.0,13766452.0,6754506.0,7011946.0,4673233.0,219.0,5039.0,60.75
2022,19798388.0,14603644.0,9218063.0,5385581.0,5194743.0,1217.0,5601.0,7.53
