Date,NOPAT
Q3/2008,36673806000
Q4/2008,42704071000
Q1/2009,239199174000
Q2/2009,297528695000
Q3/2009,320474203000
Q4/2009,331651192000
Q1/2010,509460757000
Q2/2010,396837399000
Q3/2010,587820974000
Q4/2010,538310603000
Q1/2011,370647908000
Q2/2011,240251328000
Q3/2011,293074385000
Q4/2011,224342072000
Q1/2012,78490609000
Q2/2012,103346414000
Q3/2012,96569112000
Q4/2012,63048808000
Q1/2013,85691339000
Q2/2013,284885400000
Q3/2013,235583315000
Q4/2013,295654577000
Q1/2014,372024508000
Q2/2014,264026429000
Q3/2014,949600998000
Q4/2014,53357536000
Q1/2015,365139811000
Q2/2015,466301295000
Q3/2015,377870630000
Q4/2015,-566309704000
Q1/2016,69353036000
Q2/2016,-931447222000
Q3/2016,-33927461000
Q4/2016,-22398904000
Q1/2017,5842119000
Q2/2017,671779548000
Q3/2017,103713005000
Q4/2017,-58537686000
Q1/2018,2608030000
Q2/2018,-37154708000
Q3/2018,403177008000
Q4/2018,-253287189000
Q1/2019,36169614000
Q2/2019,-552697838000
Q3/2019,713629794000
Q4/2019,56054794000
Q1/2020,-69195997000
Q2/2020,176580264000
Q3/2020,-187403487000
Q4/2020,-1173541443000
Q1/2021,-58413795000
Q2/2021,76630266000
Q3/2021,23707239000
Q4/2021,142232202000
Q1/2022,250023557000
Q2/2022,279724978000
Q3/2022,360742092000
Q4/2022,289730786000
Q1/2023,291084464000
Q2/2023,91205328000
Q3/2023,319954491000
