Date,Sales
Q3/2008,232739750000
Q4/2008,284809440000
Q1/2009,909281728000
Q2/2009,1138572478000
Q3/2009,1229855148000
Q4/2009,1087599367000
Q1/2010,1192641406000
Q2/2010,1314269792000
Q3/2010,573908894000
Q4/2010,1444057524000
Q1/2011,717105988000
Q2/2011,46823819000
Q3/2011,1383230649000
Q4/2011,1107541825000
Q1/2012,870380927000
Q2/2012,275277071000
Q3/2012,2396753209000
Q4/2012,1730690957000
Q1/2013,721785458000
Q2/2013,693187068000
Q3/2013,599302272000
Q4/2013,755133564000
Q1/2014,924767706000
Q2/2014,698049097000
Q3/2014,777347951000
Q4/2014,655483299000
Q1/2015,1049259516000
Q2/2015,1986448205000
Q3/2015,2168087987000
Q4/2015,1049144041000
Q1/2016,1972195382000
Q2/2016,1685449641000
Q3/2016,1253720071000
Q4/2016,1543110179000
Q1/2017,824014210000
Q2/2017,1652525963000
Q3/2017,1521711674000
Q4/2017,1160143015000
Q1/2018,1026781683000
Q2/2018,1887983723000
Q3/2018,1520609191000
Q4/2018,1042773432000
Q1/2019,410223705000
Q2/2019,512374782000
Q3/2019,557038549000
Q4/2019,602629589000
Q1/2020,833614000000
Q2/2020,636975878000
Q3/2020,700555086000
Q4/2020,913712893000
Q1/2021,265837454000
Q2/2021,544268514000
Q3/2021,554141153000
Q4/2021,743749672000
Q1/2022,802643415000
Q2/2022,1227399889000
Q3/2022,1441415871000
Q4/2022,1609828297000
Q1/2023,1696977772000
Q2/2023,1447883311000
Q3/2023,1889347514000
