tradingTime,lastPrice
2024-01-12,13.8
2024-01-11,14.1
2024-01-10,13.25
2024-01-09,13.35
2024-01-08,12.85
2024-01-05,13.1
2024-01-04,13.3
2024-01-03,13.7
2024-01-02,13.6
2023-12-29,13.2
2023-12-28,13.7
2023-12-27,13.85
2023-12-26,13.65
2023-12-25,13.75
2023-12-22,13.5
2023-12-21,13.35
2023-12-20,12.5
2023-12-19,12.4
2023-12-18,13.3
2023-12-15,13.05
2023-12-14,13.45
2023-12-13,13.55
2023-12-12,13.1
2023-12-11,13.0
2023-12-08,12.15
2023-12-07,12.4
2023-12-06,12.6
2023-12-05,11.9
2023-12-04,12.2
2023-12-01,11.8
2023-11-30,11.15
2023-11-29,11.25
2023-11-28,10.7
2023-11-27,10.6
2023-11-24,10.4
2023-11-23,9.8
2023-11-22,9.36
2023-11-21,9.26
2023-11-20,9.4
2023-11-17,9.12
2023-11-16,9.0
2023-11-15,8.98
2023-11-14,8.9
2023-11-13,9.0
2023-11-10,8.7
2023-11-09,8.5
2023-11-08,8.63
2023-11-07,8.38
2023-11-06,8.3
2023-11-03,8.2
2023-11-02,8.32
2023-11-01,8.16
2023-10-31,8.03
2023-10-30,8.33
2023-10-27,8.75
2023-10-26,8.69
2023-10-25,8.79
2023-10-24,8.72
2023-10-23,8.71
2023-10-20,8.15
2023-10-19,7.98
2023-10-18,7.7
2023-10-17,8.03
2023-10-16,8.33
2023-10-13,8.32
2023-10-12,8.22
2023-10-11,8.4
2023-10-10,8.43
2023-10-09,8.45
2023-10-06,8.2
2023-10-05,8.1
2023-10-04,7.72
2023-10-03,7.65
2023-10-02,7.9
2023-09-29,7.72
2023-09-28,7.8
2023-09-27,7.85
2023-09-26,7.51
2023-09-25,7.51
2023-09-22,8.07
2023-09-21,8.46
2023-09-20,8.5
2023-09-19,8.3
2023-09-18,8.44
2023-09-15,8.51
2023-09-14,8.5
2023-09-13,8.77
2023-09-12,8.97
2023-09-11,8.9
2023-09-08,9.19
2023-09-07,9.23
2023-09-06,9.14
2023-09-05,9.2
2023-08-31,9.18
2023-08-30,8.9
2023-08-29,8.9
2023-08-28,9.04
2023-08-25,8.92
2023-08-24,9.29
2023-08-23,8.8
2023-08-22,8.99
2023-08-21,8.57
2023-08-18,8.47
2023-08-17,9.1
2023-08-16,9.2
2023-08-15,9.2
