Item,Q4 2006,Q3 2007,Q4 2007,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Tài sản lưu động và đầu tư ngắn hạn,804711089000.0,1072935787070.0,4011680725000.0,4831016004000.0,6455382429000.0,4524792761000.0,4450238978000.0,4990491440000.0,5340035352000.0,7403555092000.0,8081862710000.0,8262292509000.0,9162579866000.0,11085919707000.0,11781429557000.0,13083429431000.0,14075800103000.0,13303193163000.0,13084330604000.0,13871489872000.0,11939133917000.0,13736225163000.0,15234297809000.0,17003801670000.0,15437372810000.0,9698754741000.0,9372877632000.0,10822752776000.0,11375929985000.0,10112881970000.0,11090076734000.0,12636848162000.0,13082986673000.0,13152918271000.0,13968053065000.0,11927800705000.0,13092099960000.0,10599895568000.0,10551688370000.0,9784612658000.0,7938021572000.0,8739143586000.0,7049204781000.0,7635142588000.0,7460985331000.0,10060599985000.0,6527891699000.0,6091773425000.0,8357620738000.0,7149532287000.0,6504078906000.0,7815824103000.0,9105200725000.0,10136116918000.0,4226879002000.0,5226803590000.0,5979111805000.0,5624732830000.0,4910486302000.0,8054798117000.0,8390708767000.0,8162952279000.0,8682963195000.0,7816012477000.0,6393721268000.0
I. Tiền và các khoản tương đương tiền,132797218000.0,56479972373.0,1290907575000.0,118873850000.0,722358461000.0,531085394000.0,456243436000.0,548722343000.0,597202369000.0,1944228950000.0,1345533525000.0,1224546617000.0,2192592098000.0,3588663440000.0,2489107241000.0,3123568302000.0,3150298210000.0,2893541410000.0,1687406551000.0,2578558970000.0,1598460370000.0,2518419172000.0,2444249100000.0,2376595774000.0,1729525709000.0,2449630457000.0,1429107363000.0,1940898403000.0,2277728564000.0,978411382000.0,932698338000.0,1467152784000.0,2079011827000.0,968617597000.0,1719734428000.0,1424306671000.0,889476060000.0,794085316000.0,209295185000.0,1619141339000.0,219902564000.0,141082424000.0,107320055000.0,223552064000.0,847689600000.0,337744709000.0,261427547000.0,177737527000.0,193002013000.0,254431619000.0,61138981000.0,82102337000.0,280416936000.0,97275396000.0,272554623000.0,155797335000.0,108787149000.0,78243594000.0,125163469000.0,117689314000.0,131545682000.0,72372525000.0,43230935000.0,50076560000.0,62329043000.0
1. Tiền,132797218000.0,56479972373.0,1290907575000.0,118873850000.0,722358461000.0,531085394000.0,456243436000.0,548722343000.0,597202369000.0,1944228950000.0,1345533525000.0,1224546617000.0,2192592098000.0,3588663440000.0,2489107241000.0,3123568302000.0,3150298210000.0,2893541410000.0,1687406551000.0,2578558970000.0,1598460370000.0,2518419172000.0,1673601656000.0,2061595774000.0,1721100993000.0,2449630457000.0,1429107363000.0,1940898403000.0,2277728564000.0,978411382000.0,932698338000.0,1467152784000.0,2079011827000.0,968617597000.0,1167253409000.0,1424306671000.0,889476060000.0,794085316000.0,209295185000.0,1619141339000.0,219902564000.0,141082424000.0,107320055000.0,223534938000.0,847689600000.0,337744709000.0,261427547000.0,177737527000.0,193002013000.0,254431619000.0,61138981000.0,82102337000.0,280416936000.0,97275396000.0,272554623000.0,155797335000.0,108787149000.0,78243594000.0,125163469000.0,117689314000.0,131545682000.0,72372525000.0,43230935000.0,50076560000.0,62329043000.0
2. Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,770647444000.0,315000000000.0,8424716000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,552481019000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17126000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II. Các khoản đầu tư tài chính ngắn hạn,0.0,90000000000.0,115202515000.0,700000000.0,0.0,0.0,0.0,0.0,0.0,157571210000.0,81783240000.0,81783240000.0,81783240000.0,81783240000.0,81783240000.0,81783240000.0,81783240000.0,97356499000.0,97356499000.0,81783240000.0,81783240000.0,150226645000.0,150378106000.0,150378106000.0,150378106000.0,150378106000.0,150378106000.0,81783240000.0,81783240000.0,81783240000.0,0.0,0.0,0.0,0.0,119118900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1. Chứng khoán kinh doanh,0.0,90000000000.0,115202515000.0,700000000.0,0.0,0.0,0.0,0.0,0.0,157571210000.0,81783240000.0,81783240000.0,81783240000.0,81783240000.0,81783240000.0,81783240000.0,81783240000.0,97356499000.0,97356499000.0,81783240000.0,81783240000.0,150226645000.0,150378106000.0,150378106000.0,150378106000.0,150378106000.0,150378106000.0,81783240000.0,81783240000.0,81783240000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Dự phòng giảm giá chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3. Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119118900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
III. Các khoản phải thu ngắn hạn,227591328000.0,727398419266.0,1117125828000.0,2333131986000.0,3201909701000.0,1984810093000.0,1738790877000.0,2157290061000.0,2483114203000.0,2956113887000.0,4378686678000.0,3970557532000.0,3705043913000.0,4362062643000.0,4883091613000.0,5024016434000.0,5786154176000.0,5542894756000.0,6220725682000.0,5704322426000.0,5946681159000.0,6831628383000.0,7741173082000.0,10061468076000.0,9259053687000.0,5053734881000.0,5584755143000.0,6520836784000.0,6760472174000.0,6672965810000.0,7665335301000.0,7873852724000.0,7432404754000.0,8400594474000.0,8397704073000.0,7881872906000.0,10229544391000.0,7773164852000.0,7803069877000.0,6959146839000.0,6463055813000.0,7282383158000.0,5416605321000.0,5975238401000.0,5074038979000.0,4793755054000.0,4427985064000.0,3930462557000.0,6105582076000.0,4613432334000.0,4060812391000.0,5314536189000.0,6186193971000.0,7672848395000.0,3690557074000.0,4749725113000.0,5482683651000.0,5111213017000.0,4068294574000.0,7053387394000.0,7175878584000.0,6896244045000.0,7608744421000.0,6477821085000.0,5084700976000.0
