Item,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023
1. Tổng doanh thu hoạt động kinh doanh,233198629000.0,284816379000.0,911100349000.0,1138735050000.0,1232219437000.0,1088196918000.0,1197235335000.0,1315280276000.0,574307591000.0,1444145558000.0,717198067000.0,47126749000.0,1383712836000.0,1107777767000.0,871360171000.0,274455704000.0,2398336598000.0,1733938823000.0,722302363000.0,696468492000.0,599609739000.0,755525497000.0,924839918000.0,699033329000.0,777463928000.0,655550065000.0,1049259516000.0,1986483733000.0,2168087987000.0,1049144041000.0,1972292199000.0,1686249718000.0,1254107155000.0,1547291844000.0,824014210000.0,1652525963000.0,1521723529000.0,1160158205000.0,1026781683000.0,1887983723000.0,1520609191000.0,1042773432000.0,410223705000.0,512374782000.0,566363249000.0,609694039000.0,835995736000.0,647700525000.0,700836738000.0,920374583000.0,284377961000.0,547666958000.0,554141153000.0,743749672000.0,802643415000.0,1233561181000.0,1441415871000.0,1609828297000.0,1696977772000.0,1458305400000.0,1889347514000.0
2. Các khoản giảm trừ doanh thu,458879000.0,6939000.0,1818621000.0,162572000.0,2364289000.0,597551000.0,4593929000.0,1010484000.0,398697000.0,88034000.0,92079000.0,302930000.0,482187000.0,235942000.0,979244000.0,-821367000.0,1583389000.0,3247866000.0,516905000.0,3281424000.0,307467000.0,391933000.0,72212000.0,984232000.0,115977000.0,66766000.0,0.0,35528000.0,0.0,0.0,96817000.0,800077000.0,387084000.0,4181665000.0,0.0,0.0,11855000.0,15190000.0,0.0,0.0,0.0,0.0,0.0,0.0,9324700000.0,7064450000.0,2381736000.0,10724647000.0,281652000.0,6661690000.0,18540507000.0,3398444000.0,0.0,0.0,0.0,6161292000.0,0.0,0.0,0.0,10422089000.0,0.0
3. Doanh thu thuần (1)-(2),232739750000.0,284809440000.0,909281728000.0,1138572478000.0,1229855148000.0,1087599367000.0,1192641406000.0,1314269792000.0,573908894000.0,1444057524000.0,717105988000.0,46823819000.0,1383230649000.0,1107541825000.0,870380927000.0,275277071000.0,2396753209000.0,1730690957000.0,721785458000.0,693187068000.0,599302272000.0,755133564000.0,924767706000.0,698049097000.0,777347951000.0,655483299000.0,1049259516000.0,1986448205000.0,2168087987000.0,1049144041000.0,1972195382000.0,1685449641000.0,1253720071000.0,1543110179000.0,824014210000.0,1652525963000.0,1521711674000.0,1160143015000.0,1026781683000.0,1887983723000.0,1520609191000.0,1042773432000.0,410223705000.0,512374782000.0,557038549000.0,602629589000.0,833614000000.0,636975878000.0,700555086000.0,913712893000.0,265837454000.0,544268514000.0,554141153000.0,743749672000.0,802643415000.0,1227399889000.0,1441415871000.0,1609828297000.0,1696977772000.0,1447883311000.0,1889347514000.0
4. Giá vốn hàng bán,57968044000.0,157851967000.0,430274340000.0,663093379000.0,631352838000.0,633826440000.0,576198427000.0,640106789000.0,363584558000.0,652885143000.0,373411137000.0,33356275000.0,751092953000.0,669969239000.0,618569267000.0,139650236000.0,2002246281000.0,1323000250000.0,382277420000.0,370020462000.0,384246125000.0,422621758000.0,493751313000.0,406786486000.0,465506569000.0,462919088000.0,615809246000.0,1205319215000.0,1531246477000.0,925578733000.0,1676693985000.0,1402304650000.0,1068082550000.0,1307209806000.0,605090667000.0,1023710787000.0,1105132789000.0,571673300000.0,547708547000.0,938764309000.0,658396633000.0,818856495000.0,324847356000.0,361136180000.0,553603316000.0,621689656000.0,550944912000.0,503707927000.0,756717986000.0,1082187580000.0,213412666000.0,488406990000.0,377623588000.0,511464292000.0,512833447000.0,1051747297000.0,1160601992000.0,1191082558000.0,1284611367000.0,1231710496000.0,1370659197000.0
5. Lợi nhuận gộp (3)-(4),174771706000.0,126957473000.0,479007388000.0,475479099000.0,598502310000.0,453772927000.0,616442979000.0,674163003000.0,210324336000.0,791172381000.0,343694851000.0,13467544000.0,632137696000.0,437572586000.0,251811660000.0,135626835000.0,394506928000.0,407690707000.0,339508038000.0,323166606000.0,215056147000.0,332511806000.0,431016393000.0,291262611000.0,311841382000.0,192564211000.0,433450270000.0,781128990000.0,636841510000.0,123565308000.0,295501397000.0,283144991000.0,185637521000.0,235900373000.0,218923543000.0,628815176000.0,416578885000.0,588469715000.0,479073136000.0,949219414000.0,862212558000.0,223916937000.0,85376349000.0,151238602000.0,3435233000.0,-19060067000.0,282669088000.0,133267951000.0,-56162900000.0,-168474687000.0,52424788000.0,55861524000.0,176517565000.0,232285380000.0,289809968000.0,175652592000.0,280813879000.0,418745739000.0,412366405000.0,216172815000.0,518688317000.0
6. Doanh thu hoạt động tài chính,5553677000.0,4810870000.0,12272230000.0,23287056000.0,11500520000.0,152321962000.0,197233089000.0,157931100000.0,724158239000.0,176778159000.0,434975337000.0,510025451000.0,182175703000.0,88392173000.0,89550047000.0,300477339000.0,78364200000.0,29357686000.0,62948986000.0,498640276000.0,309566141000.0,180083585000.0,162633797000.0,196780620000.0,925426176000.0,204092625000.0,172931096000.0,357534003000.0,313613736000.0,232543476000.0,216847266000.0,353857283000.0,240298933000.0,176614983000.0,145866503000.0,1168701266000.0,294502161000.0,143198648000.0,265154784000.0,171039541000.0,740394810000.0,210914640000.0,198501484000.0,178454563000.0,1438727782000.0,257849656000.0,157128481000.0,193006899000.0,139308545000.0,783598219000.0,349381638000.0,126778094000.0,131878805000.0,127597012000.0,192433717000.0,95362548000.0,117516140000.0,81588709000.0,140603812000.0,115207273000.0,35285629000.0
7. Chi phí tài chính,41030718000.0,25863722000.0,63633895000.0,47458933000.0,49067182000.0,53270495000.0,36907093000.0,55916731000.0,48016045000.0,71907890000.0,96061408000.0,119350315000.0,238489904000.0,85752736000.0,139994667000.0,205096686000.0,133483185000.0,195538004000.0,160278611000.0,297941656000.0,180509434000.0,198122694000.0,128080981000.0,187038220000.0,134915712000.0,194457367000.0,243867645000.0,252166641000.0,357887051000.0,374568052000.0,304146562000.0,584262228000.0,405159143000.0,397015346000.0,252994018000.0,526428023000.0,331354541000.0,381277553000.0,396082714000.0,527611057000.0,442665687000.0,318627212000.0,360171807000.0,381245172000.0,272682592000.0,349203912000.0,323656015000.0,122691702000.0,264031809000.0,503373103000.0,214773324000.0,171468222000.0,691541699000.0,-254730889000.0,185935046000.0,875854258000.0,166049752000.0,406780617000.0,145620867000.0,408186537000.0,232113833000.0
Trong đó: Chi phí lãi vay,37502887000.0,21034748000.0,63345969000.0,44414225000.0,47386420000.0,52296900000.0,35451633000.0,53741249000.0,45687265000.0,60499211000.0,93356048000.0,92539074000.0,226796941000.0,52938205000.0,121837702000.0,150158944000.0,100209334000.0,122949445000.0,126622700000.0,233027297000.0,154496482000.0,107835975000.0,101753364000.0,144688335000.0,128363187000.0,177920221000.0,219229843000.0,240085190000.0,290502191000.0,376383757000.0,282266762000.0,515210622000.0,377543211000.0,382066557000.0,251239838000.0,487726853000.0,325774254000.0,387041472000.0,376643990000.0,428655799000.0,407529415000.0,-326116098000.0,328353118000.0,355818482000.0,248519193000.0,287647055000.0,267384264000.0,222778382000.0,213074410000.0,496858750000.0,199801102000.0,164960088000.0,166496684000.0,167410395000.0,162681086000.0,223625108000.0,166851219000.0,225491995000.0,167570764000.0,314531352000.0,195939081000.0
8. Phần lợi nhuận hoặc lỗ trong công ty liên kết liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4808450000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-982218000.0,0.0,0.0,0.0,0.0,0.0,0.0,-928619000.0,-969544000.0,37844000.0,-10741013000.0,-3671293000.0,14872208000.0,-11818498000.0,12442616000.0,5075089000.0,-13071382000.0,-14056924000.0,1517654000.0,50714031000.0,27466668000.0,28994861000.0,6445026000.0,-59716002000.0,36838462000.0,2203204000.0,-609064000.0,2291655000.0,4881092000.0,1789761000.0,-7609521000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11069302000.0,0.0
9. Chi phí bán hàng,31985236000.0,13265586000.0,17989274000.0,28243508000.0,42034060000.0,20256594000.0,30869569000.0,31266209000.0,28905980000.0,41990192000.0,37650091000.0,28325133000.0,68500975000.0,16841619000.0,32647215000.0,29479580000.0,31628488000.0,73062988000.0,46398276000.0,41244214000.0,20631273000.0,10896511000.0,16620400000.0,24458653000.0,28263993000.0,12870507000.0,16393385000.0,20081555000.0,47598471000.0,33206551000.0,26540281000.0,64325282000.0,35712941000.0,37024356000.0,29831315000.0,33218866000.0,32694527000.0,50060174000.0,39778009000.0,54605031000.0,50524467000.0,47538707000.0,38489276000.0,102745054000.0,90737114000.0,75571854000.0,84378084000.0,131758609000.0,73821668000.0,64625845000.0,17223230000.0,31034054000.0,38688599000.0,42341282000.0,52131738000.0,90534641000.0,58592791000.0,50279020000.0,58900521000.0,46192139000.0,67692771000.0
