Period,Lưu chuyển tiền thuần trong kỳ
Q4 2008,-195384686000.0
Q1 2009,-74841958000.0
Q2 2009,92478907000.0
Q3 2009,48480026000.0
Q4 2009,1347026581000.0
Q1 2010,-598695425000.0
Q2 2010,-120986908000.0
Q3 2010,968045481000.0
Q4 2010,1396071342000.0
Q1 2011,-1099556199000.0
Q2 2011,634461061000.0
Q3 2011,26729908000.0
Q4 2011,325811981000.0
Q1 2012,-1209050180000.0
Q2 2012,891152419000.0
Q3 2012,-980098600000.0
Q4 2012,919958802000.0
Q1 2013,-74170071000.0
Q2 2013,-67653326000.0
Q3 2013,-647070065000.0
Q4 2013,720104748000.0
Q1 2014,-1019148659000.0
Q2 2014,511791040000.0
Q3 2014,336830161000.0
Q4 2014,-1299317182000.0
Q1 2015,-45715479000.0
Q2 2015,534454446000.0
Q3 2015,611859043000.0
Q4 2015,-1110394230000.0
Q1 2016,751767733000.0
Q2 2016,-295427757000.0
Q3 2016,-534830611000.0
Q4 2016,-95390744000.0
Q1 2017,-581913108000.0
Q2 2017,1641020864000.0
Q3 2017,-1633531367000.0
Q4 2017,-78820140000.0
Q1 2018,-34153436000.0
Q2 2018,121827016000.0
Q3 2018,618542529000.0
Q4 2018,-509944891000.0
Q1 2019,-76309172000.0
Q2 2019,-83690020000.0
Q3 2019,15264486000.0
Q4 2019,61429606000.0
Q1 2020,-193292635000.0
Q2 2020,20963356000.0
Q3 2020,198314599000.0
Q4 2020,-183141540000.0
Q1 2021,175403425000.0
Q2 2021,-116757288000.0
Q3 2021,-47010186000.0
Q4 2021,-30543555000.0
Q1 2022,46865432000.0
Q2 2022,-7474155000.0
Q3 2022,13856368000.0
Q4 2022,-59173157000.0
Q1 2023,-29141590000.0
Q2 2023,6845625000.0
Q3 2023,12252483000.0
