Duration,Total Assests,Liabilities,Short-term Liabilities,Long-term Liabilities,Owner's Equity,EPS,BVPS,PE
2008 - Q1,194775,128661,124602,4059,61603,467,11201,0.0
2008 - Q2,227291,162330,157229,5101,60232,881,10951,21.91
2008 - Q3,249833,183212,179514,3698,61694,1189,11217,10.35
2008 - Q4,331028,261740,225872,35868,63813,1881,11602,5.64
2009 - Q1,366847,300589,221437,79152,61088,1672,11107,6.16
2009 - Q2,542561,477702,285965,191737,59509,1770,10820,10.4
2009 - Q3,784907,718184,444673,273511,66723,2408,12131,13.74
2009 - Q4,1147695,989621,586216,403405,149854,1994,11100,14.04
2010 - Q1,1705875,1542956,878459,664497,162918,3452,12068,12.31
2010 - Q2,2276700,2084176,1138494,945682,177317,5023,13135,5.91
2010 - Q3,2778849,2335081,1293706,1041375,433828,4591,12396,5.23
2010 - Q4,3178533,2684540,1172640,1511900,460500,4048,13158,4.94
2011 - Q1,3683701,3174205,1350047,1824158,471373,3968,13469,3.68
2011 - Q2,3824004,3295532,1276222,2019310,484299,3063,13838,3.2
2011 - Q3,4068369,3528349,1279263,2249086,497853,2544,14225,4.09
2011 - Q4,4422337,3842933,957860,2885073,528545,2492,15102,2.61
2012 - Q1,4440253,3847169,910056,2937113,538084,1905,15375,4.62
2012 - Q2,4907212,4348182,1161543,3186639,505003,1812,14430,6.02
2012 - Q3,4859075,4297401,1206689,3090712,508015,1649,14516,4.67
2012 - Q4,4167870,3555842,937565,2618277,557199,1061,15921,7.83
2013 - Q1,3932141,3320394,887082,2433312,557327,707,15925,11.17
2013 - Q2,3906520,3133827,1038228,2095599,718193,408,11109,17.91
2013 - Q3,4113395,3338145,1105920,2232225,719505,276,11130,22.12
2013 - Q4,4770423,3996612,1172569,2824043,737403,244,11407,32.39
2014 - Q1,5235493,4458924,962555,3496369,740605,210,11456,63.76
2014 - Q2,5611794,4635081,784753,3850328,941622,175,11124,63.92
2014 - Q3,5986622,4989801,1599817,3389984,962543,408,11371,28.41
2014 - Q4,6213337,4885559,1567667,3317892,1295870,3277,13692,4.33
2015 - Q1,5787600,4454272,887560,3566712,1333328,3115,14087,4.98
2015 - Q2,6596187,4987340,1220423,3766917,1608848,3094,12530,3.78
2015 - Q3,7402534,5778965,1123295,4655670,1623569,2703,12644,4.03
2015 - Q4,7086351,5363935,727385,4636550,1722416,1429,13414,7.91
2016 - Q1,7480363,5653125,739175,4913950,1827238,1972,14230,5.02
2016 - Q2,8117601,5822522,823859,4998663,2295079,2259,13627,4.29
2016 - Q3,8458890,6029110,934711,5094399,2429780,2962,13780,4.46
2016 - Q4,9319853,6786656,1517801,5268855,2533197,2621,14366,4.31
2017 - Q1,9808770,7140229,1551632,5588597,2668541,2727,15134,5.06
2017 - Q2,9962861,7474909,1670687,5804222,2487952,2446,13065,5.03
2017 - Q3,10672631,7519617,1263915,6255702,3153014,1798,12559,6.73
2017 - Q4,10768827,7541440,1028185,6513255,3227387,1488,12855,7.26
2018 - Q1,10573596,7338834,858963,6479871,3234762,824,12884,11.17
2018 - Q2,10853953,7588727,941239,6647488,3265225,706,13006,8.5
2018 - Q3,10776890,7472630,912164,6560466,3304260,662,13161,8.91
2018 - Q4,10831100,7666896,1656528,6010368,3164204,305,11779,12.45
2019 - Q1,10801562,7651095,1616920,6034175,3150467,222,11728,17.6
2019 - Q2,10863164,7711927,1671946,6039981,3151237,83,11731,28.8
2019 - Q3,11002782,7820275,1755630,6064645,3182507,52,11847,44.39
2019 - Q4,11018000,7803075,1659284,6143791,3214926,199,11968,12.03
2020 - Q1,11025702,7813812,1681930,6131882,3211890,269,11956,4.83
2020 - Q2,11056220,7857825,1809636,6048189,3198395,212,11906,12.27
2020 - Q3,10894086,7784787,1810104,5974683,3109300,-205,11575,-13.19
2020 - Q4,10158471,7197645,1194863,6002782,2960826,-875,11022,-4.8
2021 - Q1,10098220,7161776,1206014,5955762,2936444,-993,10931,-6.65
2021 - Q2,9956996,7069612,1241013,5828599,2887384,-1121,0,-7.05
2021 - Q3,9842855,7028248,1235609,5792639,2814607,-1066,10478,-9.76
2021 - Q4,10831269,7028091,1273916,5754175,3803178,177,10909,117.25
2022 - Q1,10856790,6913177,1302338,5610839,3943613,554,11312,63.01
2022 - Q2,11280531,7359137,1810890,5548247,3921395,718,11248,34.83
2022 - Q3,11598091,7667700,2150474,5517226,3930392,897,11274,24.53
2022 - Q4,11632651,7764692,2678066,5086626,3867959,402,11095,35.1
2023 - Q1,11600121,7725915,2221327,5504588,3874206,149,11113,106.79
2023 - Q2,11664779,7780716,2577764,5202952,3884064,136,11141,142.31
2023 - Q3,25089382,13867346,6614611,7252735,11222036,119,12574,206.14
