Duration,Total Assests,Liabilities,Short-term Liabilities,Long-term Liabilities,Owner's Equity,EPS,BVPS,PE
2006,160502.0,139940.0,130153.0,9787.0,17505.0,1612.0,11730.0,0.0
2007,221932.0,157496.0,151676.0,5820.0,59759.0,1505.0,10865.0,0.0
2008,331000.0,261740.0,225873.0,35867.0,63848.0,1594.0,11609.0,6.65
2009,1148213.0,989621.0,587212.0,402409.0,149933.0,2785.0,27261.0,10.05
2010,3178533.0,2684479.0,1172579.0,1511900.0,460531.0,3708.0,13159.0,5.39
2011,4422337.0,3842933.0,957860.0,2885073.0,528545.0,2492.0,15102.0,1.69
2012,4167870.0,3556200.0,937923.0,2618277.0,556879.0,1052.0,15912.0,7.89
2013,4770423.0,3996612.0,1172569.0,2824043.0,737403.0,244.0,11407.0,32.39
2014,6213337.0,4885559.0,1567667.0,3317892.0,1295870.0,3277.0,15309.0,4.33
2015,7086351.0,5363935.0,727385.0,4636550.0,1722416.0,1429.0,13414.0,7.91
2016,9319853.0,6786656.0,1517801.0,5268855.0,2533197.0,2621.0,14366.0,4.3
2017,10768827.0,7541440.0,1028185.0,6513255.0,3227387.0,1488.0,12855.0,7.26
2018,10831100.0,7666896.0,1656528.0,6010368.0,3164204.0,305.0,11779.0,12.45
2019,11018000.0,7803075.0,1659284.0,6143791.0,3214926.0,199.0,11968.0,12.03
2020,10158471.0,7197645.0,1194863.0,6002782.0,2960826.0,-875.0,11022.0,-4.8
2021,10815400.0,7007867.0,1244612.0,5763255.0,3807532.0,228.0,10921.0,91.38
2022,11632372.0,7758905.0,2208583.0,5550322.0,3873467.0,415.0,11110.0,34.0
