Date,NOPAT
Q1/2008,2570530222
Q2/2008,2274796813
Q3/2008,2613007677
Q4/2008,3806118463
Q1/2009,1421343676
Q2/2009,2812915079
Q3/2009,4456699617
Q4/2009,1529810841
Q1/2010,5278290614
Q2/2010,22229515505
Q3/2010,11973854707
Q4/2010,27486641714
Q1/2011,34694817738
Q2/2011,16581383714
Q3/2011,10285889340
Q4/2011,25634802313
Q1/2012,14182495167
Q2/2012,13312941340
Q3/2012,4564534513
Q4/2012,5057962737
Q1/2013,1822927711
Q2/2013,2948412086
Q3/2013,1990839984
Q4/2013,5593572070
Q1/2014,1548405575
Q2/2014,2769479975
Q3/2014,20019636410
Q4/2014,233726226756
Q1/2015,5586144657
Q2/2015,18412945880
Q3/2015,14096420847
Q4/2015,122069668964
Q1/2016,84515158151
Q2/2016,74699249490
Q3/2016,138624097332
Q4/2016,105396605180
Q1/2017,131583310264
Q2/2017,51195927170
Q3/2017,44716078016
Q4/2017,77335936094
Q1/2018,10072509951
Q2/2018,37625667918
Q3/2018,41245467279
Q4/2018,-11707764337
Q1/2019,-10206726734
Q2/2019,2449759558
Q3/2019,33244301825
Q4/2019,28100342923
Q1/2020,8498950056
Q2/2020,-12911655975
Q3/2020,-78681573129
Q4/2020,-151967347537
Q1/2021,-23061457208
Q2/2021,-47455520804
Q3/2021,-63775892830
Q4/2021,182289623322
Q1/2022,89073131553
Q2/2022,13172725293
Q3/2022,9861429558
Q4/2022,26920797277
Q1/2023,928187844
Q2/2023,12720171661
Q3/2023,7391581609
