tradingTime,lastPrice
2024-01-12,20.2
2024-01-11,20.5
2024-01-10,20.8
2024-01-09,20.8
2024-01-08,20.9
2024-01-05,20.5
2024-01-04,20.3
2024-01-03,20.2
2024-01-02,20.0
2023-12-29,20.2
2023-12-28,19.5
2023-12-27,19.5
2023-12-26,19.7
2023-12-25,19.7
2023-12-22,19.4
2023-12-21,19.4
2023-12-20,19.4
2023-12-19,19.4
2023-12-18,19.1
2023-12-15,19.5
2023-12-14,19.6
2023-12-13,20.6
2023-12-12,20.9
2023-12-11,20.7
2023-12-08,20.9
2023-12-07,20.8
2023-12-06,21.3
2023-12-05,20.3
2023-12-04,20.5
2023-12-01,19.5
2023-11-30,19.9
2023-11-29,19.5
2023-11-28,19.3
2023-11-27,19.3
2023-11-24,20.0
2023-11-23,20.0
2023-11-22,21.1
2023-11-21,21.0
2023-11-20,19.9
2023-11-17,19.9
2023-11-16,20.5
2023-11-15,20.1
2023-11-14,19.9
2023-11-13,19.5
2023-11-10,19.7
2023-11-09,20.1
2023-11-08,19.9
2023-11-07,18.2
2023-11-06,18.9
2023-11-03,19.0
2023-11-02,18.7
2023-11-01,17.5
2023-10-31,16.6
2023-10-30,17.5
2023-10-27,19.1
2023-10-26,19.0
2023-10-25,21.1
2023-10-24,21.6
2023-10-23,21.2
2023-10-20,21.6
2023-10-19,20.5
2023-10-18,21.8
2023-10-17,22.3
2023-10-16,23.8
2023-10-13,23.5
2023-10-12,23.5
2023-10-11,23.1
2023-10-10,23.0
2023-10-09,23.3
2023-10-06,23.0
2023-10-05,22.5
2023-10-04,22.9
2023-10-03,22.1
2023-10-02,24.2
2023-09-29,24.5
2023-09-28,23.0
2023-09-27,23.2
2023-09-26,21.1
2023-09-25,20.7
2023-09-22,23.0
2023-09-21,24.9
2023-09-20,25.8
2023-09-19,24.8
2023-09-18,24.6
2023-09-15,25.3
2023-09-14,25.3
2023-09-13,26.8
2023-09-12,27.4
2023-09-11,26.9
2023-09-08,28.1
2023-09-07,27.9
2023-09-06,28.5
2023-09-05,26.3
2023-08-31,26.2
2023-08-30,26.3
2023-08-29,25.8
2023-08-28,26.8
2023-08-25,25.2
2023-08-24,24.9
2023-08-23,23.9
2023-08-22,24.4
2023-08-21,24.5
2023-08-18,23.9
2023-08-17,26.5
2023-08-16,27.0
2023-08-15,27.0
2023-08-14,27.4
2023-08-11,25.5
2023-08-10,24.8
2023-08-09,24.9
2023-08-08,24.5
2023-08-07,24.6
2023-08-04,24.8
2023-08-03,23.8
2023-08-02,24.3
2023-08-01,23.2
2023-07-31,21.1
2023-07-28,20.4
2023-07-27,20.2
2023-07-26,20.3
2023-07-25,20.5
2023-07-24,20.8
2023-07-21,20.8
2023-07-20,20.6
2023-07-19,20.1
2023-07-18,20.5
2023-07-17,20.6
2023-07-14,20.5
2023-07-13,20.1
2023-07-12,20.0
2023-07-11,20.1
2023-07-10,19.4
2023-07-07,19.3
2023-07-06,19.1
2023-07-05,19.6
2023-07-04,19.5
2023-07-03,19.3
2023-06-30,19.3
2023-06-29,19.4
2023-06-28,19.5
2023-06-27,19.7
2023-06-26,19.6
2023-06-23,20.0
2023-06-22,20.0
2023-06-21,20.1
2023-06-20,18.5
2023-06-19,18.0
2023-06-16,18.0
2023-06-15,18.3
2023-06-14,18.5
2023-06-13,18.6
2023-06-12,18.4
2023-06-09,18.4
2023-06-08,18.3
2023-06-07,18.6
2023-06-06,18.3
2023-06-05,18.3
2023-06-02,18.2
2023-06-01,18.4
2023-05-31,18.5
2023-05-30,18.2
2023-05-29,18.2
2023-05-26,17.9
2023-05-25,17.8
2023-05-24,17.3
2023-05-23,17.1
2023-05-22,17.5
2023-05-19,16.9
2023-05-18,16.7
2023-05-17,16.8
2023-05-16,17.4
2023-05-15,17.7
2023-05-12,17.2
2023-05-11,17.1
2023-05-10,16.9
2023-05-09,16.9
2023-05-08,17.0
2023-05-05,16.4
2023-05-04,16.7
2023-04-28,16.1
2023-04-27,15.8
2023-04-26,15.7
2023-04-25,15.4
2023-04-24,15.5
2023-04-21,15.5
2023-04-20,15.8
2023-04-19,15.8
2023-04-18,16.2
2023-04-17,15.7
2023-04-14,15.9
2023-04-13,16.4
2023-04-12,16.7
2023-04-11,17.0
2023-04-10,16.6
2023-04-07,17.2
2023-04-06,16.9
2023-04-05,16.6
2023-04-04,16.3
2023-04-03,16.4
2023-03-31,15.9
2023-03-30,15.8
2023-03-29,15.5
2023-03-28,15.5
2023-03-27,15.8
2023-03-24,15.5
2023-03-23,15.3
2023-03-22,15.4
2023-03-21,15.4
2023-03-20,15.3
2023-03-17,15.7
2023-03-16,15.3
2023-03-15,15.8
2023-03-14,14.9
2023-03-13,16.0
2023-03-10,16.1
2023-03-09,15.5
2023-03-08,15.6
2023-03-07,15.0
2023-03-06,15.4
2023-03-03,15.5
2023-03-02,15.6
2023-03-01,14.8
2023-02-28,14.4
2023-02-27,14.3
2023-02-24,14.8
2023-02-23,14.8
2023-02-22,14.7
2023-02-21,14.8
2023-02-20,15.1
2023-02-17,14.1
2023-02-16,14.1
2023-02-15,13.9
2023-02-14,13.4
2023-02-13,13.4
2023-02-10,14.1
2023-02-09,14.3
2023-02-08,14.1
2023-02-07,14.2
2023-02-06,15.1
2023-02-03,15.2
2023-02-02,14.8
2023-02-01,15.4
2023-01-31,16.8
2023-01-30,16.6
2023-01-27,16.0
2023-01-19,15.9
2023-01-18,15.9
2023-01-17,15.6
2023-01-16,14.8
2023-01-13,14.7
2023-01-12,14.5
2023-01-11,14.6
2023-01-10,14.7
2023-01-09,14.3
2023-01-06,14.5
2023-01-05,15.1
2023-01-04,15.1
2023-01-03,15.5
2022-12-30,14.1
2022-12-29,14.2
2022-12-28,14.5
2022-12-27,14.6
2022-12-26,13.8
2022-12-23,14.8
2022-12-22,14.4
2022-12-21,14.5
2022-12-20,14.6
2022-12-19,16.0
2022-12-16,17.5
2022-12-15,16.8
2022-12-14,16.9
2022-12-13,17.2
2022-12-12,17.0
2022-12-09,18.6
2022-12-08,17.9
2022-12-07,17.0
2022-12-06,17.7
2022-12-05,17.7
2022-12-02,16.2
2022-12-01,15.8
2022-11-30,16.0
2022-11-29,16.2
2022-11-28,16.2
2022-11-25,14.8
2022-11-24,13.8
2022-11-23,13.7
2022-11-22,14.2
2022-11-21,14.1
2022-11-18,12.9
2022-11-17,12.8
2022-11-16,11.8
2022-11-15,10.8
2022-11-14,12.0
2022-11-11,12.5
2022-11-10,13.3
2022-11-09,14.7
2022-11-08,14.4
2022-11-07,14.4
2022-11-04,16.0
2022-11-03,16.8
2022-11-02,17.1
2022-11-01,17.2
2022-10-31,16.5
2022-10-28,16.8
2022-10-27,17.2
2022-10-26,16.1
2022-10-25,16.1
2022-10-24,16.2
2022-10-21,18.0
2022-10-20,20.0
2022-10-19,20.5
2022-10-18,20.9
2022-10-17,19.0
2022-10-14,19.4
2022-10-13,19.1
2022-10-12,19.2
2022-10-11,19.0
2022-10-10,21.1
2022-10-07,20.0
2022-10-06,21.5
2022-10-05,22.5
2022-10-04,21.5
2022-10-03,21.5
2022-09-30,22.0
2022-09-29,21.5
2022-09-28,23.7
2022-09-27,24.6
2022-09-26,24.2
2022-09-23,26.1
2022-09-22,26.1
2022-09-21,25.9
