Item,Q4 2006,Q4 2007,Q1 2008,Q2 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Tài sản lưu động và đầu tư ngắn hạn,132196287924.0,192721264671.0,163968024829.0,191698397646.0,279571888704.0,286779849504.0,323836453940.0,548098481717.0,623531455216.0,992458743324.0,1281239301040.0,1698083087455.0,1504725283346.0,1832890023932.0,1799343339926.0,1801619446469.0,1936790426443.0,1918012289200.0,1931217819218.0,1674475683887.0,1509195950317.0,1383731035838.0,1326440497808.0,1226213360519.0,1350999578959.0,1369167779688.0,1262692707241.0,1196553875471.0,1966981157973.0,1263399279279.0,1574021336414.0,2018106727095.0,1975190602956.0,2043539808803.0,2148582288932.0,2155162517087.0,2110035004915.0,2360133551258.0,1936329947397.0,1783876417542.0,1789831452027.0,2068716388289.0,2271514498303.0,1143686652273.0,2117560373052.0,2100040705327.0,2114481472750.0,2205520769768.0,2311130883461.0,2380527569160.0,2315947889089.0,2350750062700.0,1462839215580.0,1447699161377.0,1338583548768.0,1144792147989.0,2316172391449.0,2385300809481.0,2854777096448.0,3300891412667.0,3181497329496.0,2851208018093.0,2918120430552.0,8953647624769.0
I. Tiền và các khoản tương đương tiền,22923992928.0,27587233120.0,6785278846.0,7152097659.0,40002162023.0,53095948305.0,53723029766.0,59488104125.0,162997584053.0,204340224230.0,249747763703.0,133017682687.0,125196917663.0,226526018075.0,265867559721.0,110374753632.0,154520948747.0,97345754642.0,237275897126.0,67924858020.0,63446806706.0,60212481412.0,62642319830.0,39748521729.0,298805737348.0,193116350388.0,207403030926.0,232821038611.0,360060918592.0,92598446993.0,173041622466.0,626351634440.0,576880129477.0,524486183320.0,454208613221.0,515120227351.0,428688075454.0,567449820337.0,615498770529.0,260262987377.0,324184082083.0,178888223422.0,319443431083.0,220335676462.0,142526664337.0,147792118302.0,133323453352.0,167882994045.0,146076986910.0,210242851576.0,159689866053.0,244578692610.0,219322711611.0,329136378556.0,329814461490.0,323084151130.0,641553582230.0,613070213571.0,793126124154.0,784068909071.0,953430125623.0,978643224333.0,1037972543837.0,1582069843068.0
1. Tiền,22923992928.0,27587233120.0,,7152097659.0,40002162023.0,,,59488104125.0,,94863224230.0,67460763703.0,64530682687.0,60998417663.0,39207018075.0,118525134190.0,55588916474.0,21316948747.0,48145754642.0,12945897126.0,63994858020.0,29016806706.0,40412481412.0,35755319830.0,20661521729.0,298548737348.0,192859350388.0,107146030926.0,145931038611.0,302860918592.0,32898446993.0,130482535210.0,546151634440.0,295680129477.0,179462183320.0,99214809981.0,152991599700.0,84155056489.0,97150249671.0,347395610756.0,65632656417.0,120435157462.0,69956468224.0,69835455042.0,62257535358.0,45772170869.0,101550002404.0,76036119475.0,111457865474.0,115602160741.0,120634892043.0,123389311258.0,232278137815.0,198909108118.0,298135823761.0,290309095618.0,252935874976.0,404156054780.0,598045189392.0,738123775848.0,784066542965.0,936427741777.0,972452073796.0,1037972543837.0,1455359981882.0
2. Các khoản tương đương tiền,0.0,0.0,,0.0,0.0,,,0.0,,109477000000.0,182287000000.0,68487000000.0,64198500000.0,187319000000.0,147342425531.0,54785837158.0,133204000000.0,49200000000.0,224330000000.0,3930000000.0,34430000000.0,19800000000.0,26887000000.0,19087000000.0,257000000.0,257000000.0,100257000000.0,86890000000.0,57200000000.0,59700000000.0,42559087256.0,80200000000.0,281200000000.0,345024000000.0,354993803240.0,362128627651.0,344533018965.0,470299570666.0,268103159773.0,194630330960.0,203748924621.0,108931755198.0,249607976041.0,158078141104.0,96754493468.0,46242115898.0,57287333877.0,56425128571.0,30474826169.0,89607959533.0,36300554795.0,12300554795.0,20413603493.0,31000554795.0,39505365872.0,70148276154.0,237397527450.0,15025024179.0,55002348306.0,2366106.0,17002383846.0,6191150537.0,0.0,126709861186.0
II. Các khoản đầu tư tài chính ngắn hạn,0.0,0.0,0.0,16487000000.0,11887000000.0,0.0,387000000.0,110287000000.0,30249500000.0,3500000000.0,20045000000.0,154652000000.0,68214032703.0,72915981903.0,59143638991.0,59383931315.0,45797649751.0,44151474051.0,34758974051.0,34758974051.0,5077309615.0,7907309615.0,4629510005.0,3579510005.0,38929510005.0,56829510005.0,18679510005.0,17639510005.0,76362165051.0,101561879550.0,120290084189.0,63658421480.0,45249232122.0,45249232122.0,315049232122.0,194397190322.0,134298370409.0,169298370409.0,59815677076.0,404297430548.0,246331476176.0,138231476176.0,58478302811.0,57278302811.0,60399980583.0,58276150607.0,58250519579.0,61362019362.0,61403931812.0,61403931812.0,10538331485.0,10390000000.0,46920000000.0,71558398516.0,38558398516.0,24921300000.0,618144607184.0,299260000000.0,0.0,0.0,596530000000.0,190210000000.0,204226746505.0,741207895204.0
1. Chứng khoán kinh doanh,0.0,0.0,0.0,16487000000.0,11887000000.0,0.0,,110287000000.0,,3500000000.0,20045000000.0,154652000000.0,68214032703.0,72915981903.0,59143638991.0,59383931315.0,46024490521.0,44151474051.0,34758974051.0,34758974051.0,5077309615.0,7907309615.0,4629510005.0,3579510005.0,38929510005.0,56829510005.0,18679510005.0,17639510005.0,76362165051.0,101561879550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359320000000.0,0.0,0.0,27452052543.0
2. Dự phòng giảm giá chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-226840770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15221858622.0
3. Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120290084189.0,63658421480.0,45249232122.0,45249232122.0,315049232122.0,194397190322.0,134298370409.0,169298370409.0,59815677076.0,404297430548.0,246331476176.0,138231476176.0,58478302811.0,57278302811.0,60399980583.0,58276150607.0,58250519579.0,61362019362.0,61403931812.0,61403931812.0,10538331485.0,10390000000.0,46920000000.0,71558398516.0,38558398516.0,24921300000.0,618144607184.0,299260000000.0,0.0,0.0,237210000000.0,190210000000.0,204226746505.0,728977701283.0
III. Các khoản phải thu ngắn hạn,75713171022.0,111237575359.0,68546254694.0,46715891284.0,104797951358.0,77023364306.0,76545168880.0,125762034278.0,245227042467.0,525035326391.0,360218456050.0,768574931162.0,983581001342.0,1173561021911.0,1088234975831.0,1218685656333.0,1376931743533.0,1385714887821.0,1221943365727.0,1153367802376.0,1061579424953.0,905717922060.0,883228841661.0,782801542904.0,840689368527.0,923112795895.0,874567619473.0,762570944087.0,1383841951985.0,940779184245.0,1157740541270.0,1176000640750.0,1220713013767.0,1325812271103.0,1198537961603.0,1244988089731.0,1311592792249.0,1361622899658.0,1097679059961.0,926349342429.0,995954574876.0,1526231552465.0,1677549876245.0,689165971524.0,1667038767749.0,1652120888062.0,1714289700837.0,1691486443826.0,1851735542157.0,1854054355356.0,1926181917044.0,1886547205199.0,975469626587.0,845024875633.0,785678430709.0,613615246767.0,822160342764.0,1334034162338.0,1877133369852.0,2326731265286.0,1481893388016.0,1564544400504.0,1524435057011.0,3490344576056.0
