Item,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023
1. Tổng doanh thu hoạt động kinh doanh,31321973613.0,35727108986.0,77456261710.0,154457182008.0,31112964755.0,77469764227.0,92306594087.0,271451143886.0,107589289917.0,246820794780.0,188851769644.0,301965695419.0,221122315854.0,351074823804.0,265767699018.0,696799415334.0,213623615354.0,275161265687.0,238517982115.0,1358774238033.0,438126057046.0,498949538340.0,294480377161.0,555743439990.0,113600480560.0,239186930591.0,356145510471.0,2060334324245.0,179558152394.0,278981579673.0,178371601483.0,1618591700298.0,596903401793.0,761275630210.0,787978567673.0,814305416316.0,630970257790.0,409964199186.0,388059051596.0,766372450264.0,304744220001.0,293585578607.0,166432708293.0,382319414392.0,319308757683.0,280817560410.0,257608397101.0,250534689035.0,176129344048.0,176688026423.0,192995296898.0,215852423119.0,238718899071.0,227247492324.0,162084930911.0,247033155467.0,240020640125.0,219603326716.0,303570844929.0,316491139285.0,294970020868.0,329425204200.0,2556435526250.0
2. Các khoản giảm trừ doanh thu,0.0,733836911.0,0.0,1154549364.0,0.0,0.0,262486926.0,956612986.0,340537726.0,0.0,745411819.0,6067991698.0,39332996088.0,1329875656.0,5839929308.0,2431951376.0,389600718.0,7319635040.0,505027491.0,2341018819.0,2947644261.0,1017996448.0,1797868182.0,5885352015.0,2125345939.0,517222272.0,1066038543.0,3158815635.0,910280980.0,2629158487.0,1745100910.0,4718222727.0,15731839271.0,156280683664.0,158313636.0,2169522890.0,3940190115.0,3332682855.0,7126559087.0,3311205458.0,739959858.0,2663456871.0,2031883500.0,5346557902.0,782696932.0,2275317.0,32756993.0,229431909.0,9445461486.0,374737636.0,555609313.0,764206566.0,1811234747.0,307837921.0,95221170.0,1018608191.0,63418300.0,-31865017.0,0.0,0.0,0.0,0.0,449636485.0
3. Doanh thu thuần (1)-(2),31321973613.0,34993272075.0,77456261710.0,153302632644.0,31112964755.0,77469764227.0,92044107161.0,270494530900.0,107248752191.0,246820794780.0,188106357825.0,295897703721.0,181789319766.0,349744948148.0,259927769710.0,694367463958.0,213234014636.0,267841630647.0,238012954624.0,1356433219214.0,435178412785.0,497931541892.0,292682508979.0,549858087975.0,111475134621.0,238669708319.0,355079471928.0,2057175508610.0,178647871414.0,276352421186.0,176626500573.0,1613873477571.0,581171562522.0,604994946546.0,787820254037.0,812135893426.0,627030067675.0,406631516331.0,380932492509.0,763061244806.0,304004260143.0,290922121736.0,164400824793.0,376972856490.0,318526060751.0,280815285093.0,257575640108.0,250305257126.0,166683882562.0,176313288787.0,192439687585.0,215088216553.0,236907664324.0,226939654403.0,161989709741.0,246014547276.0,239957221825.0,219635191733.0,303570844929.0,316491139285.0,294970020868.0,329425204200.0,2555985889765.0
4. Giá vốn hàng bán,26128976820.0,28786982699.0,66721375450.0,140024535963.0,27064966827.0,66695241547.0,77960181505.0,249680477518.0,97229905804.0,205924952892.0,171133040166.0,259783624212.0,133679934580.0,319854890922.0,235402104309.0,630547420130.0,188236915618.0,249101942734.0,219143884940.0,1322463518005.0,417833604412.0,476707760611.0,272311974393.0,525874357231.0,89854375273.0,206666274889.0,316569192038.0,1726152946305.0,148293413538.0,232503710704.0,127463300379.0,1413731607948.0,419250385773.0,431284072256.0,561446689546.0,586955361617.0,401899076481.0,285135095008.0,274988144089.0,583453944232.0,229087633169.0,157546729596.0,119797151698.0,318030736345.0,240436104198.0,195826163387.0,205235116071.0,123243672072.0,119599807512.0,104227753869.0,190542048431.0,250978276071.0,146098216235.0,144806351142.0,128381563528.0,167594025006.0,140638216345.0,117066456990.0,181939093195.0,254282880988.0,196506899411.0,185263122269.0,2285141852394.0
5. Lợi nhuận gộp (3)-(4),5192996793.0,6206289376.0,10734886260.0,13278096681.0,4047997928.0,10774522680.0,14083925656.0,20814053382.0,10018846387.0,40895841888.0,16973317659.0,36114079509.0,48109385186.0,29890057226.0,24525665401.0,63820043828.0,24997099018.0,18739687913.0,18869069684.0,33969701209.0,17344808373.0,21223781281.0,20370534586.0,23983730744.0,21620759348.0,32003433430.0,38510279890.0,331022562305.0,30354457876.0,43848710482.0,49163200194.0,200141869623.0,161921176749.0,173710874290.0,226373564491.0,225180531809.0,225130991194.0,121496421323.0,105944348420.0,179607300574.0,74916626974.0,133375392140.0,44603673095.0,58942120145.0,78089956553.0,84989121706.0,52340524037.0,127061585054.0,47084075050.0,72085534918.0,1897639154.0,-35890059518.0,90809448089.0,82133303261.0,33608146213.0,78420522270.0,99319005480.0,102568734743.0,121631751734.0,62208258297.0,98463121457.0,144162081931.0,270844037371.0
6. Doanh thu hoạt động tài chính,1238301616.0,1818522386.0,286137541.0,-3880769274.0,144806290.0,286137541.0,594407635.0,2417033046.0,2173525678.0,3966595449.0,4616053135.0,7508133456.0,5157266848.0,9203579075.0,4796303212.0,4367216702.0,5851909908.0,5873196455.0,2186650125.0,3035313295.0,1090587699.0,1854048364.0,1074073220.0,1141474774.0,1068686961.0,1883609953.0,7591904713.0,430389419.0,1231792552.0,5793807815.0,1999727341.0,3287704702.0,3338709554.0,19760511759.0,15693225393.0,-1945233184.0,3776110398.0,13992869060.0,14602319125.0,5573585024.0,5157562185.0,8402756037.0,80184339066.0,5329777307.0,1879530162.0,7969481107.0,86050622055.0,8840798420.0,55543247563.0,-3638600798.0,7889255083.0,503791931.0,1788366798.0,3507102715.0,3395655003.0,218664236169.0,126222015915.0,22985281215.0,44967623842.0,173876604819.0,24576128881.0,32984924838.0,48321740855.0
7. Chi phí tài chính,876971639.0,2085012374.0,2394673760.0,-2786220696.0,254737418.0,2394673760.0,1483283429.0,3216725526.0,479480561.0,5273337093.0,1255006003.0,1300017808.0,984786576.0,1577285629.0,2748675346.0,16503510787.0,819755382.0,645580066.0,2960725004.0,5304840806.0,5542310188.0,6927768853.0,6330874243.0,10097459917.0,9838510114.0,10161054341.0,9641899668.0,9653133704.0,13956154401.0,21189919652.0,31203578145.0,39461426579.0,39073461596.0,74161863226.0,44567141392.0,41393187656.0,41625545837.0,47156397601.0,41453043637.0,41031089177.0,38183804268.0,32738273315.0,35972789331.0,35240452806.0,61902631608.0,71284250747.0,62875436540.0,61130717546.0,58331996858.0,57927373477.0,63145574501.0,58191700509.0,83606260502.0,82754053485.0,65249916084.0,74519310832.0,75174921290.0,77569806375.0,76597958642.0,83539838165.0,73916108806.0,82422444710.0,118186443070.0
Trong đó: Chi phí lãi vay,876971639.0,2085012374.0,2394673760.0,-2872656240.0,254737418.0,2394673760.0,1479362477.0,3216725526.0,479480561.0,4523337093.0,1191617780.0,1094839786.0,909786576.0,1464054515.0,2078924330.0,16210514461.0,819755382.0,531945301.0,2960725004.0,4401225010.0,5542310188.0,6927768853.0,6330874243.0,9205609997.0,9818510114.0,10181054341.0,9641899668.0,9653133704.0,13956154401.0,21189919652.0,31203578145.0,39246280281.0,39073461596.0,60748763226.0,44567141392.0,41393187656.0,41462888390.0,45130692954.0,40792931084.0,40604347798.0,37836749924.0,30461436625.0,35972789331.0,35240452806.0,61902631608.0,71284250747.0,62875436540.0,59787077735.0,58331996858.0,57927373477.0,23211708199.0,57819700509.0,83606260502.0,82754053485.0,65249916084.0,74519310832.0,75088149514.0,-59822353625.0,76149314749.0,81506237362.0,73880878828.0,82326121629.0,118162104761.0
8. Phần lợi nhuận hoặc lỗ trong công ty liên kết liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-213456367.0,0.0,0.0,0.0,2011212173.0,-1803815133.0,391783279.0,-115304364.0,-218092773.0,-325967040.0,-481085694.0,-295832067.0,859349221.0,-155068536.0,-206088003.0,-107411237.0,-73149638.0,-44260841.0,5367920915.0,4047209626.0,8504852622.0,4113549932.0,10427592447.0,3426527112.0,1110079974.0,4066966925.0,4441780307.0,274312294.0,2488315124.0,813976593.0,-2395128009.0,1776758671.0,2070408730.0,576987505.0,1589043439.0,4647271764.0,6046055127.0,642329643.0,2561629583.0,-15783980901.0,1615505680.0,-459420399.0,3457068606.0,2152310843.0,1716653017.0,2091984460.0,9045558817.0,551629499.0,551629499.0,624322999.0,-7679384758.0,-7408626436.0
9. Chi phí bán hàng,0.0,0.0,583691538.0,0.0,0.0,583691538.0,0.0,3230552316.0,0.0,0.0,0.0,197131024.0,436351151.0,64075127.0,89237505.0,174631159.0,220389068.0,34004549.0,109210866.0,115916724.0,177171681.0,0.0,0.0,595138674.0,952040084.0,4623386179.0,4738726961.0,2490172450.0,1043107823.0,5561680882.0,2104022255.0,5274182703.0,14178583606.0,13627936074.0,11546292564.0,12283287359.0,9653734094.0,4586921660.0,2966596714.0,14220653797.0,4328959557.0,18321947503.0,6585717577.0,4372807381.0,3417935509.0,3557671293.0,3630944057.0,4414754771.0,3471375052.0,2848619239.0,3772524510.0,18165306643.0,8596158825.0,29601633257.0,4827760149.0,20116848412.0,9707250890.0,844765321.0,4984434841.0,11713944074.0,4928984241.0,4774409801.0,91450374610.0
