Period,Lưu chuyển tiền thuần trong kỳ
Q1 2010,55229640177.0
Q2 2010,27520039473.0
Q3 2010,-114222654951.0
Q4 2010,-28214691089.0
Q1 2011,101329100412.0
Q2 2011,39341541646.0
Q3 2011,-155492806089.0
Q4 2011,44146195115.0
Q1 2012,-57175194105.0
Q2 2012,139930142484.0
Q3 2012,-169351039106.0
Q4 2012,-4478051314.0
Q1 2013,-3234325294.0
Q2 2013,2429838418.0
Q3 2013,-22893798101.0
Q1 2014,-105689386960.0
Q2 2014,14286680538.0
Q3 2014,25418007685.0
Q4 2014,127239879981.0
Q1 2015,-267462471599.0
Q2 2015,80443175473.0
Q1 2016,-52393946157.0
Q2 2016,-70277570099.0
Q3 2016,60911614130.0
Q4 2016,-86432151897.0
Q1 2017,138761744883.0
Q2 2017,48048950192.0
Q3 2017,-355235783152.0
Q4 2017,63921094706.0
Q1 2018,-145295858661.0
Q2 2018,140555207661.0
Q3 2018,-99107754621.0
Q4 2018,-77809012125.0
Q1 2019,5265453965.0
Q2 2019,-14468664950.0
Q3 2019,34559540693.0
Q4 2019,-21806007135.0
Q1 2020,64165864666.0
Q2 2020,-50552985523.0
Q3 2020,84888826557.0
Q4 2020,-25255980999.0
Q1 2021,109813666945.0
Q2 2021,678082934.0
Q3 2021,-6730310360.0
Q4 2021,318469431100.0
Q1 2022,-28483368659.0
Q2 2022,180055910583.0
Q3 2022,-9057215083.0
Q4 2022,169361216552.0
Q1 2023,25213098710.0
Q2 2023,59329444467.0
Q3 2023,545097163268.0
