Duration,Total Assests,Liabilities,Short-term Liabilities,Long-term Liabilities,Owner's Equity,EPS,BVPS,PE
2006,90950.0,18234.0,16426.0,1808.0,71681.0,6399.0,22400.0,11.55
2007,301091.0,91877.0,90181.0,1696.0,207713.0,12661.0,29673.0,12.7
2008,213384.0,28917.0,27107.0,1810.0,184005.0,2908.0,26286.0,8.6
2009,233791.0,32221.0,31412.0,809.0,201065.0,4912.0,28724.0,6.47
2010,297076.0,36607.0,35541.0,1066.0,259317.0,2762.0,22452.0,6.48
2011,293246.0,37797.0,36895.0,902.0,253846.0,1123.0,21978.0,11.66
2012,369299.0,41109.0,40873.0,236.0,326356.0,7020.0,28256.0,2.85
2013,1068719.0,362533.0,360213.0,2320.0,517874.0,-119.0,25829.0,-314.07
2014,2253204.0,532158.0,499623.0,32535.0,1214969.0,2517.0,20068.0,16.72
2015,3693374.0,976349.0,848276.0,128073.0,2717025.0,2707.0,32679.0,12.85
2016,3760695.0,838019.0,757804.0,80215.0,2922676.0,2580.0,28558.0,16.59
2017,5982459.0,1816510.0,1382645.0,433865.0,4165949.0,3467.0,35397.0,10.38
2018,9438745.0,3466481.0,1779525.0,1686956.0,5972264.0,2701.0,43914.0,16.11
2019,10764554.0,4618982.0,3060146.0,1558836.0,6145572.0,1555.0,35517.0,18.01
2020,11336295.0,5163142.0,3639455.0,1523687.0,6173154.0,908.0,29542.0,38.23
2021,15023901.0,7444247.0,5992745.0,1451502.0,7579654.0,1399.0,36285.0,27.52
2022,16081598.0,8203214.0,7812636.0,390578.0,7878384.0,1790.0,37715.0,8.35
