Date,NOPAT
Q3/2006,1742985562
Q4/2006,17357744718
Q1/2007,15222747068
Q2/2007,9028568229
Q3/2007,12821541737
Q4/2007,13685073963
Q1/2008,15745966688
Q2/2008,3458680367
Q3/2008,5570739472
Q4/2008,-3680444150
Q1/2009,1187184257
Q2/2009,5189081921
Q3/2009,16055325277
Q4/2009,11767336627
Q1/2010,6498981225
Q2/2010,982744204
Q3/2010,1228691794
Q4/2010,10985037909
Q1/2011,-707925829
Q2/2011,1987832043
Q3/2011,5140271545
Q4/2011,5437686010
Q1/2012,4651108456
Q2/2012,13119275801
Q3/2012,55734488085
Q4/2012,7532872571
Q1/2013,9213878501
Q2/2013,8973052552
Q3/2013,14136424236
Q4/2013,16490520382
Q1/2014,10300986684
Q2/2014,28610690082
Q3/2014,20067004358
Q4/2014,37333785718
Q1/2015,34180850842
Q2/2015,37581541669
Q3/2015,84162869703
Q4/2015,55342219670
Q1/2016,116251336248
Q2/2016,39981966922
Q3/2016,44878136963
Q4/2016,56591123448
Q1/2017,38127532340
Q2/2017,-2881631340
Q3/2017,265927900294
Q4/2017,37121680017
Q1/2018,88894381624
Q2/2018,24546807470
Q3/2018,50986105696
Q4/2018,162171486990
Q1/2019,35576134611
Q2/2019,64499706034
Q3/2019,71494821110
Q4/2019,85102180871
Q1/2020,14142570234
Q2/2020,36262637330
Q3/2020,47038397811
Q4/2020,88735804167
Q1/2021,22406501758
Q2/2021,60316843040
Q3/2021,38700165847
Q4/2021,173908375585
Q1/2022,77283625255
Q2/2022,99115363594
Q3/2022,55475367941
Q4/2022,131021504220
Q1/2023,40032307836
Q2/2023,62252021739
Q3/2023,98839449403
