Date,Sales
Q3/2006,16415161542
Q4/2006,19126421626
Q1/2007,20289528825
Q2/2007,21006428822
Q3/2007,22687709896
Q4/2007,30859906407
Q1/2008,26312623005
Q2/2008,31042343723
Q3/2008,32607678277
Q4/2008,35191098380
Q1/2009,36896810531
Q2/2009,38588176545
Q3/2009,40104466699
Q4/2009,42568073803
Q1/2010,45969488862
Q2/2010,46676984252
Q3/2010,52731478690
Q4/2010,56284503005
Q1/2011,54003279441
Q2/2011,57513272470
Q3/2011,61804802649
Q4/2011,66909241675
Q1/2012,65361143496
Q2/2012,69903053307
Q3/2012,69905850425
Q4/2012,78920042883
Q1/2013,74520305460
Q2/2013,129393785571
Q3/2013,215930330905
Q4/2013,197894073108
Q1/2014,174402129612
Q2/2014,208775000505
Q3/2014,305084317047
Q4/2014,433515876960
Q1/2015,381205742739
Q2/2015,679900108357
Q3/2015,701976363786
Q4/2015,884213485484
Q1/2016,630050177550
Q2/2016,636197610471
Q3/2016,701466766238
Q4/2016,785209040315
Q1/2017,535694189990
Q2/2017,967314934588
Q3/2017,1140131525091
Q4/2017,1431761172109
Q1/2018,1705156222766
Q2/2018,1841312835012
Q3/2018,1872563960463
Q4/2018,2413303426065
Q1/2019,1578995365930
Q2/2019,1738893109618
Q3/2019,1981780006316
Q4/2019,2483861922485
Q1/2020,1282485893314
Q2/2020,1839161741544
Q3/2020,2670110399896
Q4/2020,2546316396218
Q1/2021,1680073942947
Q2/2021,2167003272130
Q3/2021,2554707868931
Q4/2021,3570700787282
Q1/2022,2948553175743
Q2/2022,3222874917721
Q3/2022,3584836550077
Q4/2022,3906580920278
Q1/2023,2531446826001
Q2/2023,2774095916621
Q3/2023,3702919603355
