tradingTime,lastPrice
2024-01-12,20.65
2024-01-11,21.05
2024-01-10,20.9
2024-01-09,20.85
2024-01-08,20.95
2024-01-05,21.0
2024-01-04,20.9
2024-01-03,20.6
2024-01-02,20.4
2023-12-29,20.2
2023-12-28,20.2
2023-12-27,19.9
2023-12-26,19.95
2023-12-25,20.0
2023-12-22,19.5
2023-12-21,19.4
2023-12-20,19.3
2023-12-19,19.1
2023-12-18,19.0
2023-12-15,19.35
2023-12-14,19.7
2023-12-13,19.9
2023-12-12,20.1
2023-12-11,20.0
2023-12-08,20.05
2023-12-07,20.0
2023-12-06,20.35
2023-12-05,19.45
2023-12-04,19.55
2023-12-01,19.0
2023-11-30,19.0
2023-11-29,19.0
2023-11-28,18.85
2023-11-27,18.85
2023-11-24,19.25
2023-11-23,19.25
2023-11-22,19.35
2023-11-21,19.2
2023-11-20,18.85
2023-11-17,19.1
2023-11-16,19.5
2023-11-15,19.6
2023-11-14,19.4
2023-11-13,19.25
2023-11-10,19.05
2023-11-09,19.15
2023-11-08,18.85
2023-11-07,18.1
2023-11-06,18.5
2023-11-03,18.2
2023-11-02,18.3
2023-11-01,17.7
2023-10-31,17.5
2023-10-30,17.85
2023-10-27,17.95
2023-10-26,17.85
2023-10-25,19.15
2023-10-24,19.15
2023-10-23,18.95
2023-10-20,19.3
2023-10-19,18.8
2023-10-18,19.05
2023-10-17,20.0
2023-10-16,20.35
2023-10-13,20.15
2023-10-12,20.25
2023-10-11,20.2
2023-10-10,20.05
2023-10-09,19.65
2023-10-06,19.65
2023-10-05,19.05
2023-10-04,19.45
2023-10-03,19.2
2023-10-02,20.5
2023-09-29,20.35
2023-09-28,20.1
2023-09-27,20.75
2023-09-26,20.9
2023-09-25,22.0
2023-09-22,22.2
2023-09-21,22.6
2023-09-20,22.05
2023-09-19,21.2
2023-09-18,21.35
2023-09-15,21.85
2023-09-14,22.0
2023-09-13,22.35
2023-09-12,22.45
2023-09-11,22.1
2023-09-08,22.8
2023-09-07,22.5
2023-09-06,21.8
2023-09-05,22.05
2023-08-31,21.95
2023-08-30,21.7
2023-08-29,21.3
2023-08-28,21.25
2023-08-25,21.15
2023-08-24,21.05
2023-08-23,20.6
2023-08-22,20.9
2023-08-21,21.3
2023-08-18,21.15
2023-08-17,22.7
2023-08-16,23.25
2023-08-15,23.2
2023-08-14,22.95
2023-08-11,22.95
2023-08-10,23.1
2023-08-09,23.45
2023-08-08,23.6
2023-08-07,23.5
2023-08-04,23.25
2023-08-03,23.2
2023-08-02,23.4
2023-08-01,22.85
2023-07-31,23.2
2023-07-28,22.45
2023-07-27,22.15
2023-07-26,22.65
2023-07-25,23.0
2023-07-24,22.9
2023-07-21,21.5
2023-07-20,21.2
2023-07-19,21.35
2023-07-18,21.1
2023-07-17,21.2
2023-07-14,21.0
2023-07-13,20.8
2023-07-12,20.75
2023-07-11,20.8
2023-07-10,20.35
2023-07-07,20.4
2023-07-06,20.0
2023-07-05,20.5
2023-07-04,20.6
2023-07-03,20.25
2023-06-30,19.7
2023-06-29,20.05
2023-06-28,19.75
2023-06-27,19.85
2023-06-26,19.95
2023-06-23,20.1
2023-06-22,19.55
2023-06-21,19.1
2023-06-20,18.65
