Item,Q4 2005,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Tài sản lưu động và đầu tư ngắn hạn,7133061863.0,70875290258.0,90146055572.0,309709394774.0,300284672276.0,272575742188.0,225867993284.0,195503253294.0,195211315433.0,175912358774.0,172399508488.0,171943408719.0,202682122626.0,193354620881.0,195123751621.0,250385315465.0,281332147201.0,243767338975.0,235751977563.0,232886767814.0,237440808433.0,244838639521.0,250015842690.0,413480166329.0,201352182015.0,193071390501.0,351281988907.0,692099873873.0,622319553861.0,979110568617.0,1450968247165.0,1119460578968.0,1205159771471.0,1272008664441.0,1826505490270.0,2099024077376.0,2103309100636.0,2047506328910.0,1990808255652.0,2113180307538.0,1973215824000.0,2016531195178.0,2051613423244.0,2895115884290.0,3208819565942.0,3038990484596.0,3591184312618.0,4004187857362.0,5581275640982.0,5176607888854.0,4541559001179.0,5097148169718.0,5332806458916.0,5239029363285.0,6356626523984.0,7492281732966.0,8495030873614.0,6208882070733.0,6873390498336.0,7155732220236.0,6779666670912.0,10167059910979.0,10394981987880.0,8553437324296.0,8937655068249.0,10330798429957.0,10074058823779.0,13888739063544.0,13431851705683.0
I. Tiền và các khoản tương đương tiền,4231827323.0,34572707580.0,6579253665.0,6016768704.0,6766303548.0,16627606484.0,103646795723.0,66889616311.0,71994521367.0,54712981239.0,47088465114.0,52749636324.0,34986226811.0,83316276875.0,21690395464.0,46606366460.0,69581491818.0,56985569611.0,106711521763.0,100454247685.0,99840805227.0,68863635206.0,80146351582.0,183699832920.0,57508859700.0,49860270524.0,222447736513.0,137188050764.0,70123448271.0,171410865042.0,865814503125.0,522898236343.0,282010163735.0,343808397430.0,956890172918.0,806164047728.0,714876705498.0,729091664588.0,841799945244.0,901877123522.0,849754380219.0,557790038694.0,668263560317.0,979774647809.0,1005008858256.0,1118786997741.0,975426558572.0,1174115097915.0,2682696791297.0,2543290912306.0,2090041235492.0,1695892133334.0,1598305024655.0,2224414177826.0,3259010422649.0,2874251160606.0,3134014322901.0,2039356316777.0,2676966884678.0,3156885498978.0,2460135399351.0,2719612139056.0,5560574789234.0,2598219500490.0,2042381163466.0,1869288596653.0,1263463930197.0,1023136864911.0,864372626108.0
1. Tiền,4231827323.0,34572707580.0,6579253665.0,,,,,,,,,,,,15195395464.0,22106366460.0,34781491818.0,20225569611.0,10201521763.0,15295546726.0,13832138953.0,10418160277.0,16972535162.0,66519395624.0,19878130634.0,14157439736.0,202896434553.0,39315412993.0,31571699902.0,57932292545.0,31621265979.0,455191573317.0,78895243487.0,150530639435.0,244142800041.0,423046484577.0,436889797019.0,418391664588.0,600379899664.0,514546632652.0,447549209130.0,246129611813.0,441573578253.0,744478086818.0,760015798302.0,651286997741.0,409023988118.0,289490317534.0,1573864503299.0,1030566033965.0,495107175181.0,398429330311.0,719473847577.0,891083897876.0,444218761946.0,603069283621.0,1085818305683.0,628103177546.0,599178945567.0,337946135314.0,441260881695.0,940421505428.0,722764738676.0,785727794780.0,781469992351.0,1081333480667.0,745280582580.0,690081014570.0,525366461033.0
2. Các khoản tương đương tiền,0.0,0.0,0.0,,,,,,,,,,,,6495000000.0,24500000000.0,34800000000.0,36760000000.0,96510000000.0,85158700959.0,86008666274.0,58445474929.0,63173816420.0,117180437296.0,37630729066.0,35702830788.0,19551301960.0,97872637771.0,38551748369.0,113478572497.0,834193237146.0,67706663026.0,203114920248.0,193277757995.0,712747372877.0,383117563151.0,277986908479.0,310700000000.0,241420045580.0,387330490870.0,402205171089.0,311660426881.0,226689982064.0,235296560991.0,244993059954.0,467500000000.0,566402570454.0,884624780381.0,1108832287998.0,1512724878341.0,1594934060311.0,1297462803023.0,878831177078.0,1333330279950.0,2814791660703.0,2271181876985.0,2048196017218.0,1411253139231.0,2077787939111.0,2818939363664.0,2018874517656.0,1779190633628.0,4837810050558.0,1812491705710.0,1260911171115.0,787955115986.0,518183347617.0,333055850341.0,339006165075.0
II. Các khoản đầu tư tài chính ngắn hạn,0.0,26055562700.0,60574912700.0,291271712700.0,201629487700.0,234177687700.0,104578306700.0,109559306700.0,102513752200.0,97173761700.0,95693257800.0,92436742380.0,123741222775.0,59186101322.0,137781590565.0,164187631778.0,175138853594.0,127361473860.0,84105435650.0,37355162306.0,42171814226.0,78470269065.0,56624065326.0,63125358172.0,34851235183.0,37692832899.0,18033617884.0,228197425019.0,246901003222.0,535116519950.0,300209190357.0,288358362775.0,306567750257.0,202082760518.0,262524800531.0,114532266236.0,23627281109.0,4567703097.0,59935881175.0,20790233271.0,19363981871.0,443714523327.0,244241143827.0,264204044327.0,486557034342.0,511593097092.0,355261996386.0,362721845786.0,256416830036.0,240646997704.0,178487792786.0,748591020364.0,1165760923776.0,658639435759.0,729692597127.0,1849007028209.0,1828036822509.0,1239198531436.0,890752632747.0,116879422064.0,72926791888.0,2969112911677.0,247255129939.0,1288188769251.0,1480581869774.0,3156811721921.0,3971955111964.0,7675537668003.0,6976435265936.0
1. Chứng khoán kinh doanh,0.0,26055562700.0,60574912700.0,,,,,,,,,,,,139981590565.0,169583255778.0,176183477594.0,130131844407.0,86642097138.0,39946576759.0,44190295328.0,83436477609.0,61590273870.0,69013612292.0,40598189303.0,50117189303.0,30387951019.0,254891396395.0,274843582413.0,548964698851.0,310286543549.0,297594070127.0,313456234349.0,209151645437.0,273643763773.0,17050967422.0,27574010017.0,6961453629.0,69647541839.0,6211324023.0,3623074023.0,3445594023.0,2998936023.0,2998936023.0,7617680849.0,6617680849.0,6617680849.0,6617680849.0,6522230849.0,6522230849.0,6522230849.0,6522230849.0,6522230849.0,6522230849.0,406522230849.0,1656522230849.0,1655886068849.0,906681068849.0,755886068849.0,5886068849.0,5698391849.0,2901069168287.0,6112191849.0,1106112187386.0,1106082187386.0,2206112201485.0,3306112199978.0,6676112190342.0,6676112191849.0
2. Dự phòng giảm giá chứng khoán kinh doanh,0.0,0.0,0.0,,,,,,,,,,,,-2200000000.0,-5395624000.0,-1044624000.0,-2770370547.0,-2536661488.0,-2591414453.0,-2018481102.0,-4966208544.0,-4966208544.0,-5888254120.0,-5746954120.0,-12424356404.0,-12354333135.0,-26693971376.0,-27942579191.0,-13848178901.0,-10077353192.0,-9235707352.0,-6888484092.0,-7068884919.0,-11118963242.0,-2518701186.0,-3946728908.0,-3294639456.0,-9711660664.0,-2518410196.0,-1356411596.0,-1041070696.0,-1067792196.0,-1104891696.0,-2756424285.0,-2762361535.0,-3077472963.0,-2383327563.0,-3105400813.0,-3275233145.0,-3121963063.0,-2813935485.0,-3011931390.0,-3186570090.0,-3333408722.0,-3426052640.0,-3260096340.0,-2415739468.0,-2166638157.0,-2100222812.0,-2084799961.0,-1785249761.0,-1821561061.0,-2341885762.0,-2737082739.0,-3155720489.0,-2969989939.0,-2513082434.0,-2259225734.0
3. Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000000.0,0.0,900888924.0,0.0,17097319444.0,17097319444.0,441310000000.0,242310000000.0,262310000000.0,481695777778.0,507737777778.0,351721788500.0,358487492500.0,253000000000.0,237400000000.0,175087525000.0,744882725000.0,1162250624317.0,655303775000.0,326503775000.0,195910850000.0,175410850000.0,334933202055.0,137033202055.0,113093576027.0,69313200000.0,69828993151.0,242964499151.0,184418467627.0,377236765127.0,953855240925.0,668812901925.0,1001938560095.0,302582299821.0
III. Các khoản phải thu ngắn hạn,2749057530.0,7240321366.0,10809242260.0,9124734112.0,89089294859.0,14073043836.0,14397374927.0,15921372403.0,17022982295.0,19071133263.0,21738520009.0,20504262511.0,36520341334.0,44177661395.0,26354121616.0,26745191617.0,24655249106.0,48628447640.0,30147192480.0,79846635755.0,78914897572.0,82874637462.0,96779369748.0,147926865480.0,91172518482.0,91329217529.0,94777914437.0,194673695011.0,184163556921.0,153301968636.0,166869565020.0,177662071580.0,306091722039.0,355425540053.0,319944010437.0,525880341497.0,483654754966.0,569531955601.0,434190543422.0,384204094777.0,417593865477.0,421850711033.0,529940758184.0,653681251600.0,733276551457.0,635483912040.0,814775268655.0,722938668091.0,925932374180.0,796679664180.0,817241071728.0,1011887284444.0,848632283876.0,816719364724.0,740380094809.0,798790080336.0,1434291739750.0,1378053243936.0,1613047596777.0,1376008801363.0,1873414879485.0,1747477931819.0,1849125895199.0,1530744882743.0,1988546988235.0,2082234824955.0,1635669810351.0,1237212287903.0,1656766538661.0
1. Phải thu ngắn hạn của khách hàng,2716953585.0,6670772285.0,9077909821.0,,,,,,,,,,,,25896143797.0,25595986388.0,24121534571.0,20073481769.0,27009876946.0,28088047000.0,28155482147.0,30268777185.0,45692041329.0,40774333259.0,40352869392.0,39915402531.0,44098503354.0,134346032943.0,113567349210.0,91882278456.0,97301537890.0,117044990494.0,210713422109.0,204419184975.0,213981128504.0,367287015163.0,396101522878.0,482010977838.0,333622082747.0,296427414754.0,331192411229.0,323326376510.0,341504819977.0,381313632623.0,466589580081.0,563251676527.0,670202648241.0,633439099095.0,846125212149.0,735137017125.0,690345128037.0,851467436565.0,664266563749.0,747032848751.0,563035759671.0,694501472628.0,890534666092.0,964243355814.0,743081018824.0,772169676281.0,1190204834738.0,994538015780.0,1241964738242.0,1341622839969.0,1513512135956.0,1357210937550.0,1328279850506.0,1056224221849.0,1429819089330.0
2. Trả trước cho người bán,32103945.0,381862771.0,1145738932.0,,,,,,,,,,,,568134859.0,1142699363.0,533452155.0,25983434260.0,512740834.0,51835180456.0,50489700894.0,51889929521.0,50995870614.0,50772340210.0,50375621588.0,51134848432.0,50678625712.0,60035719349.0,57570490563.0,53302610913.0,53749058132.0,53110910544.0,65619745910.0,68065313610.0,72047808198.0,77935047514.0,47490793860.0,27611079167.0,48177043589.0,42450429331.0,47383629392.0,53161058535.0,120912327603.0,219016159055.0,207797079789.0,43061136249.0,91566418738.0,69204731245.0,67906916000.0,78144464568.0,128394670801.0,164302767822.0,198087260978.0,71105374719.0,110049681793.0,45891388680.0,473505122102.0,43060227138.0,437086471061.0,213333644291.0,290447193189.0,146038953306.0,258418958727.0,158748223509.0,189919263703.0,128773219155.0,160659521232.0,113367733128.0,121095071651.0
3. Phải thu nội bộ ngắn hạn,0.0,0.0,400000000.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
