Item,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023
1. Tổng doanh thu hoạt động kinh doanh,16415161542.0,19126421626.0,20289528825.0,21006428822.0,22687709896.0,30859906407.0,26312623005.0,31042343723.0,32718471225.0,35758509945.0,37085411953.0,38674819699.0,40104466699.0,42568073803.0,45969488862.0,46676984252.0,52731478690.0,56284503005.0,54003279441.0,57513272470.0,61804802649.0,66909241675.0,65361143496.0,69903053307.0,69905850425.0,78920042883.0,74520305460.0,129393785571.0,224253413653.0,197894073108.0,175718786492.0,208775000505.0,320438455847.0,442717457713.0,399986293104.0,720886526614.0,729390349142.0,924401615070.0,656591548977.0,679348193336.0,727341387598.0,809967968830.0,562720033647.0,1002666363417.0,1158813200743.0,1452234467106.0,1736237524025.0,1869897867573.0,1902790690123.0,2436734057508.0,1613479269411.0,1798442502815.0,2026665949453.0,2518035873216.0,1332995843467.0,1894514371324.0,2718800210708.0,2604373027177.0,1731886393800.0,2223858868307.0,2606786777255.0,3619956428976.0,3027769900367.0,3414789796081.0,3673445833716.0,3998277938494.0,2635356593084.0,2959020648502.0,3808397549195.0
2. Các khoản giảm trừ doanh thu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110792948.0,567411565.0,188601422.0,86643154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8323082748.0,0.0,1316656880.0,0.0,15354138800.0,9201580753.0,18780550365.0,40986418257.0,27413985356.0,40188129586.0,26541371427.0,43150582865.0,25874621360.0,24758928515.0,27025843657.0,35351428829.0,18681675652.0,20473294997.0,31081301259.0,28585032561.0,30226729660.0,23430631443.0,34483903481.0,59549393197.0,44885943137.0,34173950731.0,50509950153.0,55352629780.0,48689810812.0,58056630959.0,51812450853.0,56855596177.0,52078908324.0,49255641694.0,79216724624.0,191914878360.0,88609283639.0,91697018216.0,103909767083.0,184924731881.0,105477945840.0
3. Doanh thu thuần (1)-(2),16415161542.0,19126421626.0,20289528825.0,21006428822.0,22687709896.0,30859906407.0,26312623005.0,31042343723.0,32607678277.0,35191098380.0,36896810531.0,38588176545.0,40104466699.0,42568073803.0,45969488862.0,46676984252.0,52731478690.0,56284503005.0,54003279441.0,57513272470.0,61804802649.0,66909241675.0,65361143496.0,69903053307.0,69905850425.0,78920042883.0,74520305460.0,129393785571.0,215930330905.0,197894073108.0,174402129612.0,208775000505.0,305084317047.0,433515876960.0,381205742739.0,679900108357.0,701976363786.0,884213485484.0,630050177550.0,636197610471.0,701466766238.0,785209040315.0,535694189990.0,967314934588.0,1140131525091.0,1431761172109.0,1705156222766.0,1841312835012.0,1872563960463.0,2413303426065.0,1578995365930.0,1738893109618.0,1981780006316.0,2483861922485.0,1282485893314.0,1839161741544.0,2670110399896.0,2546316396218.0,1680073942947.0,2167003272130.0,2554707868931.0,3570700787282.0,2948553175743.0,3222874917721.0,3584836550077.0,3906580920278.0,2531446826001.0,2774095916621.0,3702919603355.0
4. Giá vốn hàng bán,11866561261.0,14344279860.0,15433166702.0,16374151381.0,18756447867.0,22066901465.0,23886027651.0,26059315026.0,23684535313.0,26204813661.0,29650202320.0,30221708115.0,31192766105.0,34088835789.0,37973537925.0,39701312956.0,43480958225.0,43145900958.0,43057303792.0,46781283707.0,50927338322.0,53905226825.0,56018966519.0,53521967552.0,57107095994.0,60149756814.0,60679966176.0,100125226102.0,168608031821.0,157131819074.0,138219075576.0,163113868880.0,228663020489.0,291956396855.0,273673547823.0,471555816619.0,556649834421.0,676752074849.0,491296409009.0,484997800183.0,563420564527.0,569197690125.0,404877943945.0,810867765129.0,899775692929.0,1021931340557.0,1411682847081.0,1563724981211.0,1565356992479.0,1903087562113.0,1250714424678.0,1375103794467.0,1617044923225.0,1884179880379.0,1033718389420.0,1539440124867.0,2246546045167.0,1975796926106.0,1304649623639.0,1870084377703.0,2087311306482.0,2861756441979.0,2442756969036.0,2546894693550.0,2920200967136.0,3012687195741.0,2097366902552.0,2233046822637.0,3015007730604.0
5. Lợi nhuận gộp (3)-(4),4548600281.0,4782141766.0,4856362123.0,4632277441.0,3931262029.0,8793004942.0,2426595354.0,4983028697.0,8923142964.0,8986284719.0,7246608211.0,8366468430.0,8911700594.0,8479238014.0,7995950937.0,6975671296.0,9250520465.0,13138602047.0,10945975649.0,10731988763.0,10877464327.0,13004014850.0,9342176977.0,16381085755.0,12798754431.0,18770286069.0,13840339284.0,29268559469.0,47322299084.0,40762254034.0,36183054036.0,45661131625.0,76421296558.0,141559480105.0,107532194916.0,208344291738.0,145326529365.0,207461410635.0,138753768541.0,151199810288.0,138046201711.0,216011350190.0,130816246045.0,156447169459.0,240355832162.0,409829831552.0,293473375685.0,277587853801.0,307206967984.0,510215863952.0,328280941252.0,363789315151.0,364735083091.0,599682042106.0,248767503894.0,299721616677.0,423564354729.0,570519470112.0,375424319308.0,296918894427.0,467396562449.0,708944345303.0,505796206707.0,675980224171.0,664635582941.0,893893724537.0,434079923449.0,541049093984.0,687911872751.0
6. Doanh thu hoạt động tài chính,46246098.0,22316912377.0,16446909110.0,8625362942.0,20757711868.0,13108031136.0,41370772723.0,4077290535.0,11390227306.0,7325182077.0,1319603640.0,2670205107.0,17141439731.0,-13508272393.0,10087177423.0,4100288710.0,-310128696.0,9736645354.0,4244029428.0,2170802202.0,2411661010.0,4613343592.0,6225741635.0,12670562556.0,4380135240.0,1870078319.0,5415879556.0,1725750966.0,8127139796.0,12954627659.0,10945209942.0,12731304409.0,15712099865.0,12534130795.0,13508707079.0,20263276607.0,64396480849.0,26491276112.0,130651128029.0,18344604164.0,14976497560.0,17101617711.0,12613122420.0,23327648716.0,263704998393.0,25359939717.0,99888119080.0,38398486172.0,62698410818.0,168320078708.0,27695087592.0,33286973958.0,66464230766.0,47266721626.0,70487321800.0,86418374832.0,82277460676.0,61381369566.0,57177563526.0,50847100592.0,65992050059.0,137486235141.0,84060506976.0,94021927765.0,63426948712.0,95777031479.0,125901416202.0,122687777225.0,177554008298.0
7. Chi phí tài chính,117606967.0,276526940.0,698244302.0,427718404.0,7320932187.0,3036449073.0,24258664585.0,1435583316.0,10336593818.0,16441797557.0,2394838378.0,221960026.0,607883669.0,-26767256498.0,2435882992.0,3712207533.0,132547565.0,1558751970.0,6751527145.0,2764729490.0,-730715625.0,2115765651.0,201124035.0,4478260118.0,2566549741.0,7137795621.0,1953984288.0,-3260327287.0,7512899110.0,-4301190678.0,432973070.0,-822815925.0,307535055.0,4741236366.0,9602596414.0,35445784289.0,16107518522.0,20297765280.0,30249153118.0,5401701722.0,6491642226.0,18980480105.0,5802849900.0,16176340667.0,8856425812.0,10891743715.0,21616909539.0,28878545146.0,46429905290.0,56680067549.0,40551363259.0,48625778324.0,45338685007.0,51958359481.0,62128406444.0,85173573465.0,80447238973.0,64847078805.0,57420606185.0,68938460727.0,64627957785.0,75414549818.0,77201066619.0,110163267200.0,78720672596.0,115687110660.0,120206549769.0,132774332381.0,173541891791.0
Trong đó: Chi phí lãi vay,117606967.0,113117770.0,92126277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46609819.0,1143186598.0,41359912.0,22184803.0,22601343.0,27886476.0,18328628.0,975934689.0,-908321063.0,301724.0,35061264.0,108886354.0,389197.0,3999692.0,8594444.0,183197472.0,1619454485.0,886792421.0,1250301891.0,1174326585.0,653351396.0,1620153396.0,989429632.0,4262867977.0,4270770635.0,5244569223.0,5317012805.0,7081007615.0,0.0,0.0,3424444176.0,8956054452.0,5301767841.0,0.0,13967130513.0,17512029858.0,31872804504.0,41804106493.0,38349242131.0,43515744930.0,41325149570.0,48002676077.0,58553250519.0,76501910983.0,76868275636.0,59834057932.0,53753680090.0,60090407006.0,53142237751.0,57426133332.0,61539706518.0,77939561141.0,44764171322.0,62432384793.0,97645291799.0,109461730208.0,132865940254.0
8. Phần lợi nhuận hoặc lỗ trong công ty liên kết liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50301384747.0,3470994391.0,3617922282.0,2810398525.0,551538361.0,1992580004.0,0.0,4704638128.0,2213529442.0,3703538059.0,3627123664.0,4823507204.0,7959062929.0,16725346268.0,7002720964.0,3449741817.0,14672107736.0,15689743310.0,8566683851.0,2966642392.0,1968670361.0,8405432961.0,2438751218.0,4284311090.0,4832586839.0,15988176954.0,13125123047.0,20763614880.0,8001524616.0,10505424369.0,9191523528.0,14730748249.0,12369937841.0,24679263037.0,11036228327.0,18799766393.0,4648706067.0,26847681354.0,0.0,4437804212.0,3317640391.0,1057023237.0,2107786447.0,2335472108.0,2320900826.0
9. Chi phí bán hàng,103966956.0,249095840.0,571888447.0,146937919.0,113296852.0,263206781.0,252162039.0,89015431.0,173948877.0,130351806.0,459926076.0,325886697.0,568198679.0,662552263.0,1303856943.0,667614717.0,154810901.0,1060236632.0,1069517998.0,1051853333.0,1153943148.0,1432978102.0,831654308.0,835174654.0,1086997994.0,1616765610.0,1352348678.0,3825376917.0,10703044643.0,8372895050.0,8321573374.0,6469988064.0,18419834279.0,40659427139.0,23165633296.0,51888943753.0,28498350370.0,59643886199.0,34624131004.0,41264105745.0,33261179680.0,63646492923.0,32229065590.0,55220973878.0,102557864651.0,170691572611.0,118045999818.0,116262544269.0,135365927837.0,176289615464.0,123290189210.0,123655463052.0,167241943969.0,241268620705.0,117726173938.0,92881865859.0,239254587146.0,201857631327.0,213572531543.0,43640779853.0,293972784398.0,172782087632.0,268839429834.0,233031162113.0,332754568775.0,385015192100.0,175989358025.0,191212577695.0,343365997830.0
