Period,Lưu chuyển tiền thuần trong kỳ
Q1 2010,-61975881411.0
Q2 2010,24913875067.0
Q3 2010,22977221287.0
Q4 2010,-12598243318.0
Q1 2011,65787779593.0
Q2 2011,-22319604790.0
Q3 2011,-612939187.0
Q4 2011,-30977673292.0
Q1 2012,11959110079.0
Q2 2012,103553984609.0
Q3 2012,-126190973220.0
Q4 2012,-7648589176.0
Q1 2013,172587465989.0
Q2 2013,-85297698825.0
Q3 2013,-67064602493.0
Q4 2013,101287416771.0
Q1 2014,694362469083.0
Q2 2014,-343120368670.0
Q3 2014,-240888072608.0
Q4 2014,61941529267.0
Q1 2015,612045157627.0
Q2 2015,-150748832974.0
Q3 2015,-91338978173.0
Q4 2015,14969676200.0
Q1 2016,112669860339.0
Q2 2016,60209512170.0
Q3 2016,-52220337777.0
Q4 2016,-292206927626.0
Q1 2017,110455591404.0
Q2 2017,311381402493.0
Q3 2017,25188559045.0
Q4 2017,112667378393.0
Q1 2018,-143706005477.0
Q2 2018,199211495881.0
Q3 2018,1507957729711.0
Q4 2018,-137854109365.0
Q1 2019,-448744336607.0
Q2 2019,-394200691147.0
Q3 2019,-97009451463.0
Q4 2019,626047596919.0
Q1 2020,1062813167779.0
Q2 2020,-382105226128.0
Q3 2020,253381797851.0
Q4 2020,-1089217149685.0
Q1 2021,651210096693.0
Q2 2021,479759466843.0
Q3 2021,-696590952170.0
Q4 2021,259476739705.0
Q1 2022,2719318255178.0
Q2 2022,-2964130143627.0
Q3 2022,-554063482141.0
Q4 2022,-173092566813.0
Q1 2023,-574523005456.0
Q2 2023,-239057251004.0
Q3 2023,-160034053085.0
