Duration,Total Assests,Liabilities,Short-term Liabilities,Long-term Liabilities,Owner's Equity,EPS,BVPS,PE
2007 - Q3,4821828.0,3590179.0,2583971.0,1006208.0,1231649.0,569.0,17370.0,246.89
2007 - Q4,4821018.0,3511190.0,2690521.0,820669.0,1309828.0,1603.0,13096.0,75.69
2008 - Q1,4591044.0,3379716.0,2542497.0,837219.0,1211328.0,2283.0,12111.0,21.99
2008 - Q2,6040581.0,4713403.0,3093783.0,1619620.0,1327178.0,3286.0,13270.0,7.97
2008 - Q3,6896783.0,5460817.0,3288752.0,2172065.0,1435966.0,3878.0,14357.0,13.02
2008 - Q4,7985467.0,5668631.0,3637604.0,2031027.0,2316836.0,5213.0,13238.0,6.04
2009 - Q1,8405646.0,5974051.0,3479533.0,2494518.0,2328069.0,5385.0,23279.0,5.01
2009 - Q2,9250471.0,6762594.0,4116226.0,2646368.0,2380898.0,5175.0,13604.0,6.55
2009 - Q3,10334741.0,7702221.0,4526745.0,3175476.0,2525975.0,4679.0,14433.0,8.59
2009 - Q4,12299875.0,8718743.0,5111663.0,3607080.0,3475439.0,3504.0,17376.0,9.02
2010 - Q1,12616856.0,9321630.0,5569565.0,3752065.0,3175825.0,3553.0,15974.0,8.59
2010 - Q2,16145040.0,12629311.0,8449111.0,4180200.0,3342664.0,3806.0,16713.0,8.09
2010 - Q3,16384754.0,12697377.0,7892453.0,4804924.0,3523908.0,3980.0,17619.0,6.73
2010 - Q4,17159105.0,13016706.0,7987798.0,5028908.0,3933269.0,4547.0,19666.0,4.57
2011 - Q1,18121154.0,13285993.0,7495792.0,5790201.0,4584491.0,3987.0,15394.0,5.29
2011 - Q2,22570579.0,16910786.0,11913342.0,4997444.0,4880518.0,4036.0,16388.0,4.71
2011 - Q3,22774078.0,16756001.0,11845454.0,4910547.0,5088672.0,3900.0,17087.0,4.13
2011 - Q4,22630323.0,15919792.0,11248867.0,4670925.0,5754788.0,4459.0,19324.0,3.3
2012 - Q1,24830669.0,17118653.0,11718727.0,5399926.0,6158526.0,4701.0,20676.0,3.43
2012 - Q2,24436437.0,17161551.0,12360944.0,4800607.0,5722177.0,4901.0,19215.0,3.14
2012 - Q3,22443786.0,14815979.0,10224449.0,4591530.0,6017306.0,4955.0,20206.0,3.07
2012 - Q4,20655207.0,12821767.0,8459931.0,4361836.0,6219185.0,3797.0,20883.0,3.61
2013 - Q1,22012462.0,13121037.0,9448401.0,3672636.0,7296706.0,3891.0,16335.0,3.65
2013 - Q2,23981875.0,15316177.0,11847914.0,3468263.0,7109725.0,2939.0,15916.0,5.31
2013 - Q3,25626335.0,16410061.0,13239301.0,3170760.0,7634726.0,3140.0,17091.0,5.16
