Duration,Total Assests,Liabilities,Short-term Liabilities,Long-term Liabilities,Owner's Equity,EPS,BVPS,PE
2006,4669663.0,3688914.0,2948033.0,740881.0,980749.0,4747.0,26934.0,0.0
2007,4812248.0,3669112.0,2848443.0,820669.0,1143136.0,3191.0,11429.0,38.01
2008,7982085.0,5734527.0,3703372.0,2031155.0,2247558.0,5372.0,22474.0,5.86
2009,12400542.0,8796734.0,5192176.0,3604558.0,3498627.0,3801.0,20129.0,8.31
2010,17513200.0,13778302.0,8207660.0,5570642.0,3525378.0,4654.0,17732.0,4.47
2011,23546496.0,16684180.0,12178763.0,4505417.0,5913548.0,5063.0,19857.0,2.9
2012,21222993.0,13346493.0,9506045.0,3840448.0,6245953.0,3756.0,20973.0,3.65
2013,23816513.0,14119991.0,10496052.0,3623939.0,8271188.0,3823.0,18516.0,5.31
2014,26438441.0,15650968.0,12387152.0,3263816.0,9351776.0,4060.0,20935.0,6.63
2015,26437053.0,14562179.0,9872435.0,4689744.0,11874874.0,3397.0,26584.0,4.92
2016,25541110.0,13788658.0,9743163.0,4045495.0,11752452.0,2325.0,26309.0,7.02
2017,23872052.0,11791288.0,7360293.0,4430995.0,12080763.0,1792.0,27044.0,13.17
2018,23089469.0,10384222.0,6825236.0,3558986.0,12705247.0,2327.0,26582.0,7.56
2019,26003968.0,13219704.0,8994686.0,4225018.0,12784264.0,1777.0,26747.0,9.85
2020,26279277.0,13395160.0,9802866.0,3592294.0,12884117.0,1306.0,26956.0,13.63
2021,24844977.0,12310655.0,8735377.0,3575278.0,12534322.0,1258.0,26224.0,21.71
2022,25827772.0,12879177.0,9198891.0,3680286.0,12948595.0,1849.0,27091.0,11.58
