Date,NOPAT
Q3/2006,68272249484
Q4/2006,46804062060
Q1/2007,48092578987
Q2/2007,109377170601
Q3/2007,56908178128
Q4/2007,103360665039
Q1/2008,67996521466
Q2/2008,100326266810
Q3/2008,116114968311
Q4/2008,236818000000
Q1/2009,85255000000
Q2/2009,140465000000
Q3/2009,149822556958
Q4/2009,151077000000
Q1/2010,172529000000
Q2/2010,232200000000
Q3/2010,207709549328
Q4/2010,289341501828
Q1/2011,83980124798
Q2/2011,-74791124798
Q3/2011,277077796118
Q4/2011,547985368433
Q1/2012,234358738542
Q2/2012,355658261458
Q3/2012,293372543862
Q4/2012,203001413274
Q1/2013,262399963147
Q2/2013,279804319996
Q3/2013,482197326104
Q4/2013,491811858017
Q1/2014,266331699914
Q2/2014,533277660395
Q3/2014,-67017636906
Q4/2014,592408911362
Q1/2015,328273296858
Q2/2015,550155847296
Q3/2015,371942432924
Q4/2015,240701681273
Q1/2016,282897752835
Q2/2016,408600508436
Q3/2016,124552498009
Q4/2016,171288041627
Q1/2017,255793065637
Q2/2017,309632197886
Q3/2017,110642839830
Q4/2017,124662182976
Q1/2018,253359594606
Q2/2018,235309171988
Q3/2018,222093293741
Q4/2018,333729645337
Q1/2019,368785380749
Q2/2019,218215145976
Q3/2019,62248865751
Q4/2019,81417678592
Q1/2020,111248850677
Q2/2020,266431133063
Q3/2020,197036969786
Q4/2020,73915701933
Q1/2021,144609360030
Q2/2021,151826251102
Q3/2021,221141164868
Q4/2021,84458168118
Q1/2022,216247224459
Q2/2022,6749698440
Q3/2022,192190036475
Q4/2022,302393093100
Q1/2023,214809139107
Q2/2023,223971937475
Q3/2023,140993735153
