Date,Sales
Q3/2006,1373425801925
Q4/2006,1751487083861
Q1/2007,917314894016
Q2/2007,1410056752567
Q3/2007,1854620995512
Q4/2007,1863686495695
Q1/2008,1235852128038
Q2/2008,1923669826599
Q3/2008,2642831750364
Q4/2008,2859796000000
Q1/2009,1847498000000
Q2/2009,2434233000000
Q3/2009,3083532118518
Q4/2009,3340197000000
Q1/2010,2171262000000
Q2/2010,5398814000000
Q3/2010,4245256756451
Q4/2010,5023496168456
Q1/2011,3255255924874
Q2/2011,7841829075126
Q3/2011,6378147213551
Q4/2011,6822567668561
Q1/2012,5342352350296
Q2/2012,6086797649704
Q3/2012,6720534266046
Q4/2012,6388999842983
Q1/2013,4794539714803
Q2/2013,6829992642539
Q3/2013,7665168959042
Q4/2013,6096124691437
Q1/2014,5713059927442
Q2/2014,7684109537980
Q3/2014,9525533384635
Q4/2014,8450728506541
Q1/2015,4954911745400
Q2/2015,7550745320766
Q3/2015,6818689111844
Q4/2015,4039246669101
Q1/2016,4442622417314
Q2/2016,4702905678733
Q3/2016,4772021272837
Q4/2016,4802027406080
Q1/2017,3374558554348
Q2/2017,4312876829475
Q3/2017,3185363649417
Q4/2017,5855767439892
Q1/2018,3328092390124
Q2/2018,4336660843660
Q3/2018,3703122882770
Q4/2018,3298837818779
Q1/2019,4094828099700
Q2/2019,4826135515598
Q3/2019,4648036890180
Q4/2019,3663811649583
Q1/2020,3241100883337
Q2/2020,5517582473907
Q3/2020,5966192794720
Q4/2020,5107444555110
Q1/2021,2613674810860
Q2/2021,3056741749592
Q3/2021,3980465398699
Q4/2021,4569910116887
Q1/2022,3769373073774
Q2/2022,3810123446441
Q3/2022,3502423174974
Q4/2022,5330739330987
Q1/2023,3703657471468
Q2/2023,4711857321743
Q3/2023,4175548817144
