Item,Q4 2006,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Tài sản lưu động và đầu tư ngắn hạn,3225041000000.0,3028720000690.0,2812447858419.0,2174488570768.0,3248200442514.0,3581515313816.0,4186760000000.0,3840919000000.0,4016665000000.0,4071051584809.0,5161038000000.0,4945645000000.0,7291700000000.0,6987018339400.0,6925273542547.0,7307024425058.0,11478241000000.0,11662029856334.0,13584995490747.0,14229428264582.0,13273219000000.0,13001372464498.0,11441310399361.0,12386795961470.0,14429430710602.0,15866789285677.0,14283933834935.0,14741643185473.0,16811991189293.0,17505307072771.0,16809649647352.0,16081006161038.0,17237604955041.0,17778687883564.0,15924273142480.0,15440227174235.0,15223790143488.0,15350390585079.0,15094673277964.0,13663101984676.0,14421688988077.0,13873131551054.0,13318027963798.0,12470313347831.0,13645857912895.0,13970920873305.0,13822963235490.0,14810277987914.0,16546128142036.0,16573368225555.0,15329911766869.0,15451642428324.0,17565883253112.0,17448605298972.0,16663756750601.0,15090130030751.0,15200362902345.0,15492492762341.0,15445617999351.0,15237896244292.0,16099158308147.0,15972599470804.0,16334344785173.0,16258341242742.0,17777752356120.0,18938796701889.0
I. Tiền và các khoản tương đương tiền,2109917000000.0,921958048889.0,929841277314.0,564026698109.0,1094553864620.0,871570339495.0,1047800000000.0,1414540000000.0,1222811000000.0,964829022229.0,1997913000000.0,1721151000000.0,2095486000000.0,3107563030796.0,2786059051030.0,2349075779698.0,4872619000000.0,4554240705135.0,6082918218315.0,6182065623601.0,5833961000000.0,6556946870057.0,5810920467487.0,6683489731742.0,6235853143965.0,6860485939569.0,5855790340932.0,5885914338331.0,7574278371682.0,8240876588011.0,8245532700055.0,8074612038765.0,8734779536288.0,8550509970272.0,8118484349643.0,6940818900397.0,6810352845469.0,6387834578079.0,5885286338407.0,5519642177286.0,6286643370630.0,6311682680718.0,5744948929601.0,5376069828919.0,5594387101440.0,6797732424631.0,6434258281478.0,5386209063088.0,7904699295168.0,7356189473959.0,6949114784400.0,5638171128069.0,5627496051082.0,6323597129933.0,5182155694269.0,4332974891984.0,4414541697480.0,5856967177448.0,5753678609731.0,6541989890694.0,6880572324947.0,5286595717069.0,5250499110617.0,5270708871263.0,5670923588103.0,4880561634197.0
1. Tiền,396252000000.0,921958048889.0,829841277314.0,385972483568.0,1094553864620.0,861570339495.0,,,,951732969537.0,,1127305000000.0,1749552000000.0,2868234379074.0,2118923308768.0,2219946423129.0,3926927000000.0,3117039569589.0,3937722943227.0,3266048673880.0,3805312000000.0,4726465824142.0,3303342435755.0,4399038260372.0,4068768980873.0,4696446482877.0,3768025979969.0,3437147447605.0,4753567825022.0,5382612621056.0,4276762706947.0,4686478708984.0,4890609451448.0,5352313079101.0,3982995416054.0,2929785854563.0,2582520703583.0,2796029374658.0,2646758096799.0,2417185451368.0,2725310815508.0,2850287466582.0,2086379982335.0,2425393470068.0,2717865883028.0,3781213564606.0,3827641705735.0,3334306033516.0,4967051865401.0,4772922019149.0,4041409116303.0,3124268604531.0,3762595025538.0,3983430888834.0,3387221129416.0,2569606428887.0,2308195378286.0,3436954154505.0,3483869987131.0,3870723372263.0,4780257470153.0,3493465742490.0,3690256979373.0,3663405195885.0,4261105519550.0,3194455141822.0
2. Các khoản tương đương tiền,1713665000000.0,0.0,100000000000.0,178054214541.0,0.0,10000000000.0,,,,13096052692.0,,593846000000.0,345934000000.0,239328651722.0,667135742262.0,129129356569.0,945692000000.0,1437201135546.0,2145195275088.0,2916016949721.0,2028649000000.0,1830481045915.0,2507578031732.0,2284451471370.0,2167084163092.0,2164039456692.0,2087764360963.0,2448766890726.0,2820710546660.0,2858263966955.0,3968769993108.0,3388133329781.0,3844170084840.0,3198196891171.0,4135488933589.0,4011033045834.0,4227832141886.0,3591805203421.0,3238528241608.0,3102456725918.0,3561332555122.0,3461395214136.0,3658568947266.0,2950676358851.0,2876521218412.0,3016518860025.0,2606616575743.0,2051903029572.0,2937647429767.0,2583267454810.0,2907705668097.0,2513902523538.0,1864901025544.0,2340166241099.0,1794934564853.0,1763368463097.0,2106346319194.0,2420013022943.0,2269808622600.0,2671266518431.0,2100314854794.0,1793129974579.0,1560242131244.0,1607303675378.0,1409818068553.0,1686106492375.0
II. Các khoản đầu tư tài chính ngắn hạn,3900000000.0,26900000000.0,3900000000.0,3900000000.0,3900000000.0,3900000000.0,3900000000.0,3900000000.0,3900000000.0,54667312521.0,3900000000.0,3900000000.0,5600000000.0,5600000000.0,5600000000.0,3900000000.0,233326000000.0,230000000000.0,80000000000.0,0.0,13346000000.0,63345884000.0,64164431552.0,14164431552.0,0.0,0.0,0.0,0.0,18200000000.0,18200000000.0,610000000.0,4110000000.0,0.0,412000000000.0,450200000000.0,553070000000.0,789331361111.0,859812502411.0,911017446191.0,1130634908513.0,1297195000000.0,1449153819444.0,1541181091296.0,1689023423144.0,1898774186810.0,1684719769950.0,1600417234379.0,1852135420998.0,2548434557181.0,3329426254621.0,2742983284059.0,2427636137335.0,2962151752102.0,2891535146928.0,3340783914291.0,3060939932510.0,2823237959907.0,2335054792322.0,2670300567303.0,2646167113189.0,3291314140367.0,4710712173127.0,4807330575989.0,4924908035295.0,5076799008117.0,5183383583505.0
1. Chứng khoán kinh doanh,3900000000.0,26900000000.0,3900000000.0,3900000000.0,3900000000.0,3900000000.0,,,,54667312521.0,,3900000000.0,5600000000.0,5600000000.0,5600000000.0,3900000000.0,233326000000.0,230000000000.0,80000000000.0,0.0,13346000000.0,63345884000.0,64164431552.0,14164431552.0,0.0,0.0,0.0,0.0,18200000000.0,18200000000.0,610000000.0,4110000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Dự phòng giảm giá chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3. Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412000000000.0,450200000000.0,553070000000.0,789331361111.0,859812502411.0,911017446191.0,1130634908513.0,1297195000000.0,1449153819444.0,1541181091296.0,1689023423144.0,1898774186810.0,1684719769950.0,1600417234379.0,1852135420998.0,2548434557181.0,3329426254621.0,2742983284059.0,2427636137335.0,2962151752102.0,2891535146928.0,3340783914291.0,3060939932510.0,2823237959907.0,2335054792322.0,2670300567303.0,2646167113189.0,3291314140367.0,4710712173127.0,4807330575989.0,4924908035295.0,5076799008117.0,5183383583505.0
III. Các khoản phải thu ngắn hạn,1014607000000.0,1880443463095.0,1695461217798.0,1357585315617.0,1875456044358.0,2460640379236.0,2849604000000.0,2093984000000.0,2339245000000.0,2637956876105.0,2727639000000.0,2824951000000.0,4607789000000.0,3098733785860.0,3621231929234.0,4238226522190.0,5185335000000.0,5586720818137.0,6087531739043.0,6492132938329.0,5958985000000.0,5026128513019.0,4852863990426.0,4949709249619.0,7490690022865.0,8277855541736.0,7564535678797.0,7927815568278.0,8282794110066.0,8337622915234.0,7350203190018.0,6991946080942.0,7569488861272.0,7526570426043.0,5635913316758.0,6486424751416.0,5954194910930.0,6176644311605.0,6092032680573.0,5302865298495.0,5158889094567.0,4464249421795.0,5150349519052.0,4735325509959.0,5448108846977.0,4760934441504.0,4951237203069.0,6608624758598.0,4972564674393.0,4705158360645.0,4164888093037.0,5522139236269.0,6914700351736.0,5973563023342.0,5661092139692.0,5027218724769.0,4850830905667.0,4661536261343.0,4619778856073.0,4377267419689.0,4652433562177.0,4547434097507.0,4990497818831.0,4729214998868.0,5572500872499.0,6953813448980.0
