Item,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023
1. Tổng doanh thu hoạt động kinh doanh,1373502211470.0,1751525191465.0,917455708016.0,1410056752567.0,1854636953510.0,1864058665950.0,1235997053238.0,1923693712864.0,2642836184670.0,2859886000000.0,1847498000000.0,2434240000000.0,3083551226618.0,3340197000000.0,2171262000000.0,5399256000000.0,4245567157856.0,5024775228881.0,3255576610198.0,7842293389802.0,6378147213551.0,6822567668561.0,5342352350296.0,6086797649704.0,6720534266046.0,6388999842983.0,4794539714803.0,6830415790082.0,7665168959042.0,6106662191437.0,5713059927442.0,7684109537980.0,9525533384635.0,8450728506541.0,4954911745400.0,7550745320766.0,6818689111844.0,4039246669101.0,4442622417314.0,4702905678733.0,4772021272837.0,4802027406080.0,3374558554348.0,4312876829475.0,3185363649417.0,5855767439892.0,3328092390124.0,4336660843660.0,3703122882770.0,3298837818779.0,4094828099700.0,4826135515598.0,4648036890180.0,3663811649583.0,3241100883337.0,5517582473907.0,5966192794720.0,5107444555110.0,2619062163961.0,3063425445551.0,3984326703489.0,4571014051407.0,3770799183134.0,3813078238614.0,3503431322721.0,5331811718106.0,3705307756917.0,4713249213266.0,4176586281710.0
2. Các khoản giảm trừ doanh thu,76409545.0,38107604.0,140814000.0,0.0,15957998.0,372170255.0,144925200.0,23886265.0,4434306.0,90000000.0,0.0,7000000.0,19108100.0,0.0,0.0,442000000.0,310401405.0,1279060425.0,320685324.0,464314676.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423147543.0,0.0,10537500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5387353101.0,6683695959.0,3861304790.0,1103934520.0,1426109360.0,2954792173.0,1008147747.0,1072387119.0,1650285449.0,1391891523.0,1037464566.0
3. Doanh thu thuần (1)-(2),1373425801925.0,1751487083861.0,917314894016.0,1410056752567.0,1854620995512.0,1863686495695.0,1235852128038.0,1923669826599.0,2642831750364.0,2859796000000.0,1847498000000.0,2434233000000.0,3083532118518.0,3340197000000.0,2171262000000.0,5398814000000.0,4245256756451.0,5023496168456.0,3255255924874.0,7841829075126.0,6378147213551.0,6822567668561.0,5342352350296.0,6086797649704.0,6720534266046.0,6388999842983.0,4794539714803.0,6829992642539.0,7665168959042.0,6096124691437.0,5713059927442.0,7684109537980.0,9525533384635.0,8450728506541.0,4954911745400.0,7550745320766.0,6818689111844.0,4039246669101.0,4442622417314.0,4702905678733.0,4772021272837.0,4802027406080.0,3374558554348.0,4312876829475.0,3185363649417.0,5855767439892.0,3328092390124.0,4336660843660.0,3703122882770.0,3298837818779.0,4094828099700.0,4826135515598.0,4648036890180.0,3663811649583.0,3241100883337.0,5517582473907.0,5966192794720.0,5107444555110.0,2613674810860.0,3056741749592.0,3980465398699.0,4569910116887.0,3769373073774.0,3810123446441.0,3502423174974.0,5330739330987.0,3703657471468.0,4711857321743.0,4175548817144.0
4. Giá vốn hàng bán,1253109995221.0,1663428258746.0,850552207187.0,1279495513444.0,1736516673845.0,1643722454980.0,1101034191800.0,1698304330042.0,2395288629563.0,2560177000000.0,1671442000000.0,2173912000000.0,2863871703688.0,3063319000000.0,2038373000000.0,5129306000000.0,3914356005680.0,4588564404395.0,3047578672673.0,7221520327327.0,5878698620011.0,6194818955823.0,4982981214982.0,5518995785018.0,6098217895373.0,6248062714185.0,4271822502281.0,6335549029473.0,6952850052986.0,5173755591185.0,5333656082658.0,6875758968889.0,9093973119527.0,7666809866356.0,4601780684523.0,6771305564957.0,6268235723153.0,3580353381048.0,4212143464771.0,4370675263899.0,4576756106164.0,4785451033948.0,3087500865852.0,3910669989806.0,3086841762129.0,5839004529128.0,3007635437786.0,4251076716904.0,3460641976683.0,2869198071745.0,3671177180574.0,4449985624745.0,4424684725053.0,3693452969117.0,3049557626416.0,5272235759520.0,5533313809749.0,5265328021351.0,2435001363886.0,2818026366596.0,3776238896260.0,4315520599594.0,3576702717534.0,3665601977712.0,3300927260332.0,5004077796634.0,3499870717741.0,4524413612409.0,3994918874146.0
5. Lợi nhuận gộp (3)-(4),120315806704.0,88058825115.0,66762686829.0,130561239123.0,118104321667.0,219964040715.0,134817936238.0,225365496557.0,247543120801.0,299619000000.0,176056000000.0,260321000000.0,219660414830.0,276878000000.0,132889000000.0,269508000000.0,330900750771.0,434931764061.0,207677252201.0,620308747799.0,499448593540.0,627748712738.0,359371135314.0,567801864686.0,622316370673.0,140937128798.0,522717212522.0,494443613066.0,712318906056.0,922369100252.0,379403844784.0,808350569091.0,431560265108.0,783918640185.0,353131060877.0,779439755809.0,550453388691.0,458893288053.0,230478952543.0,332230414834.0,195265166673.0,16576372132.0,287057688496.0,402206839669.0,98521887288.0,16762910764.0,320456952338.0,85584126756.0,242480906087.0,429639747034.0,423650919126.0,376149890853.0,223352165127.0,-29641319534.0,191543256921.0,245346714387.0,432878984971.0,-157883466241.0,178673446974.0,238715382996.0,204226502439.0,254389517293.0,192670356240.0,144521468729.0,201495914642.0,326661534353.0,203786753727.0,187443709334.0,180629942998.0
6. Doanh thu hoạt động tài chính,6117217147.0,20400498971.0,23386506824.0,32534869998.0,17342481002.0,16583469541.0,25033705196.0,29296148702.0,38463033315.0,45662000000.0,49446000000.0,43254000000.0,88902060023.0,169929000000.0,146285000000.0,120735000000.0,135369433700.0,96975178151.0,205554035522.0,101176964478.0,104347019003.0,207916684781.0,105002301964.0,116989698036.0,58608665120.0,54126825750.0,61022813317.0,64187523626.0,81101019305.0,58907508602.0,39607706053.0,61730566287.0,42930734804.0,65544406301.0,44877056999.0,90241898645.0,124406769737.0,91774854439.0,58633794397.0,91371800914.0,68379284430.0,87551610583.0,61388310924.0,76605341351.0,77973818983.0,99028725868.0,63600327280.0,104260896734.0,101936136742.0,233167724074.0,46593822958.0,90424394870.0,96244977950.0,89988840326.0,110287711321.0,71846983753.0,93846682342.0,122874367608.0,75460952844.0,64377153234.0,50981108407.0,86730217153.0,85890578576.0,144431706120.0,135734217286.0,123133273355.0,146813185460.0,156704878163.0,211443814343.0
7. Chi phí tài chính,11951191177.0,19095852595.0,19715946564.0,18555378415.0,18611546296.0,46907752015.0,41994715428.0,78014049047.0,87240566400.0,48591000000.0,32731000000.0,75207000000.0,100980417783.0,138156000000.0,168537000000.0,70046000000.0,194512788104.0,56752280732.0,307859193299.0,206536806701.0,93008024512.0,441626177127.0,87465655969.0,102633344031.0,62201344656.0,74843795016.0,62976851797.0,50463142172.0,83881193118.0,84486233888.0,30529454898.0,62594200738.0,40170467695.0,51173949246.0,50899822069.0,68518871430.0,115960146170.0,114253759218.0,43154145452.0,36682604220.0,24334248319.0,50008611373.0,27911279333.0,19815976865.0,15269548289.0,22857429858.0,14218640495.0,14058324705.0,27165331825.0,10796034421.0,10672153812.0,16811740991.0,25555384924.0,14360219320.0,34228669753.0,39305775881.0,21332116386.0,46041372062.0,19028939322.0,13972387822.0,15939913158.0,45433627163.0,21635325048.0,30174931017.0,19665344508.0,91155151001.0,51365746337.0,14963440483.0,46770403807.0
Trong đó: Chi phí lãi vay,0.0,23960371049.0,15916865562.0,14922998249.0,14430997463.0,41051941454.0,34055727399.0,43725475616.0,35414448228.0,0.0,18491000000.0,16848000000.0,17286044613.0,0.0,29330000000.0,45506000000.0,2663608359.0,62775525365.0,99867580606.0,28491419394.0,58507028568.0,82556628149.0,51774036612.0,65321963388.0,49759225526.0,47032282495.0,43041705165.0,39846772612.0,53891325085.0,32323118187.0,26991422057.0,25607412436.0,22123208320.0,20769751766.0,18260901232.0,18458108583.0,17387916306.0,16815734707.0,16324996604.0,14330226278.0,12891827316.0,12294828189.0,10519405431.0,10382283830.0,8823211522.0,8665838483.0,7438652725.0,7885824236.0,5542435792.0,5935994901.0,6823386267.0,7242752024.0,7350258382.0,12361908070.0,14418423648.0,15304109778.0,13643592528.0,12389404148.0,12097517503.0,10899589675.0,11245646258.0,11376757656.0,11488395389.0,10478270160.0,12739376369.0,13684683055.0,19705054428.0,19605098985.0,17392174565.0
8. Phần lợi nhuận hoặc lỗ trong công ty liên kết liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,794325663.0,567351700.0,12337000000.0,2679000000.0,2662000000.0,2561634140.0,13773000000.0,151436000000.0,52610000000.0,25698675581.0,-2147255329.0,1190928953.0,-47647928953.0,41155670100.0,186387924895.0,77846849397.0,49700150603.0,55169609230.0,69200231294.0,37168173918.0,88263565846.0,109268378236.0,84055709884.0,83383617480.0,134114018253.0,185226370142.0,142021349616.0,169850621446.0,179279466047.0,202974636912.0,186753638145.0,201286746812.0,207566051314.0,92498266034.0,176776125313.0,170101072998.0,182030197323.0,90513380685.0,42795313209.0,68052757647.0,257039616118.0,83814221045.0,325521581820.0,179421252047.0,224582608089.0,6562215110.0,25115324918.0,31904459349.0,128769667097.0,-36216864368.0,70148771709.0,156611723854.0,151078474964.0,198454995493.0,-92210561997.0,162366816883.0,173126181797.0,160194806447.0,134481699198.0,157495265911.0,176530650460.0,177536278316.0
9. Chi phí bán hàng,12335956249.0,14145347394.0,10976523041.0,14052628071.0,24403287208.0,13294253780.0,22497600249.0,29746118875.0,35083178602.0,35866000000.0,22848000000.0,27209000000.0,22673217481.0,10010000000.0,4058000000.0,11955000000.0,13101952825.0,17388269609.0,7676000977.0,17859999023.0,4779738987.0,15603466858.0,12741932727.0,14944067273.0,13129956598.0,20636458902.0,13119768173.0,55201631928.0,8987940903.0,30708732088.0,11074494996.0,37300861680.0,22966163208.0,31427159231.0,16519689613.0,25505918926.0,23760724887.0,32656196507.0,14846373829.0,14938507951.0,19317485152.0,42315816251.0,18250951626.0,20993999931.0,17703767846.0,27796327028.0,18466266885.0,26947319444.0,23324348054.0,32703611483.0,21023648254.0,21979185611.0,26250712665.0,38256998423.0,24681186509.0,22474075264.0,31537556468.0,39887598906.0,22405230671.0,26547564871.0,14472514331.0,26944004255.0,15275458544.0,18192576604.0,18649192690.0,26893679344.0,19733848953.0,16953703634.0,22048884022.0
