Period,Lưu chuyển tiền thuần trong kỳ
Q4 2007,7883228425.0
Q1 2008,-365814579205.0
Q2 2008,530527166511.0
Q3 2008,-222983525125.0
Q4 2008,176308660505.0
Q1 2009,366662000000.0
Q2 2009,-191730000000.0
Q3 2009,-257981601811.0
Q1 2010,-252918000000.0
Q2 2010,387089000000.0
Q3 2010,1086853988177.0
Q4 2010,-434201293380.0
Q1 2011,-441007668347.0
Q2 2011,2522496668347.0
Q3 2011,-294988028334.0
Q4 2011,1510893072471.0
Q1 2012,99467448161.0
Q2 2012,-307346448161.0
Q3 2012,683899314564.0
Q4 2012,-747291994079.0
Q1 2013,968935442564.0
Q2 2013,-467436761574.0
Q3 2013,642299529258.0
Q4 2013,-1004284503459.0
Q1 2014,31267058864.0
Q2 2014,1669200068365.0
Q3 2014,681588996278.0
Q4 2014,-17626134185.0
Q1 2015,-144277029399.0
Q2 2015,640552868075.0
Q3 2015,-229351060699.0
Q4 2015,-432954182770.0
Q1 2016,-1040716359903.0
Q2 2016,-120172611887.0
Q3 2016,-422741505955.0
Q4 2016,-527497382902.0
Q1 2017,-363509754279.0
Q2 2017,766356699812.0
Q3 2017,22524583348.0
Q4 2017,-566792388620.0
Q1 2018,-391649047982.0
Q2 2018,205840515009.0
Q3 2018,1172111927503.0
Q4 2018,-360777578396.0
Q1 2019,-926600669926.0
Q2 2019,2511901307283.0
Q3 2019,-533971244172.0
Q4 2019,-402326675362.0
Q1 2020,-1373977921632.0
Q2 2020,12553998930.0
Q3 2020,692476165630.0
Q4 2020,-1149278498711.0
Q1 2021,-880083642663.0
Q2 2021,77122177027.0
Q3 2021,1464677969173.0
Q4 2021,-92487759996.0
Q1 2022,807672942184.0
Q2 2022,293830733510.0
Q3 2022,-1632922140185.0
Q4 2022,11497228909.0
Q1 2023,64053144493.0
Q2 2023,372515185780.0
Q3 2023,-838693091665.0
