Duration,Total Assests,Liabilities,Short-term Liabilities,Long-term Liabilities,Owner's Equity,EPS,BVPS,PE
2012 - Q3,964818.0,235632.0,86817.0,148815.0,729186.0,-3.0,10417.0,0.0
2012 - Q4,970936.0,236041.0,165895.0,70146.0,734895.0,76.0,10498.0,0.0
2013 - Q1,984041.0,243880.0,176340.0,67540.0,740160.0,151.0,10574.0,0.0
2013 - Q2,1005960.0,259852.0,187741.0,72111.0,746108.0,214.0,10659.0,0.0
2013 - Q3,1001965.0,252937.0,175561.0,77376.0,749027.0,259.0,10700.0,0.0
2013 - Q4,1131681.0,365854.0,277234.0,88620.0,765827.0,420.0,10940.0,0.0
2014 - Q1,1151126.0,382891.0,255563.0,127328.0,768235.0,377.0,10975.0,0.0
2014 - Q2,1371058.0,627945.0,434784.0,193161.0,743112.0,423.0,10616.0,0.0
2014 - Q3,1462684.0,676866.0,474927.0,201939.0,785818.0,991.0,11226.0,0.0
2014 - Q4,1827974.0,745720.0,443938.0,301782.0,1082254.0,491.0,10823.0,0.0
2015 - Q1,1888500.0,802851.0,443661.0,359190.0,1085649.0,490.0,10856.0,0.0
2015 - Q2,1900365.0,838672.0,477201.0,361471.0,1061693.0,599.0,10617.0,0.0
2015 - Q3,1978890.0,913508.0,88029.0,825479.0,1065382.0,209.0,10654.0,0.0
2015 - Q4,2131521.0,1028209.0,119584.0,908625.0,1103312.0,623.0,11033.0,0.0
2016 - Q1,2150039.0,1044658.0,88101.0,956557.0,1105381.0,685.0,11054.0,0.0
2016 - Q2,2259797.0,1196033.0,149952.0,1046081.0,1063764.0,598.0,10638.0,0.0
2016 - Q3,2271959.0,1193874.0,143140.0,1050734.0,1078085.0,704.0,10781.0,0.0
2016 - Q4,1833602.0,744019.0,128312.0,615707.0,1089584.0,440.0,10896.0,0.0
2017 - Q1,1812946.0,757958.0,137934.0,620024.0,1054988.0,452.0,10550.0,0.0
2017 - Q2,1814290.0,749709.0,127237.0,622472.0,1064581.0,449.0,10646.0,0.0
2017 - Q3,1857665.0,787120.0,134578.0,652542.0,1070545.0,366.0,10705.0,0.0
2017 - Q4,2208491.0,1083926.0,376587.0,707339.0,1124565.0,791.0,11246.0,0.0
2018 - Q1,2133033.0,999514.0,226670.0,772844.0,1133519.0,849.0,11335.0,0.0
2018 - Q2,2249688.0,1144003.0,200516.0,943487.0,1105685.0,1066.0,11057.0,0.0
2018 - Q3,2381496.0,1233099.0,173827.0,1059272.0,1148397.0,1434.0,11484.0,0.0
2018 - Q4,2672516.0,1515404.0,218781.0,1296623.0,1157112.0,981.0,11571.0,0.0
2019 - Q1,2709794.0,1536118.0,228421.0,1307697.0,1173676.0,1012.0,11737.0,16.0
2019 - Q2,2851004.0,1740155.0,429828.0,1310327.0,1110849.0,1005.0,11108.0,18.21
2019 - Q3,3010996.0,1834391.0,408978.0,1425413.0,1176605.0,1235.0,11766.0,14.82
2019 - Q4,3117771.0,1920490.0,471047.0,1449443.0,1197281.0,1355.0,11973.0,13.07
2020 - Q1,3203296.0,2071361.0,629472.0,1441889.0,1131936.0,1706.0,11319.0,7.39
2020 - Q2,3336816.0,2133417.0,691367.0,1442050.0,1203399.0,2116.0,12034.0,8.7
2020 - Q3,3831097.0,2590613.0,1094920.0,1495693.0,1240484.0,1829.0,12405.0,14.41
2020 - Q4,4417746.0,3153509.0,1043011.0,2110498.0,1264237.0,1860.0,12642.0,17.2
2021 - Q1,5117534.0,3773749.0,1027428.0,2746321.0,1343785.0,2119.0,13438.0,18.19
2021 - Q2,5186162.0,3855214.0,1247777.0,2607437.0,1330949.0,2514.0,13309.0,15.35
2021 - Q3,5435221.0,4037740.0,1324757.0,2712983.0,1397481.0,2808.0,13975.0,16.74
2021 - Q4,5616375.0,4150790.0,1258885.0,2891905.0,1465585.0,3252.0,14656.0,20.91
2022 - Q1,5655584.0,4243387.0,1127717.0,3115670.0,1412197.0,3210.0,14122.0,23.84
2022 - Q2,5924430.0,4451063.0,1318853.0,3132210.0,1473367.0,2711.0,14734.0,16.6
2022 - Q3,6035500.0,4538815.0,1262032.0,3276783.0,1496685.0,2279.0,14967.0,17.95
2022 - Q4,6334996.0,4800744.0,1540055.0,3260689.0,1534252.0,1974.0,15343.0,13.27
2023 - Q1,6301814.0,4755808.0,1487450.0,3268358.0,1546005.0,1338.0,15460.0,22.05
2023 - Q2,6345968.0,4719744.0,1610670.0,3109074.0,1626224.0,1686.0,16262.0,21.44
2023 - Q3,6404284.0,4723030.0,1546862.0,3176168.0,1681254.0,1926.0,14010.0,18.35
2023 - Q4,6961129.0,5223813.0,1812560.0,3411253.0,1737315.0,2004.0,14478.0,22.26
