Duration,Total Assests,Liabilities,Short-term Liabilities,Long-term Liabilities,Owner's Equity,EPS,BVPS,PE
2007,211000.0,271.0,264.0,7.0,210729.0,-21.0,9979.0,0.0
2008,713317.0,14039.0,14008.0,31.0,699277.0,552.0,10546.0,0.0
2009,705421.0,12238.0,12172.0,66.0,693183.0,370.0,10454.0,0.0
2010,774434.0,27865.0,26934.0,931.0,746569.0,456.0,10665.0,0.0
2011,975443.0,212608.0,73667.0,138941.0,762835.0,619.0,10898.0,0.0
2012,970933.0,236040.0,168500.0,67540.0,734893.0,67.0,10498.0,0.0
2013,1131885.0,365854.0,277234.0,88620.0,766031.0,455.0,10943.0,0.0
2014,1827974.0,744420.0,442638.0,301782.0,1083554.0,504.0,10836.0,0.0
2015,2131521.0,1028209.0,119584.0,908625.0,1103312.0,623.0,11033.0,0.0
2016,1820810.0,731090.0,115383.0,615707.0,1089720.0,441.0,10897.0,0.0
2017,2201412.0,1083232.0,366972.0,716260.0,1118180.0,727.0,11182.0,0.0
2018,2581010.0,1424604.0,218781.0,1205823.0,1156406.0,974.0,11564.0,0.0
2019,3089826.0,1893892.0,445555.0,1448337.0,1195935.0,1341.0,11959.0,13.2
2020,4417746.0,3153509.0,1043011.0,2110498.0,1264237.0,1860.0,12642.0,17.2
2021,5616375.0,4150790.0,1258885.0,2891905.0,1465585.0,3236.0,14656.0,21.01
2022,6334996.0,4800744.0,1540055.0,3260689.0,1534252.0,1974.0,15343.0,13.27
2023,6961129.0,5223813.0,1812560.0,3411253.0,1737315.0,2004.0,14478.0,22.26
