Date,NOPAT
Q1/2012,-1115733992
Q2/2012,477219340
Q3/2012,-242990818
Q4/2012,5563078780
Q1/2013,5267141228
Q2/2013,6630902683
Q3/2013,2938524217
Q4/2013,16799369017
Q1/2014,2204542326
Q2/2014,7653172350
Q3/2014,42705765962
Q4/2014,-3494378454
Q1/2015,2095139388
Q2/2015,18599327338
Q3/2015,3688488724
Q2/2016,9882907625
Q1/2017,9510483996
Q2/2017,9592953568
Q3/2017,5964352245
Q4/2017,54019347451
Q1/2018,15339032391
Q2/2018,31291929394
Q3/2018,42711483869
Q4/2018,8715500081
Q1/2019,18516389639
Q2/2019,30526224186
Q3/2019,65755844160
Q4/2019,20676086493
Q1/2020,53657799909
Q2/2020,71505472503
Q3/2020,37085243616
Q4/2020,23752687789
Q1/2021,79547950212
Q2/2021,109444085056
Q3/2021,66531863602
Q4/2021,68104867888
Q1/2022,75311426266
Q2/2022,61169735362
Q3/2022,23318584454
Q4/2022,37566898679
Q1/2023,11753387596
Q2/2023,95968608558
Q3/2023,55490303258
Q4/2023,56060992100
