Date,Sales
Q1/2012,4363015608
Q2/2012,5872429577
Q3/2012,4564670707
Q4/2012,114276746204
Q1/2013,26503982479
Q2/2013,27758894605
Q3/2013,6207202789
Q4/2013,80049776629
Q1/2014,6726036855
Q2/2014,14589784360
Q3/2014,206340131987
Q4/2014,12199724661
Q1/2015,7530881651
Q2/2015,23117719532
Q3/2015,8038981008
Q2/2016,28798850282
Q1/2017,19428878688
Q2/2017,20122673667
Q3/2017,15774473628
Q4/2017,164344452674
Q1/2018,33727628876
Q2/2018,85390791950
Q3/2018,135995951603
Q4/2018,35115580383
Q1/2019,48092948960
Q2/2019,60885105737
Q3/2019,174475788930
Q4/2019,48919901351
Q1/2020,120724405653
Q2/2020,152981888884
Q3/2020,88536470290
Q4/2020,70738244183
Q1/2021,178245517885
Q2/2021,224458141580
Q3/2021,162810300845
Q4/2021,147708335415
Q1/2022,277347774821
Q2/2022,262588532392
Q3/2022,123290518479
Q4/2022,195661738234
Q1/2023,63162618171
Q2/2023,288172690470
Q3/2023,208098586567
Q4/2023,258511719825
