tradingTime,lastPrice
2024-01-12,35.1
2024-01-11,35.55
2024-01-10,35.6
2024-01-09,36.55
2024-01-08,36.5
2024-01-05,36.6
2024-01-04,35.45
2024-01-03,35.08
2024-01-02,35.29
2023-12-29,36.6
2023-12-28,36.15
2023-12-27,36.6
2023-12-26,37.01
2023-12-25,36.11
2023-12-22,35.86
2023-12-21,35.04
2023-12-20,35.2
2023-12-19,35.2
2023-12-18,34.71
2023-12-15,34.38
2023-12-14,34.42
2023-12-13,34.71
2023-12-12,35.7
2023-12-11,35.66
2023-12-08,35.29
2023-12-07,35.45
2023-12-06,36.23
2023-12-05,36.48
2023-12-04,36.89
2023-12-01,35.61
2023-11-30,35.37
2023-11-29,35.16
2023-11-28,35.53
2023-11-27,35.53
2023-11-24,35.49
2023-11-23,33.19
2023-11-22,35.66
2023-11-21,34.88
2023-11-20,34.59
2023-11-17,32.33
2023-11-16,31.68
2023-11-15,31.18
2023-11-14,31.18
2023-11-13,30.77
2023-11-10,30.85
2023-11-09,31.18
2023-11-08,30.61
2023-11-07,28.64
2023-11-06,28.31
2023-11-03,28.11
2023-11-02,28.39
2023-11-01,26.92
2023-10-31,26.14
2023-10-30,28.06
2023-10-27,30.16
2023-10-26,29.54
2023-10-25,31.18
2023-10-24,31.84
2023-10-23,30.69
2023-10-20,31.35
2023-10-19,30.03
2023-10-18,31.1
2023-10-17,29.79
2023-10-16,32.0
2023-10-13,32.78
2023-10-12,31.92
2023-10-11,32.0
2023-10-10,30.81
2023-10-09,30.44
2023-10-06,29.91
2023-10-05,29.21
2023-10-04,28.56
2023-10-03,27.94
2023-10-02,29.66
2023-09-29,29.01
2023-09-28,29.09
2023-09-27,29.38
2023-09-26,27.9
2023-09-25,29.5
2023-09-22,31.72
2023-09-21,33.28
2023-09-20,32.99
2023-09-19,31.72
2023-09-18,32.0
2023-09-15,32.04
2023-09-14,31.31
2023-09-13,32.25
2023-09-12,32.45
2023-09-11,31.59
2023-09-08,32.78
2023-09-07,31.59
2023-09-06,31.59
2023-09-05,30.85
2023-08-31,30.81
2023-08-30,30.03
2023-08-29,29.71
2023-08-28,29.13
2023-08-25,28.97
2023-08-24,28.89
2023-08-23,28.47
2023-08-22,28.64
2023-08-21,27.61
2023-08-18,27.98
2023-08-17,30.08
2023-08-16,30.69
2023-08-15,31.06
2023-08-14,31.43
2023-08-11,30.53
2023-08-10,30.44
2023-08-09,30.73
2023-08-08,31.31
2023-08-07,31.84
2023-08-04,30.61
2023-08-03,30.36
2023-08-02,30.53
2023-08-01,30.03
2023-07-31,29.87
2023-07-28,30.36
2023-07-27,30.36
2023-07-26,30.16
2023-07-25,29.46
2023-07-24,29.99
2023-07-21,29.99
2023-07-20,29.66
2023-07-19,28.97
2023-07-18,27.08
2023-07-17,26.59
2023-07-14,26.46
2023-07-13,26.59
2023-07-12,26.26
2023-07-11,26.34
2023-07-10,26.42
2023-07-07,26.59
2023-07-06,25.89
2023-07-05,25.36
2023-07-04,25.15
2023-07-03,25.19
2023-06-30,24.71
2023-06-29,24.6
2023-06-28,25.29
2023-06-27,25.6
2023-06-26,25.56
2023-06-23,25.15
2023-06-22,25.46
2023-06-21,24.64
2023-06-20,24.3
2023-06-19,23.68
2023-06-16,23.85
2023-06-15,23.85
2023-06-14,24.33
2023-06-13,24.88
2023-06-12,25.01
2023-06-09,24.88
2023-06-08,24.71
2023-06-07,24.71
2023-06-06,24.54
2023-06-05,24.19
2023-06-02,24.71
2023-06-01,24.74
2023-05-31,24.6
2023-05-30,24.6
2023-05-29,24.6
2023-05-26,23.44
2023-05-25,23.48
2023-05-24,22.83
2023-05-23,22.73
2023-05-22,23.07
2023-05-19,22.62
2023-05-18,22.32
2023-05-17,22.32
2023-05-16,22.96
2023-05-15,23.24
2023-05-12,23.68
2023-05-11,23.58
2023-05-10,23.58
2023-05-09,23.65
2023-05-08,23.2
2023-05-05,22.18
2023-05-04,22.62
2023-04-28,22.25
2023-04-27,22.04
2023-04-26,22.35
2023-04-25,21.56
2023-04-24,21.53
2023-04-21,21.15
2023-04-20,21.56
2023-04-19,21.15
2023-04-18,21.94
2023-04-17,21.46
2023-04-14,20.98
2023-04-13,22.45
2023-04-12,22.9
2023-04-11,22.14
2023-04-10,21.87
2023-04-07,21.39
2023-04-06,20.57
2023-04-05,21.53
2023-04-04,20.95
2023-04-03,21.08
2023-03-31,20.16
2023-03-30,19.27
2023-03-29,19.62
2023-03-28,19.51
2023-03-27,19.75
2023-03-24,19.31
2023-03-23,18.69
2023-03-22,18.52
2023-03-21,18.42
2023-03-20,18.25
2023-03-17,18.52
2023-03-16,18.56
2023-03-15,19.0
2023-03-14,18.21
2023-03-13,18.69
2023-03-10,19.1
2023-03-09,19.38
2023-03-08,18.73
2023-03-07,18.32
2023-03-06,18.18
2023-03-03,18.11
2023-03-02,18.59
2023-03-01,18.8
2023-02-28,18.18
2023-02-27,18.18
2023-02-24,18.8
2023-02-23,19.27
2023-02-22,19.07
2023-02-21,20.5
2023-02-20,20.98
2023-02-17,19.82
2023-02-16,19.72
2023-02-15,19.14
2023-02-14,18.42
2023-02-13,18.52
2023-02-10,19.34
2023-02-09,19.24
2023-02-08,19.27
2023-02-07,19.14
2023-02-06,19.68
2023-02-03,19.96
2023-02-02,19.89
2023-02-01,20.37
2023-01-31,21.87
2023-01-30,21.56
2023-01-27,21.87
2023-01-19,20.57
2023-01-18,20.57
2023-01-17,20.26
2023-01-16,19.96
2023-01-13,19.68
2023-01-12,19.79
2023-01-11,19.31
2023-01-10,19.17
2023-01-09,19.0
2023-01-06,19.07
2023-01-05,19.55
2023-01-04,19.62
2023-01-03,19.1
2022-12-30,17.91
2022-12-29,18.04
2022-12-28,18.39
2022-12-27,17.74
2022-12-26,17.12
2022-12-23,18.39
2022-12-22,18.21
2022-12-21,18.18
2022-12-20,19.21
2022-12-19,20.64
2022-12-16,22.18
2022-12-15,22.55
2022-12-14,21.63
2022-12-13,20.23
2022-12-12,20.03
2022-12-09,19.96
2022-12-08,19.41
2022-12-07,18.8
2022-12-06,19.55
2022-12-05,20.71
2022-12-02,21.12
2022-12-01,20.26
2022-11-30,20.71
2022-11-29,19.82
2022-11-28,19.82
2022-11-25,18.8
2022-11-24,17.63
2022-11-23,17.33
2022-11-22,18.01
2022-11-21,18.21
2022-11-18,17.5
2022-11-17,16.4
2022-11-16,15.99
2022-11-15,14.97
2022-11-14,16.06
2022-11-11,16.3
2022-11-10,15.72
2022-11-09,16.2
2022-11-08,16.33
2022-11-07,16.44
2022-11-04,17.67
2022-11-03,18.8
2022-11-02,19.03
2022-11-01,19.14
2022-10-31,18.83
2022-10-28,18.83
2022-10-27,18.66
2022-10-26,17.46
2022-10-25,18.73
2022-10-24,20.13
2022-10-21,21.63
2022-10-20,23.24
2022-10-19,23.92
2022-10-18,23.65
2022-10-17,24.16
2022-10-14,23.92
2022-10-13,23.78
2022-10-12,23.1
2022-10-11,21.91
2022-10-10,23.55
2022-10-07,22.96
2022-10-06,24.67
2022-10-05,26.48
2022-10-04,25.29
2022-10-03,26.01
2022-09-30,27.95
2022-09-29,27.41
2022-09-28,28.91
2022-09-27,29.39
2022-09-26,29.9
2022-09-23,32.12
2022-09-22,32.19
2022-09-21,31.78
2022-09-20,32.12
2022-09-19,31.44
2022-09-16,33.8
2022-09-15,34.72
2022-09-14,34.45
2022-09-13,33.97
2022-09-12,34.17
2022-09-09,34.17
2022-09-08,33.69
2022-09-07,34.52
2022-09-06,36.84
2022-09-05,36.57
2022-08-31,36.84
2022-08-30,37.25
2022-08-29,37.25
2022-08-26,37.25
2022-08-25,37.38
2022-08-24,37.58
2022-08-23,36.11
2022-08-22,34.83
2022-08-19,35.44
2022-08-18,35.44
2022-08-17,36.18
2022-08-16,36.18
2022-08-15,36.64
2022-08-12,36.51
2022-08-11,35.1
2022-08-10,36.18
2022-08-09,35.71
2022-08-08,35.17
2022-08-05,35.24
2022-08-04,34.77
2022-08-03,35.57
2022-08-02,35.3
2022-08-01,35.84
2022-07-29,34.7
2022-07-28,34.77
2022-07-27,32.55
2022-07-26,33.15
2022-07-25,33.46
2022-07-22,33.62
2022-07-21,33.09
2022-07-20,33.29
2022-07-19,34.03
2022-07-18,33.36
2022-07-15,33.02
2022-07-14,33.05
2022-07-13,32.28
2022-07-12,32.32
2022-07-11,30.2
2022-07-08,29.36
2022-07-07,27.52
2022-07-06,27.99
2022-07-05,28.15
2022-07-04,30.24
2022-07-01,30.37
2022-06-30,30.2
2022-06-29,31.54
2022-06-28,31.21
2022-06-27,30.71
2022-06-24,29.26
2022-06-23,29.87
2022-06-22,27.95
2022-06-21,27.01
2022-06-20,29.03
2022-06-17,31.21
2022-06-16,33.56
2022-06-15,32.69
2022-06-14,34.56
2022-06-13,35.37
2022-06-10,37.99
2022-06-09,38.39
2022-06-08,38.66
2022-06-07,36.91
2022-06-06,37.25
2022-06-03,37.45
2022-06-02,37.52
2022-06-01,36.04
2022-05-31,35.57
2022-05-30,35.1
2022-05-27,35.3
2022-05-26,34.83
2022-05-25,34.43
2022-05-24,32.22
2022-05-23,32.01
2022-05-20,32.89
2022-05-19,32.28
2022-05-18,32.52
2022-05-17,31.58
2022-05-16,29.53
2022-05-13,29.66
2022-05-12,31.88
2022-05-11,34.23
2022-05-10,33.96
2022-05-09,32.72
2022-05-06,35.17
2022-05-05,36.91
2022-05-04,37.38
2022-04-29,39.33
2022-04-28,37.99
2022-04-27,36.98
2022-04-26,35.57
2022-04-25,33.76
2022-04-22,36.24
2022-04-21,37.79
2022-04-20,40.6
2022-04-19,43.62
2022-04-18,44.97
2022-04-15,47.32
2022-04-14,47.38
2022-04-13,48.05
2022-04-12,46.58
2022-04-08,46.98
2022-04-07,47.52
2022-04-06,50.0
2022-04-05,52.22
2022-04-04,52.28
2022-04-01,51.41
2022-03-31,51.34
2022-03-30,50.67
2022-03-29,52.22
2022-03-28,50.81
2022-03-25,51.95
2022-03-24,49.87
2022-03-23,49.87
2022-03-22,50.0
2022-03-21,49.8
2022-03-18,49.6
2022-03-17,49.67
2022-03-16,48.66
2022-03-15,48.66
2022-03-14,45.91
2022-03-11,47.52
2022-03-10,49.4
2022-03-09,50.34
2022-03-08,48.93
2022-03-07,51.48
2022-03-04,54.43
2022-03-03,55.1
2022-03-02,55.03
2022-03-01,54.63
2022-02-28,54.09
2022-02-25,55.03
2022-02-24,55.24
2022-02-23,55.97
2022-02-22,52.35
2022-02-21,52.48
2022-02-18,52.75
2022-02-17,52.35
2022-02-16,51.54
2022-02-15,52.89
2022-02-14,52.48
2022-02-11,53.56
2022-02-10,52.35
2022-02-09,51.34
2022-02-08,52.62
2022-02-07,51.68
2022-01-28,51.81
2022-01-27,50.0
2022-01-26,52.35
2022-01-25,51.68
2022-01-24,48.32
2022-01-21,47.72
2022-01-20,48.12
2022-01-19,45.03
2022-01-18,43.29
2022-01-17,43.69
2022-01-14,46.98
2022-01-13,44.77
2022-01-12,44.3
2022-01-11,47.11
2022-01-10,47.65
2022-01-07,47.99
2022-01-06,48.66
2022-01-05,48.59
2022-01-04,47.32
2021-12-31,45.64
2021-12-30,44.83
2021-12-29,46.11
2021-12-28,45.3
2021-12-27,43.49
2021-12-24,43.49
2021-12-23,42.62
2021-12-22,44.3
2021-12-21,43.83
2021-12-20,42.69
2021-12-17,44.3
2021-12-16,44.9
2021-12-15,43.76
2021-12-14,43.76
2021-12-13,42.95
2021-12-10,42.42
2021-12-09,40.07
2021-12-08,39.8
2021-12-07,38.73
2021-12-06,37.58
2021-12-03,39.33
2021-12-02,40.6
2021-12-01,40.81
2021-11-30,39.53
2021-11-29,37.05
2021-11-26,36.85
2021-11-25,37.18
2021-11-24,36.38
2021-11-23,35.84
2021-11-22,33.52
2021-11-19,36.04
2021-11-18,38.26
2021-11-17,38.93
2021-11-16,38.12
2021-11-15,40.0
2021-11-12,40.81
2021-11-11,39.93
2021-11-10,38.86
2021-11-09,39.26
2021-11-08,38.93
2021-11-05,38.93
2021-11-04,38.79
2021-11-03,38.86
2021-11-02,41.75
2021-11-01,40.67
2021-10-29,41.75
2021-10-28,40.94
2021-10-27,40.54
2021-10-26,40.27
2021-10-25,39.6
2021-10-22,40.67
2021-10-21,38.66
2021-10-20,38.66
2021-10-19,38.66
2021-10-18,38.73
2021-10-15,37.58
2021-10-14,36.71
2021-10-13,37.52
2021-10-12,36.85
2021-10-11,35.84
2021-10-08,34.77
2021-10-07,35.37
2021-10-06,33.09
2021-10-05,33.02
2021-10-04,32.42
2021-10-01,31.61
2021-09-30,31.54
2021-09-29,31.41
2021-09-28,31.41
2021-09-27,30.6
2021-09-24,32.82
2021-09-23,32.55
2021-09-22,33.19
2021-09-21,31.07
2021-09-20,31.07
2021-09-17,31.07
2021-09-16,31.14
2021-09-15,30.88
2021-09-14,30.88
2021-09-13,31.11
2021-09-10,32.13
2021-09-09,31.4
2021-09-08,30.88
2021-09-07,31.08
2021-09-06,31.21
2021-09-01,31.8
2021-08-31,31.8
2021-08-30,30.94
2021-08-27,30.29
2021-08-26,29.17
2021-08-25,28.58
2021-08-24,27.99
2021-08-23,28.25
2021-08-20,29.76
2021-08-19,31.27
2021-08-18,30.68
2021-08-17,30.52
2021-08-16,31.01
2021-08-13,31.21
2021-08-12,30.48
2021-08-11,28.51
2021-08-10,29.3
2021-08-09,29.89
2021-08-06,29.1
2021-08-05,28.64
2021-08-04,27.99
2021-08-03,28.25
2021-08-02,26.67
2021-07-30,26.9
2021-07-29,26.28
2021-07-28,26.02
2021-07-27,25.89
2021-07-26,26.21
2021-07-23,25.49
2021-07-22,25.98
2021-07-21,24.31
2021-07-20,24.64
2021-07-19,23.65
2021-07-16,24.14
2021-07-15,22.57
2021-07-14,22.01
2021-07-13,22.27
2021-07-12,21.78
2021-07-09,23.19
2021-07-08,23.62
2021-07-07,23.59
2021-07-06,22.99
2021-07-05,24.51
2021-07-02,25.29
2021-07-01,25.29
2021-06-30,25.36
2021-06-29,25.59
2021-06-28,25.62
2021-06-25,25.1
2021-06-24,25.03
2021-06-23,25.46
2021-06-22,26.61
2021-06-21,26.87
2021-06-18,27.33
2021-06-17,27.04
2021-06-16,26.94
2021-06-15,26.87
2021-06-14,25.62
2021-06-11,24.77
2021-06-10,24.28
2021-06-09,25.03
2021-06-08,25.29
2021-06-07,25.69
2021-06-04,25.49
2021-06-03,24.18
2021-06-02,24.18
2021-06-01,24.44
2021-05-31,24.77
2021-05-28,23.98
2021-05-27,23.65
2021-05-26,23.78
2021-05-25,23.65
2021-05-24,23.65
2021-05-21,22.63
2021-05-20,21.16
2021-05-19,22.21
2021-05-18,22.67
2021-05-17,23.22
2021-05-14,23.65
2021-05-13,23.98
2021-05-12,24.44
2021-05-11,22.86
2021-05-10,22.27
2021-05-07,22.27
2021-05-06,22.99
2021-05-05,22.93
2021-05-04,22.27
2021-04-29,22.67
2021-04-28,22.93
2021-04-27,22.07
2021-04-26,22.6
2021-04-23,23.49
2021-04-22,22.96
2021-04-20,23.91
2021-04-19,24.18
2021-04-16,24.11
2021-04-15,24.7
2021-04-14,25.23
2021-04-13,25.36
2021-04-12,26.08
2021-04-09,25.95
2021-04-08,25.89
2021-04-07,25.62
2021-04-06,25.33
2021-04-05,25.85
2021-04-02,25.95
2021-04-01,25.62
2021-03-31,25.33
2021-03-30,25.39
2021-03-29,25.03
2021-03-26,24.6
2021-03-25,24.97
2021-03-24,25.29
2021-03-23,26.67
2021-03-22,26.67
2021-03-19,26.94
2021-03-18,27.07
2021-03-17,26.61
2021-03-16,27.0
2021-03-15,27.59
2021-03-12,27.92
2021-03-11,28.15
2021-03-10,27.46
2021-03-09,27.2
2021-03-08,27.63
2021-03-05,27.33
2021-03-04,27.79
2021-03-03,28.51
2021-03-02,28.15
2021-03-01,28.25
2021-02-26,26.74
2021-02-25,26.15
2021-02-24,26.08
2021-02-23,26.71
2021-02-22,26.12
2021-02-19,26.51
2021-02-18,26.38
2021-02-17,25.75
2021-02-09,24.34
2021-02-08,23.65
2021-02-05,24.9
2021-02-04,24.93
2021-02-03,24.7
2021-02-02,24.24
2021-02-01,25.69
2021-01-29,27.59
2021-01-28,25.82
2021-01-27,27.76
2021-01-26,25.95
2021-01-25,25.82
2021-01-22,25.59
2021-01-21,26.05
2021-01-20,24.77
2021-01-19,24.77
2021-01-18,26.61
2021-01-15,26.87
2021-01-14,25.89
2021-01-13,25.75
2021-01-12,25.89
2021-01-11,25.89
2021-01-08,24.6
2021-01-07,24.44
2021-01-06,24.31
2021-01-05,23.98
2021-01-04,22.47
2020-12-31,21.02
2020-12-30,21.02
2020-12-29,21.42
2020-12-28,21.52
2020-12-25,21.16
2020-12-24,20.4
2020-12-23,21.02
2020-12-22,22.01
2020-12-21,21.42
2020-12-18,21.22
2020-12-17,20.5
2020-12-16,20.56
2020-12-15,20.56
2020-12-14,19.51
2020-12-11,18.99
2020-12-10,18.92
2020-12-09,19.45
2020-12-08,19.45
2020-12-07,19.41
2020-12-04,19.41
2020-12-03,19.71
2020-12-02,19.71
2020-12-01,19.15
2020-11-30,18.86
2020-11-27,19.18
2020-11-26,19.38
2020-11-25,19.18
2020-11-24,18.33
2020-11-23,18.53
2020-11-20,18.53
2020-11-19,18.07
2020-11-18,18.2
2020-11-17,17.31
2020-11-16,16.98
2020-11-13,17.38
2020-11-12,17.25
2020-11-11,17.21
2020-11-10,17.02
2020-11-09,16.65
2020-11-06,16.56
2020-11-05,16.36
2020-11-04,16.92
2020-11-03,15.83
2020-11-02,15.21
2020-10-30,15.28
2020-10-29,15.05
2020-10-28,15.05
2020-10-27,15.7
2020-10-26,15.9
2020-10-23,15.83
2020-10-22,15.96
2020-10-21,16.16
2020-10-20,15.9
2020-10-19,16.1
2020-10-16,16.75
2020-10-15,17.21
2020-10-14,17.34
2020-10-13,17.21
2020-10-12,17.44
2020-10-09,17.71
2020-10-08,17.61
2020-10-07,17.94
2020-10-06,18.13
2020-10-05,18.26
2020-10-02,17.21
2020-10-01,17.38
2020-09-30,17.31
2020-09-29,17.02
2020-09-28,17.34
2020-09-25,17.48
2020-09-24,17.67
2020-09-23,17.64
2020-09-22,17.48
2020-09-21,17.8
2020-09-18,17.9
2020-09-17,17.9
2020-09-16,17.87
2020-09-15,18.0
2020-09-14,17.87
2020-09-11,18.07
2020-09-10,18.2
2020-09-09,17.31
2020-09-08,17.11
2020-09-07,16.95
2020-09-04,17.41
2020-09-03,17.34
2020-09-01,17.34
2020-08-31,17.05
2020-08-28,17.9
2020-08-27,18.17
2020-08-26,18.07
2020-08-25,17.59
2020-08-24,17.62
2020-08-21,17.37
2020-08-20,17.18
2020-08-19,17.66
2020-08-18,17.69
2020-08-17,17.66
2020-08-14,17.47
2020-08-13,17.75
2020-08-12,17.05
2020-08-11,16.8
2020-08-10,17.31
2020-08-07,16.99
2020-08-06,16.99
2020-08-05,16.39
2020-08-04,16.2
2020-08-03,16.36
2020-07-31,15.37
2020-07-30,15.66
2020-07-29,15.66
2020-07-28,14.64
2020-07-27,13.69
2020-07-24,14.45
2020-07-23,14.96
2020-07-22,14.33
2020-07-21,14.58
2020-07-20,14.2
2020-07-17,13.5
2020-07-16,13.0
2020-07-15,13.03
2020-07-14,12.84
2020-07-13,12.81
2020-07-10,12.93
2020-07-09,12.96
2020-07-08,12.62
2020-07-07,12.49
2020-07-06,12.36
2020-07-03,12.27
2020-07-02,12.24
2020-07-01,12.46
2020-06-30,11.66
2020-06-29,11.95
2020-06-26,12.46
2020-06-25,12.43
2020-06-24,12.55
2020-06-23,12.93
2020-06-22,13.03
2020-06-19,13.12
2020-06-18,12.96
2020-06-17,12.58
2020-06-16,12.33
2020-06-15,11.82
2020-06-12,12.68
2020-06-11,13.0
2020-06-10,13.95
2020-06-09,13.88
2020-06-08,13.72
2020-06-05,13.72
2020-06-04,13.44
2020-06-03,13.95
2020-06-02,13.31
2020-06-01,14.17
2020-05-29,13.44
2020-05-28,13.0
2020-05-27,12.74
2020-05-26,13.31
2020-05-25,12.77
2020-05-22,11.95
2020-05-21,12.04
2020-05-20,12.04
2020-05-19,11.85
2020-05-18,11.85
2020-05-15,11.44
2020-05-14,11.57
2020-05-13,12.11
2020-05-12,12.36
2020-05-11,12.11
2020-05-08,11.92
2020-05-07,12.14
2020-05-06,12.2
2020-05-05,11.41
2020-05-04,11.06
2020-04-29,11.41
2020-04-28,11.28
2020-04-27,11.25
2020-04-24,10.52
2020-04-23,10.33
2020-04-22,10.56
2020-04-21,10.14
2020-04-20,10.49
2020-04-17,9.83
2020-04-16,9.64
2020-04-15,9.32
2020-04-14,8.88
2020-04-13,8.94
2020-04-10,9.07
2020-04-09,9.0
2020-04-08,8.81
2020-04-07,8.81
2020-04-06,8.81
2020-04-03,8.46
2020-04-01,8.21
2020-03-31,7.99
2020-03-30,8.02
2020-03-27,8.62
2020-03-26,8.88
2020-03-25,9.1
2020-03-24,8.65
2020-03-23,8.53
2020-03-20,9.16
2020-03-19,9.07
2020-03-18,9.32
2020-03-17,9.45
2020-03-16,8.84
2020-03-13,8.94
2020-03-12,9.38
2020-03-11,10.08
2020-03-10,10.27
2020-03-09,10.49
2020-03-06,11.25
2020-03-05,11.22
2020-03-04,11.22
2020-03-03,11.35
2020-03-02,11.35
2020-02-28,11.32
2020-02-27,11.13
2020-02-26,10.78
2020-02-25,10.9
2020-02-24,10.4
2020-02-21,11.16
2020-02-20,11.41
2020-02-19,11.47
2020-02-18,11.35
2020-02-17,11.16
2020-02-14,10.71
2020-02-13,10.84
2020-02-12,10.56
2020-02-11,9.89
2020-02-10,9.76
2020-02-07,9.83
2020-02-06,9.86
2020-02-05,9.38
2020-02-04,9.07
2020-02-03,8.88
2020-01-31,9.32
2020-01-30,9.89
2020-01-22,10.17
2020-01-21,10.02
2020-01-20,9.95
2020-01-17,9.95
2020-01-16,9.73
2020-01-15,9.92
2020-01-14,10.14
2020-01-13,9.83
2020-01-10,10.24
2020-01-09,10.59
2020-01-08,10.68
2020-01-07,11.35
2020-01-06,11.35
2020-01-03,11.7
2020-01-02,11.41
2019-12-31,11.22
2019-12-30,11.09
2019-12-27,11.47
2019-12-26,11.47
2019-12-25,11.47
2019-12-24,11.32
2019-12-23,10.59
2019-12-20,10.52
2019-12-19,10.62
2019-12-18,10.59
2019-12-17,10.52
2019-12-16,10.52
2019-12-13,10.78
2019-12-12,10.71
2019-12-11,10.4
