Item,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q2 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023
1. Tổng doanh thu hoạt động kinh doanh,4363015608.0,5892747757.0,4593367664.0,114320337084.0,26536709727.0,27796909731.0,6241520951.0,80213570535.0,6797040670.0,14657824517.0,206420609267.0,12283206488.0,7603577113.0,23193715751.0,8121470409.0,28798850282.0,19428878688.0,20122673667.0,15774473628.0,164344452674.0,33727628876.0,85390791950.0,135995951603.0,35115580383.0,48092948960.0,60885105737.0,174475788930.0,48919901351.0,120724405653.0,152981888884.0,88536470290.0,70738244183.0,178245517885.0,224458141580.0,162810300845.0,147708335415.0,277347774821.0,262588532392.0,123290518479.0,195661738234.0,63162618171.0,288174190470.0,208104086567.0,258516219825.0
2. Các khoản giảm trừ doanh thu,0.0,20318180.0,28696957.0,43590880.0,32727248.0,38015126.0,34318162.0,163793906.0,71003815.0,68040157.0,80477280.0,83481827.0,72695462.0,75996219.0,82489401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500000.0,5500000.0,4500000.0
3. Doanh thu thuần (1)-(2),4363015608.0,5872429577.0,4564670707.0,114276746204.0,26503982479.0,27758894605.0,6207202789.0,80049776629.0,6726036855.0,14589784360.0,206340131987.0,12199724661.0,7530881651.0,23117719532.0,8038981008.0,28798850282.0,19428878688.0,20122673667.0,15774473628.0,164344452674.0,33727628876.0,85390791950.0,135995951603.0,35115580383.0,48092948960.0,60885105737.0,174475788930.0,48919901351.0,120724405653.0,152981888884.0,88536470290.0,70738244183.0,178245517885.0,224458141580.0,162810300845.0,147708335415.0,277347774821.0,262588532392.0,123290518479.0,195661738234.0,63162618171.0,288172690470.0,208098586567.0,258511719825.0
4. Giá vốn hàng bán,1977751971.0,2884397536.0,2588760590.0,105359453830.0,19263929938.0,18717630611.0,2769165503.0,59317861529.0,2716042730.0,6234926848.0,153110947228.0,8718611730.0,3027721508.0,8154703015.0,3455729983.0,15202765112.0,7323358798.0,7751182009.0,8203883386.0,92069018886.0,14156777083.0,41711178735.0,71296300185.0,21536239271.0,22374900918.0,26104167635.0,88530923823.0,16024689426.0,55922269241.0,63601332872.0,37320339906.0,42397578572.0,70931326162.0,74504665251.0,63642851768.0,53126146603.0,175003201482.0,170239448362.0,76018615398.0,127986979611.0,28868203507.0,150475903916.0,122427922663.0,165852941332.0
5. Lợi nhuận gộp (3)-(4),2385263637.0,2988032041.0,1975910117.0,8917292374.0,7240052541.0,9041263994.0,3438037286.0,20731915100.0,4009994125.0,8354857512.0,53229184759.0,3481112931.0,4503160143.0,14963016517.0,4583251025.0,13596085170.0,12105519890.0,12371491658.0,7570590242.0,72275433788.0,19570851793.0,43679613215.0,64699651418.0,13579341112.0,25718048042.0,34780938102.0,85944865107.0,32895211925.0,64802136412.0,89380556012.0,51216130384.0,28340665611.0,107314191723.0,149953476329.0,99167449077.0,94582188812.0,102344573339.0,92349084030.0,47271903081.0,67674758623.0,34294414664.0,137696786554.0,85670663904.0,92658778493.0
6. Doanh thu hoạt động tài chính,494988743.0,1399057501.0,1810854051.0,877833548.0,204816899.0,230566019.0,2215166321.0,29306144.0,340552508.0,2440371209.0,506701767.0,355302393.0,121584280.0,8856689240.0,2567265584.0,4187111795.0,3505621971.0,4273632263.0,5987928225.0,3102568515.0,3789171053.0,1859619780.0,2961418616.0,4513351996.0,2119317325.0,10077746056.0,5743785656.0,8808039442.0,3484382246.0,8433694579.0,4279694319.0,5609034410.0,1687827390.0,1955290773.0,4974544809.0,4398880045.0,505964421.0,4353086426.0,4602345448.0,5772590976.0,1431351806.0,1741097954.0,6127403524.0,7784388738.0
7. Chi phí tài chính,35202965.0,0.0,201868227.0,11885508.0,0.0,0.0,0.0,0.0,0.0,0.0,5458490.0,0.0,2555556.0,0.0,0.0,3561734892.0,2753290845.0,3037232466.0,2994534045.0,3232465711.0,2482053445.0,2755545189.0,2690203432.0,2900864173.0,2228803667.0,2477637749.0,2410626839.0,2578210771.0,1982923022.0,2194718263.0,2034068333.0,2142234225.0,1581228866.0,1732736198.0,1759464106.0,2143510341.0,1735728715.0,10173606466.0,9831531349.0,10461032260.0,11649240151.0,12325404536.0,10763812439.0,11275765245.0
Trong đó: Chi phí lãi vay,35202965.0,0.0,201868227.0,11885508.0,0.0,0.0,0.0,0.0,0.0,0.0,5458490.0,0.0,2555556.0,0.0,0.0,3561734892.0,2753290845.0,3037232466.0,2994534045.0,3232465711.0,2482053445.0,2755545189.0,2690203432.0,2900864173.0,2228803667.0,2477637749.0,2410626839.0,2570768511.0,1982923022.0,2153533967.0,2034068333.0,2137180377.0,1581228866.0,1727922971.0,1759464106.0,2130640652.0,1735728715.0,10173606466.0,9831531349.0,10461032260.0,11649240151.0,12325404536.0,10763812439.0,11109327063.0
8. Phần lợi nhuận hoặc lỗ trong công ty liên kết liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9. Chi phí bán hàng,17735455.0,381299417.0,11555897.0,20385000.0,903636.0,22378727.0,5821000.0,0.0,0.0,9090909.0,55280000.0,169890302.0,128464999.0,118970832.0,117152650.0,131181817.0,132441635.0,283600014.0,499040386.0,4871563079.0,277594590.0,1139889444.0,4393865328.0,258923866.0,636234683.0,377530727.0,4236515814.0,1861756654.0,754831182.0,3665314729.0,96050922.0,-770747643.0,3592057128.0,107050922.0,6332746102.0,1012073189.0,354426922.0,1193015029.0,3674750674.0,4741407182.0,751678397.0,625080298.0,5541813198.0,1630714307.0
