Period,Lưu chuyển tiền thuần trong kỳ
Q1 2012,-34568390235.0
Q3 2012,-48652661554.0
Q4 2012,-6561973659.0
Q1 2013,-35448926591.0
Q3 2013,-14405456719.0
Q4 2013,42013995069.0
Q1 2014,-22553659845.0
Q3 2014,17224473144.0
Q4 2014,3549091598.0
Q1 2015,-11550565680.0
Q2 2015,291264843679.0
Q3 2015,4867606969.0
Q2 2016,-52648556187.0
Q1 2017,34358824401.0
Q2 2017,-19176863015.0
Q3 2017,54730444541.0
Q4 2017,-5586787068.0
Q1 2018,-58703656605.0
Q2 2018,45565186257.0
Q3 2018,25118771716.0
Q4 2018,181003348408.0
Q1 2019,91199199903.0
Q2 2019,58716753485.0
Q3 2019,50252844731.0
Q4 2019,-144486808675.0
Q1 2020,-33054941898.0
Q2 2020,-22376576344.0
Q3 2020,-21270891789.0
Q4 2020,-125944827625.0
Q1 2021,120392865197.0
Q2 2021,-114083056535.0
Q3 2021,127672130724.0
Q4 2021,-23654585767.0
Q1 2022,-94086291747.0
Q2 2022,148692489030.0
Q3 2022,-1960134304.0
Q4 2022,13568499957.0
Q1 2023,-64719337647.0
Q2 2023,-39311518120.0
Q3 2023,22639468217.0
Q4 2023,38142604464.0
