Duration,Total Assests,Liabilities,Short-term Liabilities,Long-term Liabilities,Owner's Equity,EPS,BVPS,PE
2004 - Q4,,,,,,0.0,0.0,0.0
2005 - Q1,,,,,,0.0,0.0,0.0
2005 - Q2,,,,,,0.0,0.0,0.0
2005 - Q4,3849781.0,1695864.0,1651838.0,44026.0,2153917.0,2967.0,13546.0,0.0
2006 - Q1,4005786.0,1675598.0,1582359.0,93239.0,2330188.0,3129.0,14654.0,25.88
2006 - Q2,4084234.0,1695578.0,1530126.0,165452.0,2388656.0,3443.0,15023.0,23.53
2006 - Q3,3986753.0,1462972.0,1375526.0,87446.0,2523781.0,4387.0,15872.0,18.92
2006 - Q4,3563657.0,892269.0,803129.0,89140.0,2671388.0,4611.0,16801.0,27.11
2007 - Q1,4800590.0,906095.0,757970.0,148125.0,3894496.0,5356.0,23327.0,34.36
2007 - Q2,5136176.0,1268088.0,1169193.0,98895.0,3868088.0,5388.0,22069.0,33.41
2007 - Q3,5245349.0,1111175.0,1000372.0,110803.0,4134174.0,5452.0,14263.0,33.38
2007 - Q4,5344725.0,1130915.0,990406.0,140509.0,4213809.0,5601.0,24041.0,29.64
2008 - Q1,6022145.0,1337747.0,1207521.0,130226.0,4631260.0,5459.0,26263.0,19.97
2008 - Q2,6143761.0,1423670.0,1300417.0,123253.0,4676510.0,6240.0,26681.0,16.99
2008 - Q3,5933140.0,1096828.0,1007446.0,89382.0,4789281.0,7104.0,27324.0,12.74
2008 - Q4,5933415.0,1462091.0,1315479.0,146612.0,4420655.0,7082.0,25221.0,11.72
2009 - Q1,6105480.0,948448.0,751681.0,196767.0,5106177.0,8086.0,29132.0,9.71
2009 - Q2,6839989.0,1178857.0,955957.0,222900.0,5609622.0,9031.0,31938.0,10.19
2009 - Q3,7491290.0,1524362.0,1281055.0,243307.0,5915756.0,10891.0,16841.0,8.26
2009 - Q4,8531062.0,2039923.0,1783628.0,256295.0,6455774.0,10406.0,18379.0,7.21
2010 - Q1,9021082.0,2130086.0,1882322.0,247764.0,6856460.0,10065.0,19419.0,8.45
2010 - Q2,10676838.0,3335695.0,2917389.0,418306.0,7341143.0,9856.0,20792.0,9.13
2010 - Q3,9892287.0,2586981.0,2433325.0,153656.0,7305306.0,9900.0,20695.0,8.94
2010 - Q4,10773032.0,2808596.0,2645012.0,163584.0,7964437.0,10254.0,22558.0,8.39
2011 - Q1,12280492.0,3375341.0,3180617.0,194724.0,8905150.0,10780.0,25227.0,8.53
2011 - Q2,14699418.0,3376246.0,3232231.0,144015.0,11323172.0,11244.0,30535.0,9.69
2011 - Q3,14335903.0,2796097.0,2649499.0,146598.0,11539807.0,10892.0,31119.0,11.48
2011 - Q4,15582672.0,3105466.0,2946537.0,158929.0,12477205.0,11515.0,22436.0,7.51
2012 - Q1,17357608.0,3736741.0,3577982.0,158759.0,13620866.0,10824.0,24493.0,8.5
2012 - Q2,18122267.0,4257462.0,4098349.0,159113.0,13864805.0,10544.0,24932.0,8.35
2012 - Q3,17085745.0,3076515.0,2883604.0,192911.0,14009230.0,10210.0,25191.0,11.46
2012 - Q4,19667796.0,4174699.0,4114918.0,59781.0,15493097.0,10471.0,18578.0,8.4
