Duration,Total Assests,Liabilities,Short-term Liabilities,Long-term Liabilities,Owner's Equity,EPS,BVPS,PE
2003,2631571.0,1070782.0,1066889.0,3893.0,1560789.0,372.0,10335.0,0.0
2004,2554708.0,739448.0,719448.0,20000.0,1815261.0,3278.0,11493.0,0.0
2005,3897936.0,1743224.0,1671639.0,71585.0,2154712.0,3808.0,13551.0,0.0
2006,3600533.0,916834.0,809040.0,107794.0,2683699.0,4150.0,16879.0,30.12
2007,5425117.0,1164852.0,1024979.0,139873.0,4224315.0,5580.0,24101.0,29.75
2008,5966959.0,1250630.0,1068700.0,181930.0,4665715.0,7132.0,26619.0,11.64
2009,8482036.0,1991196.0,1734871.0,256325.0,6455474.0,10423.0,18379.0,7.2
2010,10773032.0,2808596.0,2645012.0,163584.0,7964437.0,13855.0,22561.0,6.21
2011,15582672.0,3105466.0,2946537.0,158929.0,12477205.0,11515.0,22447.0,7.51
2012,19697868.0,4204772.0,4144990.0,59782.0,15493097.0,10471.0,27881.0,8.4
2013,22875414.0,5307061.0,4956398.0,350663.0,17545489.0,7999.0,21051.0,16.05
2014,25770138.0,5969902.0,5453263.0,516639.0,19680283.0,6870.0,19678.0,13.9
2015,27478176.0,6554260.0,6004317.0,549943.0,20923916.0,7296.0,17435.0,17.55
2016,29378656.0,6972707.0,6457498.0,515209.0,22405949.0,7298.0,15437.0,17.21
2017,34667319.0,10794261.0,10195563.0,598698.0,23873058.0,7094.0,16450.0,29.41
2018,37366109.0,11094739.0,10639592.0,455147.0,26271369.0,6645.0,15086.0,18.06
2019,44699873.0,14968618.0,14442852.0,525766.0,29731255.0,6076.0,17073.0,19.17
2020,48432481.0,14785358.0,14212646.0,572712.0,33647122.0,6112.0,16102.0,17.8
2021,53332403.0,17482289.0,17068417.0,413872.0,35850114.0,5040.0,17154.0,17.14
2022,48482664.0,15666146.0,15308423.0,357723.0,32816518.0,4075.0,15702.0,18.68
