Date,NOPAT
Q4/2004,85705037812
Q1/2005,169153721513
Q2/2005,175317533557
Q4/2005,127299430288
Q1/2006,194960265296
Q2/2006,225187543770
Q3/2006,150140910381
Q4/2006,162936000000
Q1/2007,318792483301
Q2/2007,248365874866
Q3/2007,187421053234
Q4/2007,211893000000
Q1/2008,309199586582
Q2/2008,388911000000
Q3/2008,335094103555
Q4/2008,208032000000
Q1/2009,485182986039
Q2/2009,554628160127
Q3/2009,730637000000
Q4/2009,601478000000
Q1/2010,817625378887
Q2/2010,930940568017
Q3/2010,1136715128309
Q4/2010,730904873958
Q1/2011,1006454116217
Q2/2011,1107202855866
Q3/2011,1062492897902
Q4/2011,1042031838952
Q1/2012,1270464195420
Q2/2012,1505655189705
Q3/2012,1395387531531
Q4/2012,1647947800427
Q1/2013,1530838237207
Q2/2013,1842776407796
Q3/2013,1690469004691
Q4/2013,1470050013140
Q1/2014,1387381637264
Q2/2014,1575435749520
Q3/2014,1376257970172
Q4/2014,1729732339883
Q1/2015,1556856874239
Q2/2015,2185170750754
Q3/2015,2135307519344
Q4/2015,1896074486906
Q1/2016,2157189051310
Q2/2016,2815396006251
Q3/2016,2548780232660
Q4/2016,1828963840162
Q1/2017,2935068264904
Q2/2017,2922080403930
Q3/2017,2693903760050
Q4/2017,1744612719962
Q1/2018,2701313738808
Q2/2018,2666357498655
Q3/2018,2560125311355
Q4/2018,2299484602646
Q1/2019,2790729116151
Q2/2019,2898738430907
Q3/2019,2690192377294
Q4/2019,2201515747637
Q1/2020,2764911978211
Q2/2020,3071714073426
Q3/2020,3077140792284
Q4/2020,2185170012447
Q1/2021,2575916578653
Q2/2021,2834789042592
Q3/2021,2925766998017
Q4/2021,2196004480636
Q1/2022,2265518089530
Q2/2022,2082981126147
Q3/2022,2298398907051
Q4/2022,1869125571613
Q1/2023,1856733257236
Q2/2023,2198811184561
Q3/2023,2492254015001
