Date,Sales
Q4/2004,929613641732
Q1/2005,1014780262912
Q2/2005,1702764219578
Q4/2005,1096442734393
Q1/2006,1284716561697
Q2/2006,1536649171749
Q3/2006,1920871668922
Q4/2006,1876865000000
Q1/2007,1380154140076
Q2/2007,1733970852664
Q3/2007,1837269100086
Q4/2007,1870471000000
Q1/2008,1808132549344
Q2/2008,2063688000000
Q3/2008,2114609957395
Q4/2008,2252114000000
Q1/2009,2068581464981
Q2/2009,2675245439116
Q3/2009,2997654000000
Q4/2009,2873344000000
Q1/2010,3250119457411
Q2/2010,3986854073286
Q3/2010,4376025074953
Q4/2010,4139978928061
Q1/2011,4535428478549
Q2/2011,5420401256455
Q3/2011,5696541167475
Q4/2011,5975057990630
Q1/2012,5876317741742
Q2/2012,7010950953703
Q3/2012,6618841370856
Q4/2012,7055464113663
Q1/2013,6676399060072
Q2/2013,8070452671304
Q3/2013,8027717675310
Q4/2013,8174032720620
Q1/2014,7678146347236
Q2/2014,9232342141722
Q3/2014,8731442740930
Q4/2014,9334997103288
Q1/2015,8716035913568
Q2/2015,10500110637280
Q3/2015,10549326431578
Q4/2015,11098562112893
Q1/2016,10332908879616
Q2/2016,12449130059922
Q3/2016,12204689711230
Q4/2016,11807610749506
Q1/2017,12049368692438
Q2/2017,13348261215191
Q3/2017,13293077820340
Q4/2017,12350368157140
Q1/2018,12120502020912
Q2/2018,13702480611961
Q3/2018,13735260285149
Q4/2018,13003707052570
Q1/2019,13189300287807
Q2/2019,14598960549757
Q3/2019,14290900447018
Q4/2019,14238961478162
Q1/2020,14153099953575
Q2/2020,15495233758799
Q3/2020,15563157998229
Q4/2020,14424794514944
Q1/2021,13190270122852
Q2/2021,15715806166465
Q3/2021,16194052003559
Q4/2021,15819036553270
Q1/2022,13877825823198
Q2/2022,14930275292637
Q3/2022,16079491424130
Q4/2022,15068654657453
Q1/2023,13918391926640
Q2/2023,15194824955693
Q3/2023,15636987684682
