tradingTime,lastPrice
2024-01-12,67.2
2024-01-11,67.9
2024-01-10,67.5
2024-01-09,68.1
2024-01-08,68.2
2024-01-05,68.8
2024-01-04,69.0
2024-01-03,69.0
2024-01-02,68.3
2023-12-29,67.6
2023-12-28,68.5
2023-12-27,67.5
2023-12-26,67.5
2023-12-25,67.4
2023-12-22,67.1
2023-12-21,67.3
2023-12-20,67.6
2023-12-19,66.51
2023-12-18,66.51
2023-12-15,67.6
2023-12-14,67.9
2023-12-13,67.7
2023-12-12,68.89
2023-12-11,69.49
2023-12-08,68.49
2023-12-07,67.9
2023-12-06,68.0
2023-12-05,67.6
2023-12-04,68.29
2023-12-01,67.9
2023-11-30,66.9
2023-11-29,67.9
2023-11-28,68.0
2023-11-27,67.6
2023-11-24,67.8
2023-11-23,68.19
2023-11-22,68.89
2023-11-21,68.99
2023-11-20,68.79
2023-11-17,69.49
2023-11-16,69.78
2023-11-15,70.18
2023-11-14,68.39
2023-11-13,68.19
2023-11-10,69.09
2023-11-09,70.18
2023-11-08,70.88
2023-11-07,70.28
2023-11-06,70.48
2023-11-03,69.49
2023-11-02,70.38
2023-11-01,69.88
2023-10-31,67.5
2023-10-30,67.1
2023-10-27,67.5
2023-10-26,66.51
2023-10-25,68.49
2023-10-24,69.78
2023-10-23,69.68
2023-10-20,71.77
2023-10-19,70.88
2023-10-18,73.36
2023-10-17,74.25
2023-10-16,74.65
2023-10-13,75.24
2023-10-12,74.94
2023-10-11,73.85
2023-10-10,73.85
2023-10-09,73.16
2023-10-06,73.65
2023-10-05,72.17
2023-10-04,73.85
2023-10-03,73.46
2023-10-02,75.04
2023-09-29,73.65
2023-09-28,74.25
2023-09-27,76.04
2023-09-26,75.54
2023-09-25,77.03
2023-09-22,76.93
2023-09-21,77.43
2023-09-20,77.72
2023-09-19,78.32
2023-09-18,78.32
2023-09-15,78.92
2023-09-14,78.82
2023-09-13,78.52
2023-09-12,79.71
2023-09-11,78.92
2023-09-08,79.41
2023-09-07,78.92
2023-09-06,79.41
2023-09-05,79.51
2023-08-31,77.23
2023-08-30,77.23
2023-08-29,76.83
2023-08-28,77.33
2023-08-25,74.35
2023-08-24,74.15
2023-08-23,72.96
2023-08-22,72.17
2023-08-21,72.36
2023-08-18,72.76
2023-08-17,73.06
2023-08-16,72.56
2023-08-15,72.26
2023-08-14,72.86
2023-08-11,72.96
2023-08-10,72.56
2023-08-09,72.56
2023-08-08,73.95
2023-08-07,74.35
2023-08-04,72.46
2023-08-03,72.07
2023-08-02,73.16
2023-08-01,73.06
2023-07-31,74.98
2023-07-28,74.41
2023-07-27,72.77
2023-07-26,72.1
2023-07-25,71.62
2023-07-24,70.75
2023-07-21,70.66
2023-07-20,69.79
2023-07-19,69.79
2023-07-18,69.6
2023-07-17,69.5
2023-07-14,70.47
2023-07-13,70.27
2023-07-12,70.66
2023-07-11,69.99
2023-07-10,69.31
2023-07-07,68.16
2023-07-06,67.77
2023-07-05,67.1
2023-07-04,67.87
2023-07-03,67.97
2023-06-30,68.26
2023-06-29,69.12
2023-06-28,67.87
2023-06-27,67.77
2023-06-26,67.87
2023-06-23,66.43
2023-06-22,64.31
2023-06-21,63.74
2023-06-20,62.97
2023-06-19,63.26
2023-06-16,63.54
2023-06-15,63.74
2023-06-14,64.51
2023-06-13,64.99
2023-06-12,65.28
2023-06-09,63.26
2023-06-08,62.97
2023-06-07,63.64
2023-06-06,63.83
