Item,Q4 2003,Q4 2004,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Tài sản lưu động và đầu tư ngắn hạn,2101405629848.0,1769506478546.0,2900222974202.0,2484672780620.0,3001994560592.0,2693286823504.0,1950825000000.0,1955977000000.0,2432490458171.0,2746772970385.0,3019313000000.0,3321608882145.0,3578980133281.0,3517637057348.0,3396042090671.0,3301808001281.0,4047900505389.0,4143509745838.0,5118618135307.0,5530123703575.0,6383972078253.0,5242473167935.0,5919802789330.0,7327494010108.0,9519928589713.0,8979083971263.0,9467682996094.0,10079372759107.0,10140518022705.0,8758053279580.0,11080537816712.0,11885819757336.0,12077326003950.0,11634196616736.0,13018930127438.0,13566719604936.0,13778291683771.0,12808828895655.0,15522309519016.0,16640748752812.0,16603153127894.0,15029826360314.0,16731875433624.0,18004264892914.0,19513524046623.0,17322793032464.0,18673827685789.0,20171593469610.0,20677934235834.0,18889319053176.0,20307434789529.0,19974838548267.0,20818678622022.0,18360115898846.0,20559756794837.0,22040432596172.0,22089274019449.0,22146344620561.0,24721565376552.0,26461638721175.0,30073376341979.0,31541319633765.0,29665725805058.0,32834546632146.0,35042535233833.0,34446542339559.0,36109910649785.0,35452395671778.0,36871285863860.0,34373292456500.0,31560382174201.0,32394853632375.0,33403479517290.0,37680161943052.0
I. Tiền và các khoản tương đương tiền,692592428783.0,515695160594.0,1012303572223.0,488523311113.0,124226111319.0,172883401838.0,156495000000.0,205989000000.0,164375573137.0,456487682796.0,113527000000.0,152146349244.0,286908723316.0,566925462241.0,340633634582.0,1000059805331.0,875810906593.0,217638372110.0,426134657958.0,220682266115.0,462160742775.0,289370283076.0,263472368080.0,223197137439.0,192747971783.0,1986287919135.0,3156515396990.0,2983283071409.0,2143732190431.0,555133933126.0,1252120160804.0,1633381902213.0,812485229333.0,1684436360678.0,2745645325950.0,1193310867797.0,1219936043702.0,670329547281.0,1527875428216.0,1227505962892.0,1854221704170.0,1409857423245.0,1358682600684.0,1228329938789.0,3059808166107.0,772572092518.0,655423095436.0,2216760721249.0,590906789944.0,668414723359.0,963335914164.0,563392699177.0,1343435279374.0,630784664818.0,1522610167671.0,1209154406312.0,1676491290318.0,1043473767363.0,2665194638452.0,1379711866875.0,2176667357252.0,2335881481579.0,2111242815581.0,1197956795582.0,1663036014269.0,2051857098275.0,2348551874348.0,1680858133124.0,4507497088287.0,2867857717514.0,2299943527624.0,2011202511723.0,1582506692207.0,6875567986039.0
1. Tiền,692592428783.0,950834594.0,130303572223.0,98523311113.0,124226111319.0,,,,163675573137.0,156487682796.0,,152146349244.0,146908713316.0,156925462241.0,132976253257.0,161178805331.0,195001906593.0,216218372110.0,376134657958.0,220682266115.0,260160742775.0,287870283076.0,249472368080.0,171197137439.0,192747971783.0,466287919135.0,790515396990.0,871183071409.0,745732190431.0,555133933126.0,852120160804.0,773381902213.0,727485229333.0,524436360678.0,1394534283673.0,517820867797.0,689911851239.0,639329547281.0,993333794600.0,946150962892.0,563457704170.0,1219107423245.0,1212517600684.0,1223829938789.0,1007308166107.0,763572092518.0,599923095436.0,518760721249.0,558406789944.0,628414723359.0,834435914164.0,513392699177.0,808435279374.0,545784664818.0,1072610167671.0,1029154406312.0,826491290318.0,987873767363.0,2378583764655.0,1028411866875.0,2044667357252.0,995896481579.0,863853260384.0,869981048166.0,1261476873446.0,1432929886920.0,1187350251579.0,906974752516.0,1200418415119.0,1904312680816.0,1327429518437.0,925091957178.0,791780310675.0,4244364731244.0
2. Các khoản tương đương tiền,0.0,514744326000.0,882000000000.0,390000000000.0,0.0,,,,700000000.0,300000000000.0,,0.0,140000000000.0,410000000000.0,207657381325.0,838881000000.0,680809000000.0,1420000000.0,50000000000.0,0.0,202000000000.0,1500000000.0,14000000000.0,52000000000.0,0.0,1520000000000.0,2366000000000.0,2112100000000.0,1398000000000.0,0.0,400000000000.0,860000000000.0,85000000000.0,1160000000000.0,1351111042277.0,675490000000.0,530024192463.0,31000000000.0,534541633616.0,281355000000.0,1290764000000.0,190750000000.0,146165000000.0,4500000000.0,2052500000000.0,9000000000.0,55500000000.0,1698000000000.0,32500000000.0,40000000000.0,128900000000.0,50000000000.0,535000000000.0,85000000000.0,450000000000.0,180000000000.0,850000000000.0,55600000000.0,286610873797.0,351300000000.0,132000000000.0,1339985000000.0,1247389555197.0,327975747416.0,401559140823.0,618927211355.0,1161201622769.0,773883380608.0,3307078673168.0,963545036698.0,972514009187.0,1086110554545.0,790726381532.0,2631203254795.0
II. Các khoản đầu tư tài chính ngắn hạn,0.0,292167977233.0,2800000000.0,22200000000.0,162184182600.0,160884182600.0,307130000000.0,313695000000.0,395529662630.0,444951662630.0,300970000000.0,786202870970.0,566833786492.0,626235000592.0,559117398192.0,220717934492.0,984964653192.0,1912401169592.0,2314253566692.0,2401904583092.0,2535265502792.0,1329650960192.0,2092259762292.0,2318112626925.0,3129069564992.0,1215965326492.0,736033188192.0,632275956892.0,931730788492.0,2029334564892.0,3909275954492.0,3926641975882.0,4690836761292.0,3869716691608.0,4167317622318.0,5776073081618.0,5917347091318.0,6010426758526.0,7467962935026.0,8469267785759.0,7856878780812.0,6918871993291.0,8668377936330.0,9305385263665.0,8630483623974.0,8935288386774.0,10453749313471.0,10320085979619.0,11451962635433.0,9791941947414.0,10561714377337.0,9661889566014.0,9210770926165.0,7772300444146.0,8673926951890.0,9666846652579.0,9306531479431.0,10238285848104.0,12435744328964.0,14370288608530.0,16363060738340.0,17872002664622.0,17313679774893.0,19542794237097.0,19971222710510.0,19753142693943.0,21025735779475.0,19832829713819.0,18976163363916.0,19533563143705.0,17414055328683.0,16801331801284.0,19083000543582.0,19012123617176.0
1. Chứng khoán kinh doanh,0.0,292167977233.0,2800000000.0,22200000000.0,162184182600.0,,,,395529662630.0,444951662630.0,,787446736970.0,646589474570.0,705856702070.0,660136452070.0,349200722070.0,1085853081992.0,1992795151992.0,2400760431792.0,2487007911792.0,2621095431792.0,1411282231792.0,2162917431792.0,2390210765125.0,3205277431792.0,1291557431792.0,815277431792.0,707277431792.0,1003902256312.0,2103902256312.0,4039304630112.0,4063170331922.0,4833330632402.0,4013292575718.0,4313292575718.0,5913292575718.0,6063292575718.0,6157271306426.0,7607171306426.0,8614466339242.0,676733617318.0,525969373197.0,525980876577.0,525394708812.0,525395173363.0,443111513363.0,443132521486.0,443133010047.0,443132521486.0,443132032925.0,443130811523.0,443134964291.0,443143269828.0,443161346585.0,443154262451.0,443154995292.0,443157926658.0,443154506731.0,1153041048.0,1148118350.0,1129064471.0,1128087349.0,1124178861.0,1123201739.0,1129553032.0,1116850446.0,1119781812.0,1122713178.0,1143965582.0,1173034961.0,1159355253.0,1154469643.0,1160332375.0,1195020206.0
2. Dự phòng giảm giá chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,-1243866000.0,-79755688078.0,-79621701478.0,-101019053878.0,-128482787578.0,-100888428800.0,-80393982400.0,-86506865100.0,-85103328700.0,-85829929000.0,-81631271600.0,-70657669500.0,-72098138200.0,-76207866800.0,-75592105300.0,-79244243600.0,-75001474900.0,-72171467820.0,-74567691420.0,-130028675620.0,-136528356040.0,-142493871110.0,-143575884110.0,-145974953400.0,-137219494100.0,-145945484400.0,-146844547900.0,-139208371400.0,-145198553483.0,-126482836506.0,-71689879906.0,-72195440247.0,-72235445147.0,-71990569389.0,-491146589.0,-500629886.0,-500850428.0,-500629886.0,-500409344.0,-675708019.0,-678242110.0,-683310293.0,-694341044.0,-605728258.0,-606120823.0,-607691084.0,-605859113.0,-840586787.0,-854402660.0,-840223212.0,-839496060.0,-936520806.0,-935706794.0,-940997872.0,-930415716.0,-666201430.0,-667945412.0,-680589288.0,-697883784.0,-689745197.0,-686838559.0,-690326525.0,-710963655.0
3. Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7306628000000.0,6464592500000.0,8214592500000.0,8852226000000.0,8177079020000.0,8492668020000.0,10011117421871.0,9877453820000.0,11009330743833.0,9349310323833.0,10119259273833.0,9219432843833.0,8768310966630.0,7329833438605.0,8231378417697.0,9224297778110.0,8863981243857.0,9795737200486.0,12435431874703.0,14369994892840.0,16362771897081.0,17871714073333.0,17313492116838.0,19542606742152.0,19971034155350.0,19752956259213.0,21025282199093.0,19832374946053.0,18975699987622.0,19533087992528.0,17413585718627.0,16800864170200.0,19082530537732.0,19011639560625.0
III. Các khoản phải thu ngắn hạn,807082067782.0,178800222015.0,758519689938.0,769091665365.0,835869433176.0,1023787335417.0,513262000000.0,474596000000.0,608060429937.0,673476825357.0,886737000000.0,715736399378.0,779257383733.0,596449058597.0,646384971761.0,690987759537.0,657549152693.0,734645566240.0,778010643038.0,896725923461.0,969696820155.0,1385642516051.0,1124862162625.0,1503465204011.0,1986035714065.0,2176511993553.0,2169205076812.0,2383895154804.0,2430088289807.0,2400760925119.0,2216290611750.0,2313882601252.0,2412771906031.0,2571043374013.0,2728421414532.0,2589045252214.0,2239065946679.0,2535847162555.0,2771736892079.0,2941878217850.0,3033862672924.0,2984334413825.0,2685469151432.0,3370787460751.0,3367616862575.0,3624417789794.0,2866683958798.0,3607663053640.0,4302765388752.0,4629352818459.0,4591702853157.0,5175991528051.0,5149241546227.0,5460673084444.0,4639447900101.0,5520731708608.0,5391295160818.0,5699702616339.0,4503154728959.0,4711713537853.0,5674690836392.0,5976863349617.0,5187253172150.0,5320350430335.0,6370305908925.0,6118496933219.0,5822028742791.0,6024628344054.0,6040009761668.0,5954158809895.0,6100402870854.0,6619266952011.0,6142392930802.0,5931433000484.0
