Item,Q4 2004,Q1 2005,Q2 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023
1. Tổng doanh thu hoạt động kinh doanh,929613641732.0,1020821186014.0,1707538844072.0,1100323909653.0,1291223086458.0,1543940468417.0,1927464548364.0,1900295000000.0,1383926276018.0,1737701655580.0,1841047951798.0,1886027000000.0,1840528128972.0,2107667000000.0,2170198326196.0,2291731000000.0,2109616212434.0,2728190151711.0,3054392000000.0,2928997000000.0,3304641772522.0,4067730099161.0,4475653296229.0,4233552549960.0,4629443092924.0,5537945291164.0,5812690485346.0,6090478621332.0,5984554431999.0,7151522050444.0,6761165682379.0,7204441574456.0,6817399941239.0,8234419301214.0,8190579893928.0,8343607997241.0,7843977969639.0,9439872135375.0,8926519844239.0,9493406227102.0,8771338508049.0,10520023895689.0,10577328695731.0,11137559011052.0,10369870419298.0,12491188129344.0,12265677025262.0,11838267527921.0,12074425433110.0,13386878196373.0,13308557627263.0,12365038508333.0,12131963698383.0,13738445876697.0,13743498637314.0,13015322214890.0,13230084714897.0,14610401622240.0,14304042994942.0,14255700394638.0,14206192026063.0,15509586167075.0,15577229685157.0,14429900514941.0,13240715083738.0,15728786449961.0,16208270405981.0,15834302208084.0,13940472652935.0,14959410994547.0,16094113384043.0,15080733191774.0,13954019633882.0,15212939408874.0,15681494654705.0
2. Các khoản giảm trừ doanh thu,0.0,6040923102.0,4774624494.0,3881175260.0,6506524761.0,7291296668.0,6592879442.0,23430000000.0,3772135942.0,3730802916.0,3778851712.0,15556000000.0,32395579628.0,43979000000.0,55588368801.0,39617000000.0,41034747453.0,52944712595.0,56738000000.0,55653000000.0,54522315111.0,80876025875.0,99628221276.0,93573621899.0,94014614375.0,117544034709.0,116149317871.0,115420630702.0,108236690257.0,140571096741.0,142324311523.0,148977460793.0,141000881167.0,163966629910.0,162862218618.0,169575276621.0,165831622403.0,207529993653.0,195077103309.0,158409123814.0,55302594481.0,19913258409.0,28002264153.0,38996898159.0,36961539682.0,42058069422.0,60987314032.0,30656778415.0,25056740672.0,38616981182.0,15479806923.0,14670351193.0,11461677471.0,35965264736.0,8238352165.0,11615162320.0,40784427090.0,11441072483.0,13142547924.0,16738916476.0,53092072488.0,14352408276.0,14071686928.0,5105999997.0,50444960886.0,12980283496.0,14218402422.0,15265654814.0,62646829737.0,29135701910.0,14621959913.0,12078534321.0,35627707242.0,18114453181.0,44506970023.0
3. Doanh thu thuần (1)-(2),929613641732.0,1014780262912.0,1702764219578.0,1096442734393.0,1284716561697.0,1536649171749.0,1920871668922.0,1876865000000.0,1380154140076.0,1733970852664.0,1837269100086.0,1870471000000.0,1808132549344.0,2063688000000.0,2114609957395.0,2252114000000.0,2068581464981.0,2675245439116.0,2997654000000.0,2873344000000.0,3250119457411.0,3986854073286.0,4376025074953.0,4139978928061.0,4535428478549.0,5420401256455.0,5696541167475.0,5975057990630.0,5876317741742.0,7010950953703.0,6618841370856.0,7055464113663.0,6676399060072.0,8070452671304.0,8027717675310.0,8174032720620.0,7678146347236.0,9232342141722.0,8731442740930.0,9334997103288.0,8716035913568.0,10500110637280.0,10549326431578.0,11098562112893.0,10332908879616.0,12449130059922.0,12204689711230.0,11807610749506.0,12049368692438.0,13348261215191.0,13293077820340.0,12350368157140.0,12120502020912.0,13702480611961.0,13735260285149.0,13003707052570.0,13189300287807.0,14598960549757.0,14290900447018.0,14238961478162.0,14153099953575.0,15495233758799.0,15563157998229.0,14424794514944.0,13190270122852.0,15715806166465.0,16194052003559.0,15819036553270.0,13877825823198.0,14930275292637.0,16079491424130.0,15068654657453.0,13918391926640.0,15194824955693.0,15636987684682.0
4. Giá vốn hàng bán,709072885487.0,768893681193.0,1323663374460.0,838770346979.0,947786987827.0,1096113184451.0,1448726554627.0,1520005000000.0,993889513657.0,1251501980057.0,1341296528421.0,1369611000000.0,1254320192968.0,1331886000000.0,1424116272105.0,1592738000000.0,1397814417723.0,1670178194694.0,1857004000000.0,1811218000000.0,2110328157667.0,2621720253485.0,2979640609689.0,2867630642651.0,3026042836548.0,3718548432860.0,4023539000543.0,4271175108413.0,4076562819507.0,4589449004173.0,4277327756300.0,4541490667208.0,4220237450495.0,4948104950134.0,5092778691607.0,5504672588238.0,5113641159048.0,6067063430918.0,5702842521890.0,5784904022632.0,5607063936578.0,6113114652804.0,6199266897541.0,6682174666160.0,5993498656982.0,7076434228481.0,7119260938520.0,6327315699575.0,6230237376368.0,6807419327845.0,7022778495998.0,6746495866265.0,6633808703800.0,7233869770150.0,7241743387120.0,6841121640431.0,7034297778254.0,7585015000599.0,7567934476550.0,7558658856714.0,7547288345650.0,8357339161700.0,8296414517093.0,7766620813396.0,7435389686438.0,8861448981220.0,9250304913128.0,9093719773053.0,8253022172432.0,8853615491038.0,9729311781833.0,9223066245408.0,8520365614981.0,9044632886807.0,9082087041307.0
5. Lợi nhuận gộp (3)-(4),220540756245.0,245886581719.0,379100845118.0,257672387414.0,336929573870.0,440535987298.0,472145114295.0,356860000000.0,386264626419.0,482468872607.0,495972571665.0,500860000000.0,553812356376.0,731802000000.0,690493685290.0,659376000000.0,670767047258.0,1005067244422.0,1140650000000.0,1062126000000.0,1139791299744.0,1365133819801.0,1396384465264.0,1272348285410.0,1509385642001.0,1701852823595.0,1673002166932.0,1703882882217.0,1799754922235.0,2421501949530.0,2341513614556.0,2513973446455.0,2456161609577.0,3122347721170.0,2934938983703.0,2669360132382.0,2564505188188.0,3165278710804.0,3028600219040.0,3550093080656.0,3108971976990.0,4386995984476.0,4350059534037.0,4416387446733.0,4339410222634.0,5372695831441.0,5085428772710.0,5480295049931.0,5819131316070.0,6540841887346.0,6270299324342.0,5603872290875.0,5486693317112.0,6468610841811.0,6493516898029.0,6162585412139.0,6155002509553.0,7013945549158.0,6722965970468.0,6680302621448.0,6605811607925.0,7137894597099.0,7266743481136.0,6658173701548.0,5754880436414.0,6854357185245.0,6943747090431.0,6725316780217.0,5624803650766.0,6076659801599.0,6350179642297.0,5845588412045.0,5398026311659.0,6150192068886.0,6554900643375.0
6. Doanh thu hoạt động tài chính,19064553050.0,13915265452.0,20589580306.0,3626647909.0,45427268513.0,11111489901.0,4786374600.0,14568000000.0,162387149624.0,34253531450.0,24953287438.0,36075000000.0,129498636694.0,50252000000.0,37126155262.0,47963000000.0,80966815573.0,49949276154.0,77090000000.0,113649000000.0,91064522707.0,123066399703.0,110718576884.0,123680627943.0,133282433189.0,198208327224.0,176499198727.0,172242493993.0,146036114524.0,147739324531.0,71601592379.0,109861554615.0,109819540709.0,129367036632.0,133834846599.0,134326285576.0,127600310103.0,132596919103.0,180877176182.0,132495147774.0,143954016127.0,173798877003.0,176056927471.0,155171921437.0,168672783352.0,190482840251.0,169271935716.0,194133215944.0,199756552892.0,204884142516.0,213488861058.0,198187222069.0,190257216242.0,204682217710.0,185624961638.0,179352995411.0,176287359587.0,190720049829.0,206732692690.0,233576605377.0,284879682275.0,335351494778.0,358591147428.0,602270330836.0,284839944505.0,292767071141.0,314242042431.0,322834761317.0,320283365813.0,341814888660.0,338615402043.0,379190751224.0,419705072231.0,383963944773.0,483829853834.0
7. Chi phí tài chính,6810970064.0,1016189987.0,5871060666.0,3755675498.0,12566053191.0,4244318486.0,22470563862.0,721000000.0,13936017122.0,17745072691.0,21811210970.0,15984000000.0,87273093682.0,50585000000.0,23145302309.0,26474000000.0,35451603431.0,115792252453.0,-27727000000.0,52104000000.0,5936868645.0,35589234615.0,51797153461.0,59875357267.0,99490733416.0,82395365806.0,22891996737.0,41651813403.0,-12593172187.0,13271817324.0,18640324279.0,31852159999.0,21078344483.0,22644656796.0,29727666522.0,17340149689.0,8884980856.0,30036221972.0,34205341281.0,8571208310.0,28398401871.0,22021396187.0,87075139074.0,25345170807.0,32919061976.0,16279255702.0,19549972161.0,33702023732.0,27661528509.0,29056344259.0,17833795652.0,12485879856.0,19314174913.0,43269224405.0,30214111816.0,25209490540.0,28768197631.0,42152766378.0,44895193422.0,71153524397.0,122428728401.0,674383923.0,120470092893.0,64996123618.0,6424291388.0,42133666112.0,63549064354.0,90231210378.0,132476618856.0,135024600156.0,142793205373.0,207242758610.0,158240818929.0,115957689789.0,110138422955.0
Trong đó: Chi phí lãi vay,5242815369.0,688606800.0,2720349428.0,494368927.0,575974521.0,2669214575.0,0.0,0.0,1543969972.0,1546955323.0,3151174651.0,5425070744.0,8329180863.0,11357468612.0,3991977566.0,76921624.0,1575608189.0,672937985.0,1020078034.0,3386253634.0,572882911.0,950806116.0,2064987473.0,2582877459.0,3834299984.0,6191119505.0,3166499773.0,741210823.0,91709098.0,2932562278.0,90566597.0,48056291442.0,0.0,0.0,0.0,104027048.0,10671322757.0,12410656942.0,7423763901.0,9075994158.0,8131520374.0,6783629838.0,7823572163.0,8538729589.0,8313790353.0,8704401479.0,9907013298.0,19574144919.0,13393474209.0,4023632084.0,7006245652.0,5015216618.0,8555583980.0,17272008785.0,11981786169.0,13558039918.0,19835521940.0,25355145802.0,27795829812.0,35838396433.0,42061538321.0,37641854799.0,38257217439.0,25857854618.0,12905990201.0,28072255034.0,24374567105.0,23446278323.0,26168600367.0,36701642341.0,49942302240.0,53226546796.0,82291916805.0,95970637757.0,79600679532.0
8. Phần lợi nhuận hoặc lỗ trong công ty liên kết liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13536500000.0,-21422000000.0,-13393000000.0,-25598000000.0,113357506654.0,0.0,0.0,0.0,0.0,291711546.0,-155937409.0,-370303665.0,-499157798.0,-3397263685.0,-7250185673.0,2332656386.0,13155402741.0,204022778.0,-2708864311.0,1875610047.0,5943849147.0,6323125419.0,16808081518.0,14865559708.0,10882447209.0,20342364897.0,13249867902.0,15412697290.0,-5572888422.0,24361937174.0,2309601970.0,-8199676462.0,11978412638.0,17374265382.0,-6603893345.0,-6270069878.0,16609907192.0,18980009176.0,8393748492.0,23150316782.0,14061854211.0,-5581957834.0,2434256608.0,11519567572.0,-12607699916.0,2474048770.0,-9779647914.0,14196707957.0,-11789710907.0,6327202372.0,-5701551848.0,15046249059.0,-8845432193.0,-19582360879.0,14548700320.0,-31165337137.0,-35236298601.0,10625616792.0,4691288456.0,-4556583050.0,-13760236004.0,-11201004578.0,-27632597830.0
9. Chi phí bán hàng,122421756956.0,110405085750.0,196582258461.0,112834767784.0,157971334148.0,196448306212.0,271838385372.0,278595000000.0,210403952859.0,231071127753.0,269655373708.0,263100000000.0,203674280618.0,233678000000.0,291822521333.0,339949000000.0,216890088318.0,311896426913.0,333524000000.0,383166000000.0,242288024134.0,333139439191.0,405784818407.0,456973524140.0,342429252127.0,418830640419.0,504547655162.0,546106699921.0,418432223719.0,625531961287.0,601583863177.0,700241293692.0,568459937576.0,879032986417.0,876130733210.0,952807971463.0,821020850885.0,1158497483244.0,1279872681010.0,1436751699576.0,1150436002987.0,1687220323247.0,1665909228418.0,1753941065481.0,1665160198905.0,1939456049038.0,1903770503253.0,3192490113496.0,2303389750323.0,3052625245294.0,2980515590409.0,3200002985773.0,2318536685442.0,3176108660455.0,3410558802715.0,3360732757821.0,2670436444735.0,3330199098788.0,3291660881785.0,3701158127544.0,3004141744869.0,3383322662142.0,3284487795534.0,3775540419620.0,2585931287811.0,3185812099703.0,3307900301066.0,3871026713824.0,2636293957415.0,3316046469903.0,3260867271142.0,3335004548411.0,2942150310906.0,3199738372776.0,3382491600883.0
