Period,Lưu chuyển tiền thuần trong kỳ
Q1 2007,49095188813.0
Q1 2008,34327950027.0
Q2 2008,132767000000.0
Q1 2009,649600755252.0
Q2 2009,-93333893887.0
Q3 2009,-677311313899.0
Q4 2009,208582311539.0
Q1 2010,-205452201545.0
Q2 2010,241481752584.0
Q3 2010,-172924957839.0
Q4 2010,-25766275322.0
Q1 2011,-40354970290.0
Q2 2011,-30313883383.0
Q3 2011,1793870640184.0
Q4 2011,820221044101.0
Q1 2012,-170324736207.0
Q2 2012,-842723561018.0
Q3 2012,-1588622735160.0
Q4 2012,697601315279.0
Q1 2013,383423604539.0
Q2 2013,-824102893828.0
Q3 2013,873714166761.0
Q4 2013,1061158759715.0
Q1 2014,-1552211967043.0
Q2 2014,25051241621.0
Q3 2014,-547977569168.0
Q4 2014,857423704139.0
Q1 2015,-297630183585.0
Q2 2015,632712319710.0
Q3 2015,-427145837494.0
Q4 2015,-79769312894.0
Q1 2016,-131453615162.0
Q2 2016,1837720727033.0
Q3 2016,-2291073265072.0
Q4 2016,-112195511910.0
Q1 2017,1556573563804.0
Q2 2017,-1631189115197.0
Q3 2017,76848131720.0
Q4 2017,293027494345.0
Q1 2018,-400755303429.0
Q2 2018,783230823186.0
Q3 2018,-715991966821.0
Q4 2018,893503771983.0
Q1 2019,-312040154607.0
Q2 2019,465342214699.0
Q3 2019,-628514687842.0
Q4 2019,1621287645619.0
Q1 2020,-1282433226101.0
Q2 2020,796556910591.0
Q3 2020,160817136963.0
Q4 2020,-223315185921.0
Q1 2021,-904945437872.0
Q2 2021,462380259163.0
Q3 2021,400105993345.0
Q4 2021,283787024259.0
Q1 2022,-667583447199.0
Q2 2022,2820875323448.0
Q3 2022,-1648250313249.0
Q4 2022,-565286237309.0
Q1 2023,-287047095630.0
Q2 2023,-430191253330.0
Q3 2023,5289852520709.0
